Date,Adj Close_ATULAUTO.NS,Close_ATULAUTO.NS,High_ATULAUTO.NS,Low_ATULAUTO.NS,Open_ATULAUTO.NS,Volume_ATULAUTO.NS,Date
2020-07-13,174.8000030517578,174.8000030517578,182.0,158.89999389648438,164.1999969482422,1187392,2020-07-13
2020-07-20,164.0500030517578,164.0500030517578,175.1999969482422,162.8000030517578,174.8000030517578,253451,2020-07-20
2020-07-27,155.8000030517578,155.8000030517578,164.60000610351562,155.0,164.0500030517578,178685,2020-07-27
2020-08-03,165.0,165.0,170.0,152.5,152.5,324063,2020-08-03
2020-08-10,169.85000610351562,169.85000610351562,187.0,161.35000610351562,169.0,2799304,2020-08-10
2020-08-17,178.3000030517578,178.3000030517578,186.3000030517578,168.6999969482422,175.0,1021960,2020-08-17
2020-08-24,189.10000610351562,189.10000610351562,203.39999389648438,177.10000610351562,181.5,3800142,2020-08-24
2020-08-31,179.14999389648438,179.14999389648438,190.75,170.25,190.64999389648438,921674,2020-08-31
2020-09-07,179.5,179.5,183.89999389648438,168.0,183.0,694790,2020-09-07
2020-09-14,178.8000030517578,178.8000030517578,187.89999389648438,175.0,185.0,632029,2020-09-14
2020-09-21,166.3000030517578,166.3000030517578,181.9499969482422,162.5,181.9499969482422,306980,2020-09-21
2020-09-28,168.4499969482422,168.4499969482422,173.6999969482422,167.0,169.5,202282,2020-09-28
2020-10-05,171.3000030517578,171.3000030517578,179.6999969482422,169.25,170.60000610351562,346177,2020-10-05
2020-10-12,160.4499969482422,160.4499969482422,172.9499969482422,158.5,171.3000030517578,243494,2020-10-12
2020-10-19,160.5,160.5,164.85000610351562,160.0,162.8000030517578,248096,2020-10-19
2020-10-26,156.6999969482422,156.6999969482422,161.9499969482422,153.25,161.9499969482422,233422,2020-10-26
2020-11-02,159.14999389648438,159.14999389648438,163.5,151.6999969482422,159.8000030517578,544856,2020-11-02
2020-11-09,160.0500030517578,160.0500030517578,161.75,154.85000610351562,161.75,523998,2020-11-09
2020-11-16,170.10000610351562,170.10000610351562,177.1999969482422,158.3000030517578,158.3000030517578,1051663,2020-11-16
2020-11-23,170.5,170.5,172.89999389648438,167.0,171.10000610351562,489136,2020-11-23
2020-11-30,173.64999389648438,173.64999389648438,178.39999389648438,170.0,170.5,734449,2020-11-30
2020-12-07,190.4499969482422,190.4499969482422,201.0,174.0,174.9499969482422,2925785,2020-12-07
2020-12-14,183.0,183.0,194.85000610351562,182.0,190.4499969482422,619403,2020-12-14
2020-12-21,180.9499969482422,180.9499969482422,184.5,167.0,183.0,405540,2020-12-21
2020-12-28,184.0,184.0,186.5,177.5,184.25,573994,2020-12-28
2021-01-04,184.60000610351562,184.60000610351562,189.6999969482422,182.64999389648438,184.5,601031,2021-01-04
2021-01-11,186.10000610351562,186.10000610351562,198.8000030517578,183.10000610351562,187.0,1154022,2021-01-11
2021-01-18,183.35000610351562,183.35000610351562,192.9499969482422,182.0,187.0500030517578,502270,2021-01-18
2021-01-25,177.4499969482422,177.4499969482422,189.0,175.0,189.0,254359,2021-01-25
2021-02-01,180.75,180.75,189.0,177.0,181.8000030517578,474073,2021-02-01
2021-02-08,181.4499969482422,181.4499969482422,190.0,180.5,184.5,530055,2021-02-08
2021-02-15,183.4499969482422,183.4499969482422,186.5,177.0,181.4499969482422,485811,2021-02-15
2021-02-22,190.60000610351562,190.60000610351562,201.0,174.75,185.5,766836,2021-02-22
2021-03-01,197.9499969482422,197.9499969482422,218.89999389648438,193.64999389648438,193.64999389648438,2967495,2021-03-01
2021-03-08,194.0,194.0,208.5,191.4499969482422,205.85000610351562,435874,2021-03-08
