Date,Adj Close_BBL.NS,Close_BBL.NS,High_BBL.NS,Low_BBL.NS,Open_BBL.NS,Volume_BBL.NS,Date
2020-07-13,376.4772644042969,384.32501220703125,391.875,377.54998779296875,383.0249938964844,29676,2020-07-13
2020-07-20,376.1589050292969,384.0,397.0,380.57501220703125,386.25,93428,2020-07-20
2020-07-27,365.53045654296875,373.1499938964844,385.45001220703125,370.5,384.17498779296875,71954,2020-07-27
2020-08-03,379.5139465332031,387.42498779296875,392.6499938964844,365.5,373.25,73962,2020-08-03
2020-08-10,432.1174011230469,441.125,456.375,371.95001220703125,389.375,1664636,2020-08-10
2020-08-17,425.1134338378906,433.9750061035156,461.5,430.20001220703125,450.0,544244,2020-08-17
2020-08-24,407.8973083496094,416.3999938964844,441.0,414.7749938964844,433.9750061035156,170026,2020-08-24
2020-08-31,392.5179138183594,400.70001220703125,419.4750061035156,391.3500061035156,413.5,89260,2020-08-31
2020-09-07,378.16705322265625,386.04998779296875,402.5,377.5,400.0,64772,2020-09-07
2020-09-14,381.5466003417969,389.5,410.0,384.7749938964844,390.0,64720,2020-09-14
2020-09-21,337.4654541015625,344.5,389.0,336.0,388.9750061035156,76150,2020-09-21
2020-09-28,342.4613342285156,349.6000061035156,359.07501220703125,340.0249938964844,349.9750061035156,46816,2020-09-28
2020-10-05,335.8491516113281,342.8500061035156,364.6499938964844,342.04998779296875,347.5,59696,2020-10-05
2020-10-12,322.5268859863281,329.25,350.6000061035156,326.1499938964844,343.2749938964844,42650,2020-10-12
2020-10-19,347.75103759765625,355.0,360.0,325.0,330.0249938964844,56348,2020-10-19
2020-10-26,334.74713134765625,341.7250061035156,370.0,336.0249938964844,360.4750061035156,53764,2020-10-26
2020-11-02,352.7224426269531,360.07501220703125,368.0,342.57501220703125,348.0,56786,2020-11-02
2020-11-09,419.7992248535156,428.54998779296875,444.5,359.0,359.0249938964844,1224640,2020-11-09
2020-11-16,410.1748352050781,418.7250061035156,448.95001220703125,415.0,430.04998779296875,217116,2020-11-16
2020-11-23,426.31341552734375,435.20001220703125,444.0,411.32501220703125,417.5,222030,2020-11-23
2020-11-30,431.7745666503906,440.7749938964844,459.5,435.20001220703125,435.20001220703125,244992,2020-11-30
2020-12-07,449.7498779296875,459.125,482.0,430.0,446.92498779296875,538756,2020-12-07
2020-12-14,444.21527099609375,453.4750061035156,472.5,448.7749938964844,463.0,162982,2020-12-14
2020-12-21,428.1256103515625,437.04998779296875,457.5,405.6000061035156,446.2250061035156,174020,2020-12-21
2020-12-28,433.0725402832031,442.1000061035156,454.5,432.75,447.5,176456,2020-12-28
2021-01-04,456.06817626953125,465.57501220703125,481.95001220703125,434.0,451.6499938964844,504694,2021-01-04
2021-01-11,450.60699462890625,460.0,472.70001220703125,451.1000061035156,469.5,150660,2021-01-11
2021-01-18,430.86846923828125,439.8500061035156,461.95001220703125,438.0,461.95001220703125,92568,2021-01-18
2021-01-25,428.4684753417969,437.3999938964844,449.0,435.0,442.7749938964844,67024,2021-01-25
2021-02-01,511.1696472167969,521.8250122070312,531.8250122070312,431.0,438.0249938964844,583392,2021-02-01
2021-02-08,523.1204833984375,534.0250244140625,546.5,491.70001220703125,526.5,313290,2021-02-08
2021-02-15,537.2998657226562,548.5,575.0,535.3499755859375,542.0,232558,2021-02-15
2021-02-22,542.2467041015625,553.5499877929688,575.0,537.5,559.0,168856,2021-02-22
2021-03-01,540.4590454101562,551.7249755859375,605.0,547.5,567.5,158182,2021-03-01
2021-03-08,552.1160278320312,563.625,575.0,550.0,550.0,62922,2021-03-08
2021-03-15,569.7974853515625,581.6749877929688,636.625,552.0,574.5,304094,2021-03-15
2021-03-22,545.0386352539062,556.4000244140625,577.0,550.0,576.0,78178,2021-03-22
2021-03-29,550.8670654296875,562.3499755859375,567.5,552.5499877929688,556.4000244140625,33442,2021-03-29
2021-04-05,547.3651123046875,558.7750244140625,566.8250122070312,545.1500244140625,565.1749877929688,52290,2021-04-05
2021-04-12,535.3162231445312,546.4749755859375,565.0250244140625,535.0,552.5,83006,2021-04-12
