Date,Adj Close_ACC.NS,Close_ACC.NS,High_ACC.NS,Low_ACC.NS,Open_ACC.NS,Volume_ACC.NS,Date
2020-07-13,1255.618896484375,1315.8499755859375,1320.0,1253.0,1301.0,3955950,2020-07-13
2020-07-20,1282.289794921875,1343.800048828125,1423.949951171875,1314.5,1315.8499755859375,10975301,2020-07-20
2020-07-27,1360.2022705078125,1425.449951171875,1454.9000244140625,1338.0,1353.0,6669784,2020-07-27
2020-08-03,1333.245361328125,1397.199951171875,1452.949951171875,1390.0,1423.4000244140625,4272021,2020-08-03
2020-08-10,1321.8900146484375,1385.300048828125,1434.949951171875,1380.449951171875,1402.0999755859375,4134901,2020-08-10
2020-08-17,1357.005615234375,1422.0999755859375,1444.0,1372.300048828125,1397.0,3259449,2020-08-17
2020-08-24,1332.4820556640625,1396.4000244140625,1439.0,1387.050048828125,1425.1500244140625,2590728,2020-08-24
2020-08-31,1249.08251953125,1309.0,1403.199951171875,1301.3499755859375,1393.0,4163266,2020-08-31
2020-09-07,1261.05810546875,1321.550048828125,1355.4000244140625,1289.0,1315.0,5318314,2020-09-07
2020-09-14,1366.26171875,1431.800048828125,1438.050048828125,1343.300048828125,1350.0,6391663,2020-09-14
2020-09-21,1272.318115234375,1333.3499755859375,1431.4000244140625,1293.6500244140625,1431.4000244140625,3135107,2020-09-21
2020-09-28,1350.3260498046875,1415.0999755859375,1423.0,1341.0,1348.0,3375691,2020-09-28
2020-10-05,1438.210205078125,1507.199951171875,1531.5,1402.0,1420.0,6654365,2020-10-05
2020-10-12,1489.6907958984375,1561.1500244140625,1566.0,1473.0999755859375,1501.0999755859375,7399575,2020-10-12
2020-10-19,1531.1043701171875,1604.550048828125,1636.199951171875,1538.199951171875,1569.0,13597480,2020-10-19
2020-10-26,1573.5196533203125,1649.0,1700.0,1573.5,1604.9000244140625,10532658,2020-10-26
2020-11-02,1578.4815673828125,1654.199951171875,1703.199951171875,1630.0,1649.0,5591484,2020-11-02
2020-11-09,1591.6976318359375,1668.050048828125,1696.949951171875,1647.0,1668.0999755859375,7452887,2020-11-09
2020-11-16,1609.58935546875,1686.800048828125,1723.9000244140625,1667.4000244140625,1676.3499755859375,7071648,2020-11-16
2020-11-23,1627.0040283203125,1705.050048828125,1757.0,1654.0,1704.0,14380665,2020-11-23
2020-11-30,1589.6937255859375,1665.949951171875,1785.0,1654.550048828125,1705.050048828125,7834397,2020-11-30
2020-12-07,1535.1119384765625,1608.75,1700.0,1605.0,1682.5999755859375,9162871,2020-12-07
2020-12-14,1572.851806640625,1648.300048828125,1659.8499755859375,1607.5999755859375,1619.8499755859375,5829149,2020-12-14
2020-12-21,1540.741943359375,1614.6500244140625,1694.4000244140625,1485.0,1648.0,8029090,2020-12-21
2020-12-28,1551.667724609375,1626.0999755859375,1652.550048828125,1600.0,1614.0,5604506,2020-12-28
2021-01-04,1680.6314697265625,1761.25,1769.550048828125,1628.0,1634.0,8617567,2021-01-04
2021-01-11,1660.44970703125,1740.0999755859375,1814.0,1718.25,1743.949951171875,5972441,2021-01-11
2021-01-18,1617.2708740234375,1694.8499755859375,1746.3499755859375,1653.25,1738.0,5635691,2021-01-18
2021-01-25,1530.4364013671875,1603.8499755859375,1725.6500244140625,1593.4000244140625,1724.550048828125,3241242,2021-01-25
2021-02-01,1644.1324462890625,1723.0,1784.0,1584.199951171875,1625.0,5585164,2021-02-01
2021-02-08,1684.925537109375,1765.75,1813.5999755859375,1716.0999755859375,1736.0,8652980,2021-02-08
2021-02-15,1667.36767578125,1747.3499755859375,1843.550048828125,1735.5,1785.0,5113171,2021-02-15
