Date,Adj Close_TARACHAND.NS,Close_TARACHAND.NS,High_TARACHAND.NS,Low_TARACHAND.NS,Open_TARACHAND.NS,Volume_TARACHAND.NS,Date
2020-07-13,6.875009059906006,6.900000095367432,8.0,6.800000190734863,7.599999904632568,100000,2020-07-13
2020-07-20,7.31341552734375,7.340000152587891,7.340000152587891,7.300000190734863,7.300000190734863,20000,2020-07-20
2020-07-27,7.572473526000977,7.599999904632568,7.599999904632568,7.340000152587891,7.340000152587891,10000,2020-07-27
2020-08-03,7.572473526000977,7.599999904632568,7.78000020980835,7.0,7.599999904632568,30000,2020-08-03
2020-08-10,7.173922538757324,7.199999809265137,7.800000190734863,7.199999809265137,7.599999904632568,20000,2020-08-10
2020-08-17,7.37319803237915,7.400000095367432,7.400000095367432,7.199999809265137,7.199999809265137,10000,2020-08-17
2020-08-24,7.343306541442871,7.369999885559082,7.400000095367432,7.099999904632568,7.400000095367432,30000,2020-08-24
2020-08-31,6.875009059906006,6.900000095367432,7.0,6.300000190734863,6.300000190734863,50000,2020-08-31
2020-09-07,6.775371551513672,6.800000190734863,6.800000190734863,6.199999809265137,6.210000038146973,40000,2020-09-07
2020-09-14,6.775371551513672,6.800000190734863,6.800000190734863,6.800000190734863,6.800000190734863,0,2020-09-14
2020-09-21,6.954719543457031,6.980000019073486,6.980000019073486,6.199999809265137,6.800000190734863,20000,2020-09-21
2020-09-28,6.117761611938477,6.139999866485596,6.980000019073486,6.139999866485596,6.980000019073486,10000,2020-09-28
2020-10-05,6.307073593139648,6.329999923706055,6.349999904632568,6.139999866485596,6.139999866485596,300000,2020-10-05
2020-10-12,6.307073593139648,6.329999923706055,6.329999923706055,6.329999923706055,6.329999923706055,0,2020-10-12
2020-10-19,6.2173991203308105,6.239999771118164,7.5,6.0,6.329999923706055,170000,2020-10-19
2020-10-26,5.978268623352051,6.0,6.0,6.0,6.0,50000,2020-10-26
2020-11-02,5.480079650878906,5.5,6.0,5.5,6.0,30000,2020-11-02
2020-11-09,5.838776111602783,5.860000133514404,6.0,5.360000133514404,5.360000133514404,70000,2020-11-09
2020-11-16,5.968304634094238,5.989999771118164,6.0,5.409999847412109,5.860000133514404,30000,2020-11-16
2020-11-23,6.177544116973877,6.199999809265137,6.199999809265137,5.989999771118164,5.989999771118164,10000,2020-11-23
2020-11-30,6.177544116973877,6.199999809265137,6.199999809265137,5.400000095367432,6.199999809265137,30000,2020-11-30
2020-12-07,6.366856098175049,6.389999866485596,6.5,6.0,6.199999809265137,40000,2020-12-07
2020-12-14,6.416675090789795,6.440000057220459,6.5,6.389999866485596,6.389999866485596,20000,2020-12-14
2020-12-21,6.416675090789795,6.440000057220459,6.440000057220459,6.440000057220459,6.440000057220459,0,2020-12-21
2020-12-28,6.416675090789795,6.440000057220459,6.440000057220459,6.440000057220459,6.440000057220459,0,2020-12-28
2021-01-04,5.589681625366211,5.610000133514404,6.440000057220459,5.610000133514404,6.440000057220459,20000,2021-01-04
2021-01-11,5.778993129730225,5.800000190734863,5.869999885559082,5.199999809265137,5.610000133514404,60000,2021-01-11
2021-01-18,5.778993129730225,5.800000190734863,5.800000190734863,5.800000190734863,5.800000190734863,0,2021-01-18
2021-01-25,5.778993129730225,5.800000190734863,5.800000190734863,5.800000190734863,5.800000190734863,0,2021-01-25
2021-02-01,5.778993129730225,5.800000190734863,5.800000190734863,5.800000190734863,5.800000190734863,0,2021-02-01
2021-02-08,6.167580604553223,6.190000057220459,6.400000095367432,5.800000190734863,5.800000190734863,1890000,2021-02-08
2021-02-15,6.366856098175049,6.389999866485596,7.579999923706055,5.730000019073486,6.190000057220459,120000,2021-02-15
