Date,Adj Close_SUNDROP.NS,Close_SUNDROP.NS,High_SUNDROP.NS,Low_SUNDROP.NS,Open_SUNDROP.NS,Volume_SUNDROP.NS,Date
2025-03-17,810.5499877929688,810.5499877929688,840.0499877929688,768.5,823.0999755859375,238262,2025-03-17
2025-03-24,754.6500244140625,754.6500244140625,825.9500122070312,746.0999755859375,810.5999755859375,195683,2025-03-24
2025-03-31,800.75,800.75,864.0,747.0,747.0,188737,2025-03-31
2025-04-07,757.5499877929688,757.5499877929688,790.0,685.0,685.0,92294,2025-04-07
2025-04-14,807.4000244140625,807.4000244140625,844.7000122070312,759.5499877929688,779.0,55063,2025-04-14
2025-04-21,789.4500122070312,789.4500122070312,830.9500122070312,774.9000244140625,804.0,57021,2025-04-21
2025-04-28,789.5999755859375,789.5999755859375,800.0,769.9500122070312,795.3499755859375,34464,2025-04-28
2025-05-05,774.2999877929688,774.2999877929688,803.9000244140625,751.0,799.3499755859375,35843,2025-05-05
2025-05-12,802.0,802.0,829.0,766.25,779.0,74982,2025-05-12
2025-05-19,885.25,885.25,900.0,773.2000122070312,802.9000244140625,136127,2025-05-19
2025-05-26,910.5499877929688,910.5499877929688,928.0,874.5499877929688,885.0,99779,2025-05-26
2025-06-02,893.0999755859375,893.0999755859375,960.1500244140625,891.0,905.0999755859375,68694,2025-06-02
2025-06-09,880.4500122070312,880.4500122070312,915.7999877929688,867.9000244140625,898.0,72129,2025-06-09
2025-06-16,828.8499755859375,828.8499755859375,894.4500122070312,828.0,885.0999755859375,69333,2025-06-16
2025-06-23,840.9000244140625,840.9000244140625,876.0,826.0,828.0999755859375,45078,2025-06-23
2025-06-30,886.2999877929688,886.2999877929688,905.0,841.2000122070312,848.9500122070312,77943,2025-06-30
2025-07-07,873.6500244140625,873.6500244140625,920.9500122070312,847.7999877929688,878.7999877929688,55068,2025-07-07
2025-07-14,891.25,891.25,900.0,860.2000122070312,878.0499877929688,19829,2025-07-14
