Date,Adj Close_SUNDARAM.NS,Close_SUNDARAM.NS,High_SUNDARAM.NS,Low_SUNDARAM.NS,Open_SUNDARAM.NS,Volume_SUNDARAM.NS,Date
2020-07-13,1.399999976158142,1.399999976158142,1.5,1.350000023841858,1.4500000476837158,151115,2020-07-13
2020-07-20,1.5,1.5,1.5,1.350000023841858,1.350000023841858,568174,2020-07-20
2020-07-27,1.5499999523162842,1.5499999523162842,1.7000000476837158,1.5,1.5,441485,2020-07-27
2020-08-03,1.350000023841858,1.350000023841858,1.5499999523162842,1.350000023841858,1.5,471257,2020-08-03
2020-08-10,1.350000023841858,1.350000023841858,1.4500000476837158,1.2999999523162842,1.350000023841858,966045,2020-08-10
2020-08-17,1.399999976158142,1.399999976158142,1.4500000476837158,1.2999999523162842,1.350000023841858,1161758,2020-08-17
2020-08-24,1.399999976158142,1.399999976158142,1.4500000476837158,1.2999999523162842,1.399999976158142,2037019,2020-08-24
2020-08-31,1.2999999523162842,1.2999999523162842,1.399999976158142,1.25,1.399999976158142,1642358,2020-08-31
2020-09-07,1.25,1.25,1.350000023841858,1.149999976158142,1.2999999523162842,1304908,2020-09-07
2020-09-14,1.2000000476837158,1.2000000476837158,1.2999999523162842,1.2000000476837158,1.25,539287,2020-09-14
2020-09-21,1.149999976158142,1.149999976158142,1.25,1.100000023841858,1.25,1839427,2020-09-21
2020-09-28,1.100000023841858,1.100000023841858,1.149999976158142,1.100000023841858,1.149999976158142,298746,2020-09-28
2020-10-05,1.100000023841858,1.100000023841858,1.2000000476837158,1.0499999523162842,1.100000023841858,862621,2020-10-05
2020-10-12,1.100000023841858,1.100000023841858,1.2000000476837158,1.0499999523162842,1.100000023841858,1546358,2020-10-12
2020-10-19,1.2000000476837158,1.2000000476837158,1.25,1.100000023841858,1.149999976158142,744774,2020-10-19
2020-10-26,1.2000000476837158,1.2000000476837158,1.2999999523162842,1.149999976158142,1.2000000476837158,1019596,2020-10-26
2020-11-02,1.149999976158142,1.149999976158142,1.2000000476837158,1.100000023841858,1.2000000476837158,469565,2020-11-02
2020-11-09,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.149999976158142,1.149999976158142,629892,2020-11-09
2020-11-16,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.100000023841858,1.2000000476837158,817187,2020-11-16
2020-11-23,1.25,1.25,1.25,1.149999976158142,1.149999976158142,827707,2020-11-23
2020-11-30,1.600000023841858,1.600000023841858,1.600000023841858,1.25,1.25,1281881,2020-11-30
2020-12-07,1.5499999523162842,1.5499999523162842,1.649999976158142,1.399999976158142,1.649999976158142,2011816,2020-12-07
2020-12-14,1.5,1.5,1.600000023841858,1.4500000476837158,1.5499999523162842,1100741,2020-12-14
2020-12-21,1.4500000476837158,1.4500000476837158,1.5,1.350000023841858,1.5,832253,2020-12-21
2020-12-28,1.5,1.5,1.5,1.350000023841858,1.4500000476837158,1474530,2020-12-28
2021-01-04,1.7000000476837158,1.7000000476837158,1.75,1.5499999523162842,1.5499999523162842,1273628,2021-01-04
2021-01-11,1.649999976158142,1.649999976158142,1.7999999523162842,1.600000023841858,1.75,2086421,2021-01-11
2021-01-18,1.600000023841858,1.600000023841858,1.649999976158142,1.5,1.649999976158142,1630309,2021-01-18
2021-01-25,1.5,1.5,1.600000023841858,1.4500000476837158,1.600000023841858,828993,2021-01-25
