Date,Adj Close_NAHARCAP.NS,Close_NAHARCAP.NS,High_NAHARCAP.NS,Low_NAHARCAP.NS,Open_NAHARCAP.NS,Volume_NAHARCAP.NS,Date
2020-07-13,62.80497741699219,64.80000305175781,66.94999694824219,63.650001525878906,64.30000305175781,15358,2020-07-13
2020-07-20,62.99881362915039,65.0,65.9000015258789,63.25,64.80000305175781,13902,2020-07-20
2020-07-27,59.2673454284668,61.150001525878906,64.44999694824219,60.5,64.0,22372,2020-07-27
2020-08-03,62.07806396484375,64.05000305175781,65.75,60.75,60.75,12329,2020-08-03
2020-08-10,67.36027526855469,69.5,70.9000015258789,64.05000305175781,65.69999694824219,40202,2020-08-10
2020-08-17,70.46174621582031,72.69999694824219,76.9000015258789,70.05000305175781,73.4000015258789,105224,2020-08-17
2020-08-24,69.6379165649414,71.8499984741211,77.8499984741211,70.3499984741211,71.19999694824219,107933,2020-08-24
2020-08-31,65.76107025146484,67.8499984741211,74.0,64.25,71.8499984741211,41628,2020-08-31
2020-09-07,62.99881362915039,65.0,68.0,61.099998474121094,65.6500015258789,19757,2020-09-07
2020-09-14,63.33803939819336,65.3499984741211,67.5999984741211,63.75,63.75,6882,2020-09-14
2020-09-21,60.69498062133789,62.150001525878906,69.0,59.099998474121094,65.25,24947,2020-09-21
2020-09-28,63.38059616088867,64.9000015258789,67.4000015258789,59.099998474121094,61.0,7901,2020-09-28
2020-10-05,62.89229965209961,64.4000015258789,66.80000305175781,63.0,64.9000015258789,9817,2020-10-05
2020-10-12,60.69498062133789,62.150001525878906,66.94999694824219,60.79999923706055,62.70000076293945,5053,2020-10-12
2020-10-19,62.648155212402344,64.1500015258789,67.0,61.150001525878906,61.599998474121094,6727,2020-10-19
2020-10-26,62.35517120361328,63.849998474121094,68.80000305175781,63.150001525878906,64.19999694824219,17621,2020-10-26
2020-11-02,64.79664611816406,66.3499984741211,66.4000015258789,60.099998474121094,63.650001525878906,7779,2020-11-02
2020-11-09,64.89430236816406,66.44999694824219,69.94999694824219,62.349998474121094,69.94999694824219,17751,2020-11-09
2020-11-16,67.53108215332031,69.1500015258789,70.44999694824219,63.099998474121094,64.8499984741211,33808,2020-11-16
2020-11-23,69.58193969726562,71.25,71.8499984741211,66.80000305175781,70.4000015258789,33139,2020-11-23
2020-11-30,73.73242950439453,75.5,78.44999694824219,67.5,71.25,75141,2020-11-30
2020-12-07,76.61336517333984,78.44999694824219,84.5,75.0,76.80000305175781,82582,2020-12-07
2020-12-14,78.56654357910156,80.44999694824219,87.44999694824219,73.69999694824219,76.75,75734,2020-12-14
2020-12-21,89.60198974609375,91.75,97.6500015258789,73.0999984741211,78.3499984741211,185894,2020-12-21
2020-12-28,86.2815933227539,88.3499984741211,95.0,85.25,93.0,84244,2020-12-28
2021-01-04,96.04747772216797,98.3499984741211,101.94999694824219,86.5999984741211,86.5999984741211,96065,2021-01-04
2021-01-11,88.47891235351562,90.5999984741211,100.0,90.19999694824219,98.4000015258789,47692,2021-01-11
2021-01-18,84.27960205078125,86.30000305175781,93.30000305175781,85.5999984741211,91.69999694824219,32303,2021-01-18
2021-01-25,80.42206573486328,82.3499984741211,88.4000015258789,78.69999694824219,87.30000305175781,20227,2021-01-25
2021-02-01,89.55316162109375,91.69999694824219,98.94999694824219,81.5,82.55000305175781,101718,2021-02-01
2021-02-08,91.79932403564453,94.0,96.94999694824219,88.0,96.94999694824219,65261,2021-02-08
2021-02-15,86.67223358154297,88.75,96.69999694824219,88.1500015258789,96.69999694824219,22867,2021-02-15
