Date,Adj Close_PIXTRANS.NS,Close_PIXTRANS.NS,High_PIXTRANS.NS,Low_PIXTRANS.NS,Open_PIXTRANS.NS,Volume_PIXTRANS.NS,Date
2022-04-25,1034.32568359375,1052.8499755859375,1121.199951171875,917.4000244140625,1018.5499877929688,69089,2022-04-25
2022-05-02,942.9619750976562,959.8499755859375,1096.949951171875,901.0,1075.0,78888,2022-05-02
2022-05-09,807.9794921875,822.4500122070312,1049.800048828125,797.7999877929688,970.0,113647,2022-05-09
2022-05-16,811.0740356445312,825.5999755859375,875.0,713.7000122070312,785.5,125538,2022-05-16
2022-05-23,772.6128540039062,786.4500122070312,849.8499755859375,742.0,842.1500244140625,36647,2022-05-23
2022-05-30,842.7074584960938,857.7999877929688,897.0,739.5999755859375,819.0,69254,2022-05-30
2022-06-06,864.7134399414062,880.2000122070312,896.0,814.4500122070312,874.0,70999,2022-06-06
2022-06-13,767.307861328125,781.0499877929688,880.2000122070312,771.4500122070312,860.0999755859375,46258,2022-06-13
2022-06-20,798.7939453125,813.0999755859375,822.0,754.5499877929688,792.75,41272,2022-06-20
2022-06-27,796.8291625976562,811.0999755859375,849.9000244140625,781.4000244140625,825.2999877929688,27467,2022-06-27
2022-07-04,822.3716430664062,837.0999755859375,841.5999755859375,790.2000122070312,810.0,24129,2022-07-04
2022-07-11,844.9179077148438,860.0499877929688,897.0999755859375,820.0,850.0,48232,2022-07-11
2022-07-18,882.087890625,891.4500122070312,935.0499877929688,840.2999877929688,872.5,77338,2022-07-18
2022-07-25,940.46826171875,950.4500122070312,959.7999877929688,873.5,891.5,102015,2022-07-25
2022-08-01,913.7518310546875,923.4500122070312,1140.5,913.5,950.0,106349,2022-08-01
2022-08-08,951.6495971679688,961.75,979.9500122070312,903.5,952.0,77262,2022-08-08
2022-08-15,891.68603515625,901.1500244140625,971.7999877929688,892.0,961.75,62788,2022-08-15
2022-08-22,890.3502197265625,899.7999877929688,930.5,886.2999877929688,895.0,64877,2022-08-22
2022-08-29,924.5868530273438,934.4000244140625,959.9500122070312,875.0,886.2999877929688,54926,2022-08-29
2022-09-05,923.3004150390625,933.0999755859375,970.0,910.75,935.0,74008,2022-09-05
2022-09-12,863.6831665039062,872.8499755859375,955.0,856.4000244140625,929.5,89132,2022-09-12
2022-09-19,854.18408203125,863.25,893.0999755859375,843.0,873.0999755859375,49327,2022-09-19
2022-09-26,870.1644287109375,879.4000244140625,890.0,780.75,863.0,67008,2022-09-26
2022-10-03,884.2647705078125,893.6500244140625,899.7999877929688,848.0999755859375,866.5,35222,2022-10-03
2022-10-10,838.5994873046875,847.5,887.9500122070312,832.5999755859375,885.0,21181,2022-10-10
2022-10-17,856.7567138671875,865.8499755859375,927.0,811.9000244140625,857.5,75879,2022-10-17
2022-10-24,821.580078125,830.2999877929688,897.9500122070312,820.0999755859375,890.0,33253,2022-10-24
2022-10-31,885.9963989257812,895.4000244140625,930.0,829.75,842.75,83795,2022-10-31
2022-11-07,919.0950317382812,928.8499755859375,955.0,861.0,895.3499755859375,95786,2022-11-07
2022-11-14,856.3115234375,865.4000244140625,905.0999755859375,850.25,905.0999755859375,88932,2022-11-14
2022-11-21,900.9873046875,910.5499877929688,920.0,864.0499877929688,874.9500122070312,62355,2022-11-21
2022-11-28,894.506103515625,904.0,926.0,892.8499755859375,910.0,81194,2022-11-28
2022-12-05,875.1119384765625,884.4000244140625,928.0,872.0,915.0,57335,2022-12-05
