Date,Adj Close_CENTUM.NS,Close_CENTUM.NS,High_CENTUM.NS,Low_CENTUM.NS,Open_CENTUM.NS,Volume_CENTUM.NS,Date
2020-07-13,310.990234375,319.8500061035156,328.29998779296875,303.0,312.70001220703125,49897,2020-07-13
2020-07-20,329.9014587402344,339.29998779296875,353.0,315.0,328.0,92199,2020-07-20
2020-07-27,307.8302307128906,316.6000061035156,355.0,301.3500061035156,346.8500061035156,117111,2020-07-27
2020-08-03,334.9574279785156,344.5,349.3999938964844,306.04998779296875,318.95001220703125,91008,2020-08-03
2020-08-10,347.11114501953125,357.0,388.25,342.3500061035156,359.0,155314,2020-08-10
2020-08-17,364.8556213378906,375.25,393.0,346.04998779296875,369.0,128693,2020-08-17
2020-08-24,348.86126708984375,358.79998779296875,389.8500061035156,354.0,389.8500061035156,61503,2020-08-24
2020-08-31,334.1795959472656,343.70001220703125,357.0,327.0,354.95001220703125,66580,2020-08-31
2020-09-07,317.83477783203125,324.5,363.04998779296875,320.1000061035156,347.0,66389,2020-09-07
2020-09-14,330.4208068847656,337.3500061035156,356.79998779296875,316.8500061035156,331.54998779296875,98887,2020-09-14
2020-09-21,296.7274475097656,302.95001220703125,339.95001220703125,283.25,333.6499938964844,59315,2020-09-21
2020-09-28,295.5030822753906,301.70001220703125,316.8999938964844,287.04998779296875,309.95001220703125,40256,2020-09-28
2020-10-05,292.221923828125,298.3500061035156,309.8999938964844,288.0,299.95001220703125,42656,2020-10-05
2020-10-12,296.6294250488281,302.8500061035156,307.3999938964844,292.95001220703125,298.3500061035156,17760,2020-10-12
2020-10-19,284.6800231933594,290.6499938964844,307.6499938964844,276.20001220703125,307.6499938964844,29705,2020-10-19
2020-10-26,269.2535095214844,274.8999938964844,292.0,260.0,290.70001220703125,31845,2020-10-26
2020-11-02,272.63262939453125,278.3500061035156,289.8999938964844,262.75,280.0,21793,2020-11-02
2020-11-09,269.449462890625,275.1000061035156,283.79998779296875,264.0,283.1000061035156,51257,2020-11-09
2020-11-16,283.0149841308594,288.95001220703125,303.8500061035156,271.20001220703125,271.20001220703125,56474,2020-11-16
2020-11-23,305.8853454589844,312.29998779296875,314.8500061035156,285.0,297.8999938964844,37115,2020-11-23
2020-11-30,315.04327392578125,321.6499938964844,329.6499938964844,311.0,312.29998779296875,31116,2020-11-30
2020-12-07,373.6150207519531,381.45001220703125,418.6499938964844,314.8500061035156,338.70001220703125,321594,2020-12-07
2020-12-14,384.927734375,393.0,418.0,356.1000061035156,385.1000061035156,275946,2020-12-14
2020-12-21,367.4443664550781,375.1499938964844,405.0,331.1499938964844,405.0,88130,2020-12-21
2020-12-28,433.2641296386719,442.3500061035156,473.0,370.6499938964844,384.79998779296875,760752,2020-12-28
2021-01-04,458.0934143066406,467.70001220703125,473.0,428.04998779296875,450.0,121381,2021-01-04
2021-01-11,450.698486328125,460.1499938964844,481.5,452.5,467.70001220703125,67378,2021-01-11
2021-01-18,431.4521484375,440.5,468.0,435.0,448.20001220703125,116481,2021-01-18
2021-01-25,426.6527404785156,435.6000061035156,468.95001220703125,425.0,442.0,62104,2021-01-25
2021-02-01,436.4963073730469,445.6499938964844,487.1499938964844,429.1000061035156,442.0,71928,2021-02-01
2021-02-08,409.7570495605469,418.3500061035156,452.79998779296875,412.1499938964844,436.04998779296875,98872,2021-02-08
2021-02-15,429.00347900390625,438.0,465.0,407.5,418.0,57675,2021-02-15
2021-02-22,426.653564453125,433.54998779296875,448.3999938964844,417.0,448.3999938964844,33568,2021-02-22
2021-03-01,424.8822326660156,431.75,449.79998779296875,428.25,431.1000061035156,44769,2021-03-01
2021-03-08,424.04571533203125,430.8999938964844,450.79998779296875,426.0,431.1000061035156,32428,2021-03-08
2021-03-15,388.8643798828125,395.1499938964844,441.6499938964844,384.0,439.6000061035156,29958,2021-03-15
2021-03-22,380.1551513671875,386.29998779296875,417.8999938964844,381.0,395.25,48983,2021-03-22
2021-03-29,372.3316345214844,378.3500061035156,400.1499938964844,374.6499938964844,386.29998779296875,11101,2021-03-29
2021-04-05,403.1829833984375,409.70001220703125,413.04998779296875,362.0,381.20001220703125,19593,2021-04-05
2021-04-12,365.1969909667969,371.1000061035156,417.0,370.0,417.0,15078,2021-04-12
2021-04-19,380.6964416503906,386.8500061035156,388.79998779296875,358.0,358.0,14445,2021-04-19
2021-04-26,388.0771484375,394.3500061035156,415.3999938964844,356.54998779296875,390.0,19750,2021-04-26
2021-05-03,388.9628601074219,395.25,416.0,384.0,397.6499938964844,23250,2021-05-03
2021-05-10,368.6905212402344,374.6499938964844,404.8999938964844,370.3999938964844,404.8500061035156,21806,2021-05-10
2021-05-17,414.00799560546875,420.70001220703125,443.0,376.1000061035156,382.1499938964844,127132,2021-05-17
2021-05-24,389.4548645019531,395.75,434.95001220703125,387.04998779296875,420.04998779296875,80029,2021-05-24
2021-05-31,428.2773742675781,435.20001220703125,453.04998779296875,396.5,396.5,97438,2021-05-31
2021-06-07,422.569580078125,429.3999938964844,456.0,418.0,440.0,78412,2021-06-07
2021-06-14,384.8788146972656,391.1000061035156,431.8999938964844,387.25,431.8999938964844,125172,2021-06-14
2021-06-21,388.2247314453125,394.5,401.54998779296875,389.5,389.5,40630,2021-06-21
2021-06-28,387.83111572265625,394.1000061035156,409.95001220703125,388.95001220703125,408.8999938964844,40818,2021-06-28
2021-07-05,500.2637634277344,508.3500061035156,541.9000244140625,394.29998779296875,405.95001220703125,791829,2021-07-05
2021-07-12,480.0406188964844,487.79998779296875,526.0499877929688,481.29998779296875,510.95001220703125,167843,2021-07-12
2021-07-19,490.0783996582031,498.0,518.5,484.8999938964844,489.79998779296875,133660,2021-07-19
2021-07-26,521.0773315429688,529.5,562.5,491.1000061035156,498.0,187619,2021-07-26
2021-08-02,501.493896484375,509.6000061035156,540.75,501.75,538.0,110818,2021-08-02
2021-08-09,463.5365295410156,469.25,525.5,446.6000061035156,518.0499877929688,87960,2021-08-09
2021-08-16,434.04998779296875,439.3999938964844,459.3999938964844,423.3500061035156,452.20001220703125,57288,2021-08-16
2021-08-23,460.5237121582031,466.20001220703125,502.0,438.45001220703125,448.95001220703125,67098,2021-08-23
2021-08-30,472.37762451171875,478.20001220703125,488.0,462.45001220703125,466.20001220703125,13715,2021-08-30
2021-09-06,460.0791931152344,465.75,489.79998779296875,460.0,476.0,12700,2021-09-06
2021-09-13,489.07183837890625,495.1000061035156,557.4000244140625,450.25,466.70001220703125,266851,2021-09-13
2021-09-20,492.2822570800781,498.3500061035156,540.0,467.1000061035156,472.6499938964844,212739,2021-09-20
2021-09-27,477.2179260253906,483.1000061035156,506.75,470.0,500.95001220703125,47117,2021-09-27
2021-10-04,501.7653503417969,507.95001220703125,574.9500122070312,477.0,483.3500061035156,418844,2021-10-04
2021-10-11,534.9069213867188,541.5,565.0,500.1000061035156,512.5499877929688,118741,2021-10-11
2021-10-18,531.9927978515625,538.5499877929688,615.0,531.3499755859375,545.9500122070312,254892,2021-10-18
2021-10-25,531.8939819335938,538.4500122070312,550.0,507.5,536.0,76578,2021-10-25
2021-11-01,599.90576171875,607.2999877929688,622.0,538.4500122070312,538.4500122070312,157324,2021-11-01
2021-11-08,558.0220336914062,564.9000244140625,643.5,551.2999877929688,607.2999877929688,152167,2021-11-08
2021-11-15,543.6490478515625,550.3499755859375,573.0,534.2999877929688,573.0,36116,2021-11-15
2021-11-22,513.0265502929688,519.3499755859375,586.7000122070312,512.8499755859375,555.0,52453,2021-11-22
2021-11-29,545.7235717773438,552.4500122070312,562.0,504.0,510.1000061035156,72258,2021-11-29
2021-12-06,557.6267700195312,564.5,587.5499877929688,535.2999877929688,559.9000244140625,135921,2021-12-06
2021-12-13,560.3927612304688,567.2999877929688,614.0,560.0,574.9000244140625,201042,2021-12-13
2021-12-20,555.0584716796875,561.9000244140625,590.0,532.0,556.6500244140625,112639,2021-12-20
2021-12-27,591.7561645507812,599.0499877929688,628.0,548.2000122070312,556.0499877929688,212098,2021-12-27
2022-01-03,606.1289672851562,613.5999755859375,659.9000244140625,587.5,598.7000122070312,279146,2022-01-03
2022-01-10,607.6107177734375,615.0999755859375,629.9500122070312,600.0,613.5999755859375,80383,2022-01-10
2022-01-17,585.6810302734375,592.9000244140625,648.0,585.3499755859375,609.0999755859375,94876,2022-01-17
2022-01-24,576.9881591796875,584.0999755859375,614.0,553.4500122070312,575.0999755859375,123678,2022-01-24
2022-01-31,552.7864990234375,559.5999755859375,609.9000244140625,555.0,609.9000244140625,52462,2022-01-31
2022-02-07,538.4630126953125,545.0999755859375,579.0,540.0499877929688,579.0,32733,2022-02-07
2022-02-14,455.683349609375,461.29998779296875,533.3499755859375,448.20001220703125,522.2999877929688,131030,2022-02-14
2022-02-21,436.22320556640625,441.6000061035156,459.5,410.0,455.8999938964844,72279,2022-02-21
2022-02-28,406.9836120605469,412.0,441.6000061035156,405.29998779296875,435.0,30766,2022-02-28
2022-03-07,417.7015075683594,422.8500061035156,442.0,390.0,413.29998779296875,48250,2022-03-07
