Date,Adj Close_BHAGCHEM.NS,Close_BHAGCHEM.NS,High_BHAGCHEM.NS,Low_BHAGCHEM.NS,Open_BHAGCHEM.NS,Volume_BHAGCHEM.NS,Date
2021-10-18,68.60755920410156,69.03620147705078,82.64187622070312,63.024288177490234,74.48723602294922,750408,2021-10-18
2021-10-25,70.5018310546875,70.94230651855469,74.92980194091797,63.99706268310547,70.5435562133789,233323,2021-10-25
2021-11-01,72.32206726074219,72.77392578125,75.01744079589844,65.5219497680664,74.40397644042969,248649,2021-11-01
2021-11-08,70.58020782470703,71.02117919921875,79.30289459228516,67.94512176513672,74.48723602294922,165052,2021-11-08
2021-11-15,71.94940948486328,72.3094482421875,79.04875183105469,67.6164779663086,72.64247131347656,458502,2021-11-15
2021-11-22,69.38570404052734,69.73291778564453,75.76673889160156,68.53228759765625,70.86343383789062,132533,2021-11-22
2021-11-29,70.97711944580078,71.3322982788086,73.96578979492188,67.08189392089844,69.23338317871094,308987,2021-11-29
2021-12-06,82.05162811279297,82.46221923828125,83.8687973022461,69.67156982421875,71.3322982788086,781753,2021-12-06
2021-12-13,81.16654205322266,81.57270050048828,92.97868347167969,79.88568878173828,84.56551361083984,1317371,2021-12-13
2021-12-20,85.16033935546875,85.58648681640625,89.30229949951172,77.48004150390625,83.20713806152344,196900,2021-12-20
2021-12-27,85.55274200439453,85.98085021972656,87.549560546875,83.69790649414062,86.98429870605469,60918,2021-12-27
2022-01-03,83.3596420288086,83.77677917480469,87.37428283691406,82.02841186523438,87.2866439819336,145050,2022-01-03
2022-01-10,85.80997467041016,86.2393798828125,92.62813568115234,82.55423736572266,85.88445281982422,242314,2022-01-10
2022-01-17,88.7660903930664,89.21028137207031,91.9051284790039,86.17365264892578,87.89572143554688,351036,2022-01-17
2022-01-24,87.99000549316406,88.43031311035156,92.106689453125,83.25533294677734,89.12702941894531,478836,2022-01-24
2022-01-31,95.6287841796875,96.10733032226562,96.31327819824219,87.08069610595703,89.33735656738281,835476,2022-01-31
2022-02-07,95.22331237792969,95.69982147216797,99.030029296875,93.85943603515625,99.030029296875,235992,2022-02-07
2022-02-14,92.64216613769531,93.10575866699219,95.96273040771484,82.48851013183594,95.69982147216797,212407,2022-02-14
2022-02-21,86.65147399902344,87.0850830078125,96.18182373046875,83.34297180175781,91.14268493652344,78024,2022-02-21
2022-02-28,85.43502044677734,85.86254119873047,89.74048614501953,83.51824951171875,89.38993835449219,57405,2022-02-28
2022-03-07,86.1893081665039,86.62060546875,87.63719940185547,81.94078063964844,83.47881317138672,115736,2022-03-07
2022-03-14,87.24443817138672,87.68101501464844,92.01905822753906,79.35986328125,87.01058959960938,353101,2022-03-14
2022-03-21,86.54682922363281,86.97991943359375,91.58963012695312,85.88445281982422,89.54330444335938,1100979,2022-03-21
2022-03-28,91.11615753173828,91.57210540771484,92.01905822753906,85.35862731933594,88.4259262084961,224126,2022-03-28
2022-04-04,97.7110366821289,98.19999694824219,105.0,90.5379867553711,92.89542388916016,1410352,2022-04-04
2022-04-11,97.27820587158203,97.76499938964844,102.55000305175781,94.01000213623047,97.80000305175781,209020,2022-04-11
2022-04-18,95.95980072021484,96.44000244140625,100.52999877929688,93.30000305175781,98.99500274658203,120620,2022-04-18
2022-04-25,94.53195190429688,95.00499725341797,99.9000015258789,93.19999694824219,97.38999938964844,243260,2022-04-25
2022-05-02,96.04438781738281,96.5250015258789,104.9000015258789,93.40499877929688,93.40499877929688,107540,2022-05-02
2022-05-09,83.75587463378906,84.17500305175781,97.7300033569336,82.6500015258789,96.0,174830,2022-05-09
2022-05-16,82.81558990478516,83.2300033569336,96.63500213623047,76.68499755859375,82.5,694920,2022-05-16
2022-05-23,90.56182098388672,91.01499938964844,94.0,81.87000274658203,81.87000274658203,416770,2022-05-23
