Date,Adj Close_RAYMOND.NS,Close_RAYMOND.NS,High_RAYMOND.NS,Low_RAYMOND.NS,Open_RAYMOND.NS,Volume_RAYMOND.NS,Date
2020-07-13,250.17848205566406,252.4499969482422,261.45001220703125,244.0500030517578,253.35000610351562,1711816,2020-07-13
2020-07-20,250.02984619140625,252.3000030517578,267.3999938964844,245.3000030517578,254.0,3994971,2020-07-20
2020-07-27,236.9486083984375,239.10000610351562,254.0,236.25,253.0,3338972,2020-07-27
2020-08-03,251.86317443847656,254.14999389648438,262.3999938964844,233.35000610351562,240.0,4967628,2020-08-03
2020-08-10,265.2912902832031,267.70001220703125,281.0,255.0,255.8000030517578,10094971,2020-08-10
2020-08-17,286.99420166015625,289.6000061035156,295.25,263.25,270.0,8272994,2020-08-17
2020-08-24,301.8096923828125,304.54998779296875,312.0,281.8999938964844,292.5,10594611,2020-08-24
2020-08-31,281.543701171875,284.1000061035156,310.8999938964844,270.04998779296875,310.3999938964844,4106910,2020-08-31
2020-09-07,268.3138122558594,270.75,286.70001220703125,254.6999969482422,284.0,2955466,2020-09-07
2020-09-14,280.2058410644531,282.75,290.79998779296875,271.29998779296875,274.70001220703125,3994894,2020-09-14
2020-09-21,261.1785888671875,263.54998779296875,282.75,252.0,281.6000061035156,2529837,2020-09-21
2020-09-28,284.5662536621094,287.1499938964844,296.0,263.1499938964844,267.0,5322286,2020-09-28
2020-10-05,282.8320007324219,285.3999938964844,295.8500061035156,283.0,287.70001220703125,3393328,2020-10-05
2020-10-12,272.3769836425781,274.8500061035156,286.79998779296875,270.6000061035156,285.3999938964844,1783017,2020-10-12
2020-10-19,280.8995361328125,283.45001220703125,289.45001220703125,275.0,276.8999938964844,2709944,2020-10-19
2020-10-26,269.948974609375,272.3999938964844,286.70001220703125,268.1000061035156,284.79998779296875,1314269,2020-10-26
2020-11-02,282.43560791015625,285.0,287.70001220703125,270.0,274.5,1938385,2020-11-02
2020-11-09,283.7734680175781,286.3500061035156,291.8999938964844,277.8500061035156,288.0,2801798,2020-11-09
2020-11-16,302.354736328125,305.1000061035156,323.3999938964844,280.45001220703125,280.45001220703125,11688485,2020-11-16
2020-11-23,319.1522521972656,322.04998779296875,328.0,301.45001220703125,305.5,8048444,2020-11-23
2020-11-30,329.95416259765625,332.95001220703125,340.8999938964844,318.6499938964844,322.04998779296875,6805079,2020-11-30
2020-12-07,327.03070068359375,330.0,344.75,324.0,335.6000061035156,4770865,2020-12-07
2020-12-14,351.4588928222656,354.6499938964844,371.75,327.0,332.6499938964844,10388904,2020-12-14
2020-12-21,338.8731689453125,341.95001220703125,361.95001220703125,305.1000061035156,356.45001220703125,5639064,2020-12-21
2020-12-28,339.86419677734375,342.95001220703125,347.79998779296875,332.0,344.70001220703125,3761807,2020-12-28
2021-01-04,345.06695556640625,348.20001220703125,355.70001220703125,340.6499938964844,344.6000061035156,5107816,2021-01-04
2021-01-11,336.5443115234375,339.6000061035156,352.6499938964844,337.25,350.8999938964844,3348778,2021-01-11
2021-01-18,325.2469177246094,328.20001220703125,341.70001220703125,325.1000061035156,339.79998779296875,2195076,2021-01-18
2021-01-25,319.3009033203125,322.20001220703125,333.5,318.1499938964844,329.20001220703125,1684578,2021-01-25
2021-02-01,338.03082275390625,341.1000061035156,350.79998779296875,318.29998779296875,324.70001220703125,5057005,2021-02-01
2021-02-08,331.14337158203125,334.1499938964844,352.0,328.0,344.0,4580782,2021-02-08
2021-02-15,359.0896301269531,362.3500061035156,382.6499938964844,328.0,336.0,13613700,2021-02-15
2021-02-22,368.35552978515625,371.70001220703125,395.70001220703125,361.54998779296875,367.8500061035156,13130484,2021-02-22
2021-03-01,384.40972900390625,387.8999938964844,409.0,370.20001220703125,375.1000061035156,9217128,2021-03-01
2021-03-08,373.6077880859375,377.0,397.3999938964844,372.1000061035156,390.8999938964844,3232030,2021-03-08
2021-03-15,335.3551025390625,338.3999938964844,379.5,327.1499938964844,379.0,3031079,2021-03-15
2021-03-22,349.3282470703125,352.5,355.0,331.0,339.0,2925817,2021-03-22
2021-03-29,365.38250732421875,368.70001220703125,371.0,352.5,352.5,2341047,2021-03-29
2021-04-05,356.4635009765625,359.70001220703125,369.54998779296875,346.79998779296875,364.0,3155104,2021-04-05
2021-04-12,331.68841552734375,334.70001220703125,351.70001220703125,327.1000061035156,351.25,1835871,2021-04-12
2021-04-19,314.9900207519531,317.8500061035156,329.0,298.8999938964844,329.0,1632084,2021-04-19
2021-04-26,318.607177734375,321.5,332.79998779296875,318.0,320.20001220703125,1313982,2021-04-26
2021-05-03,334.760498046875,337.79998779296875,351.95001220703125,318.0,320.0,3611549,2021-05-03
2021-05-10,347.94085693359375,351.1000061035156,356.8999938964844,337.54998779296875,343.0,3411413,2021-05-10
2021-05-17,365.33294677734375,368.6499938964844,376.79998779296875,351.20001220703125,355.3500061035156,4403967,2021-05-17
2021-05-24,369.544677734375,372.8999938964844,382.70001220703125,362.3999938964844,371.8999938964844,3420817,2021-05-24
2021-05-31,392.9323425292969,396.5,403.0,360.1499938964844,375.95001220703125,6927488,2021-05-31
2021-06-07,410.8199157714844,414.54998779296875,435.3500061035156,392.8999938964844,400.0,8701246,2021-06-07
2021-06-14,413.94158935546875,417.70001220703125,431.8500061035156,398.54998779296875,415.0,5050780,2021-06-14
2021-06-21,413.3965148925781,417.1499938964844,449.79998779296875,404.6499938964844,409.5,7475497,2021-06-21
2021-06-28,407.8964538574219,411.6000061035156,425.0,408.0,419.8999938964844,1968580,2021-06-28
2021-07-05,412.95062255859375,416.70001220703125,430.8500061035156,407.1000061035156,412.8999938964844,3388000,2021-07-05
2021-07-12,449.2212829589844,453.29998779296875,469.0,418.5,419.95001220703125,12245095,2021-07-12
2021-07-19,444.5635681152344,448.6000061035156,473.8999938964844,446.54998779296875,465.0,5022463,2021-07-19
2021-07-26,436.7346496582031,440.70001220703125,473.0,433.29998779296875,449.0,5426130,2021-07-26
2021-08-02,435.2976989746094,439.25,458.79998779296875,434.0,444.8999938964844,2477550,2021-08-02
2021-08-09,415.4776306152344,419.25,442.95001220703125,393.3999938964844,440.0,2195815,2021-08-09
2021-08-16,400.21624755859375,403.8500061035156,424.70001220703125,401.20001220703125,417.1499938964844,1120589,2021-08-16
2021-08-23,390.4053039550781,393.95001220703125,410.0,389.95001220703125,405.0,1290445,2021-08-23
2021-08-30,412.6532897949219,416.3999938964844,427.25,394.54998779296875,394.54998779296875,2822858,2021-08-30
2021-09-06,431.6309509277344,435.54998779296875,443.6499938964844,417.3500061035156,418.6000061035156,3962898,2021-09-06
2021-09-13,415.0317077636719,418.79998779296875,438.45001220703125,417.04998779296875,435.0,1784241,2021-09-13
2021-09-20,436.4869079589844,440.45001220703125,464.5,405.20001220703125,416.0,6713497,2021-09-20
2021-09-27,448.428466796875,452.5,472.0,441.95001220703125,442.70001220703125,8630788,2021-09-27
2021-10-04,462.55023193359375,466.75,484.1499938964844,451.25,455.20001220703125,6727566,2021-10-04
2021-10-11,457.5952453613281,461.75,475.0,460.0,467.3999938964844,2107834,2021-10-11
2021-10-18,446.7437744140625,450.79998779296875,486.75,442.75,464.95001220703125,3550383,2021-10-18
2021-10-25,453.23486328125,457.3500061035156,469.8999938964844,435.75,452.0,2282888,2021-10-25
2021-11-01,501.34796142578125,505.8999938964844,512.4500122070312,458.0,460.54998779296875,5703641,2021-11-01
2021-11-08,502.4380798339844,507.0,524.2000122070312,493.25,509.29998779296875,3116396,2021-11-08
2021-11-15,497.6813049316406,502.20001220703125,519.6500244140625,497.3500061035156,506.0,1735400,2021-11-15
2021-11-22,590.4885864257812,595.8499755859375,636.0,494.3500061035156,501.45001220703125,23271766,2021-11-22
2021-11-29,618.1871337890625,623.7999877929688,676.4000244140625,576.3499755859375,596.0,12593961,2021-11-29
2021-12-06,650.6424560546875,656.5499877929688,667.7000122070312,590.4000244140625,628.0,3318140,2021-12-06
2021-12-13,639.49365234375,645.2999877929688,708.4000244140625,640.0,661.0,5752348,2021-12-13
2021-12-20,617.394287109375,623.0,646.0999755859375,585.0999755859375,641.9500122070312,2272479,2021-12-20
2021-12-27,615.9573364257812,621.5499877929688,634.9000244140625,601.0999755859375,618.0,1948694,2021-12-27
2022-01-03,633.79541015625,639.5499877929688,654.7999877929688,613.2000122070312,622.9000244140625,1970138,2022-01-03
2022-01-10,674.1292724609375,680.25,690.9000244140625,630.0,643.9500122070312,3378638,2022-01-10
2022-01-17,744.2921752929688,751.0499877929688,800.0,671.0,679.9000244140625,13865681,2022-01-17
2022-01-24,766.6392822265625,773.5999755859375,819.0,715.0999755859375,752.9500122070312,7460416,2022-01-24
2022-01-31,775.01318359375,782.0499877929688,789.5499877929688,739.0,782.4000244140625,3505683,2022-01-31
2022-02-07,723.13427734375,729.7000122070312,780.0,710.0,778.0,2510244,2022-02-07
2022-02-14,729.2785034179688,735.9000244140625,756.6500244140625,671.4500122070312,713.75,2486511,2022-02-14
2022-02-21,721.6973266601562,728.25,771.7000122070312,666.0,731.4000244140625,5497792,2022-02-21
2022-02-28,694.4447021484375,700.75,780.8499755859375,692.25,719.5,2958506,2022-02-28
2022-03-07,702.8187255859375,709.2000122070312,731.0,645.0499877929688,694.0,3387659,2022-03-07
2022-03-14,706.3367919921875,712.75,727.1500244140625,684.25,711.9500122070312,1363647,2022-03-14
2022-03-21,747.1165161132812,753.9000244140625,791.1500244140625,709.6500244140625,718.5499877929688,4208094,2022-03-21
2022-03-28,839.6265258789062,847.25,868.0,716.3499755859375,754.5,12336034,2022-03-28
2022-04-04,867.9691772460938,875.8499755859375,891.75,815.0999755859375,851.5,5078317,2022-04-04
2022-04-11,922.2761840820312,930.6500244140625,963.9000244140625,874.25,875.5,5777305,2022-04-11
2022-04-18,901.9606323242188,910.1500244140625,932.0,855.0,932.0,3574907,2022-04-18
2022-04-25,823.3245239257812,830.7999877929688,915.5499877929688,826.0,899.7999877929688,2239507,2022-04-25
2022-05-02,773.080810546875,780.0999755859375,887.5,775.9500122070312,820.0,2719985,2022-05-02
2022-05-09,765.4995727539062,772.4500122070312,817.8499755859375,737.0,774.0,2557804,2022-05-09
2022-05-16,871.6854248046875,879.5999755859375,884.0,777.0499877929688,780.0,4407807,2022-05-16
2022-05-23,916.82568359375,925.1500244140625,958.4500122070312,835.0,884.0,5376107,2022-05-23
