Date,Adj Close_TARMAT.NS,Close_TARMAT.NS,High_TARMAT.NS,Low_TARMAT.NS,Open_TARMAT.NS,Volume_TARMAT.NS,Date
2020-07-13,27.350000381469727,27.350000381469727,31.649999618530273,26.5,28.600000381469727,40265,2020-07-13
2020-07-20,29.700000762939453,29.700000762939453,31.5,25.299999237060547,28.0,35791,2020-07-20
2020-07-27,33.900001525878906,33.900001525878906,34.400001525878906,29.0,31.399999618530273,188975,2020-07-27
2020-08-03,34.54999923706055,34.54999923706055,35.45000076293945,32.54999923706055,35.349998474121094,149278,2020-08-03
2020-08-10,43.75,43.75,43.95000076293945,35.849998474121094,35.849998474121094,96233,2020-08-10
2020-08-17,42.70000076293945,42.70000076293945,47.5,40.099998474121094,45.900001525878906,181406,2020-08-17
2020-08-24,42.45000076293945,42.45000076293945,44.45000076293945,40.5,44.099998474121094,183463,2020-08-24
2020-08-31,35.70000076293945,35.70000076293945,43.0,35.45000076293945,43.0,53463,2020-08-31
2020-09-07,39.0,39.0,39.900001525878906,34.5,34.5,44992,2020-09-07
2020-09-14,39.75,39.75,41.5,39.04999923706055,40.95000076293945,54603,2020-09-14
2020-09-21,38.5,38.5,41.45000076293945,36.29999923706055,41.400001525878906,54598,2020-09-21
2020-09-28,43.0,43.0,46.29999923706055,40.400001525878906,40.400001525878906,519684,2020-09-28
2020-10-05,41.25,41.25,42.95000076293945,39.20000076293945,42.5,98068,2020-10-05
2020-10-12,38.0,38.0,41.849998474121094,36.25,41.849998474121094,54512,2020-10-12
2020-10-19,38.04999923706055,38.04999923706055,39.54999923706055,36.75,38.0,28660,2020-10-19
2020-10-26,37.400001525878906,37.400001525878906,38.599998474121094,36.400001525878906,36.849998474121094,29193,2020-10-26
2020-11-02,36.04999923706055,36.04999923706055,39.400001525878906,34.150001525878906,37.0,30148,2020-11-02
2020-11-09,36.95000076293945,36.95000076293945,38.150001525878906,35.099998474121094,37.900001525878906,44640,2020-11-09
2020-11-16,39.20000076293945,39.20000076293945,41.900001525878906,34.650001525878906,36.29999923706055,95438,2020-11-16
2020-11-23,38.54999923706055,38.54999923706055,40.95000076293945,36.75,40.79999923706055,226441,2020-11-23
2020-11-30,40.5,40.5,42.150001525878906,37.45000076293945,38.54999923706055,394059,2020-11-30
2020-12-07,45.849998474121094,45.849998474121094,56.70000076293945,41.70000076293945,41.900001525878906,635201,2020-12-07
2020-12-14,59.900001525878906,59.900001525878906,61.599998474121094,43.400001525878906,47.5,1355139,2020-12-14
2020-12-21,55.599998474121094,55.599998474121094,62.25,50.0,60.900001525878906,550163,2020-12-21
2020-12-28,53.29999923706055,53.29999923706055,57.0,50.29999923706055,55.70000076293945,138793,2020-12-28
2021-01-04,49.45000076293945,49.45000076293945,56.0,46.29999923706055,56.0,122529,2021-01-04
2021-01-11,53.150001525878906,53.150001525878906,61.79999923706055,48.0,50.95000076293945,1051634,2021-01-11
