Date,Adj Close_ALMONDZ.NS,Close_ALMONDZ.NS,High_ALMONDZ.NS,Low_ALMONDZ.NS,Open_ALMONDZ.NS,Volume_ALMONDZ.NS,Date
2020-07-13,1.8166660070419312,1.8166660070419312,1.891666054725647,1.7583329677581787,1.8250000476837158,41754,2020-07-13
2020-07-20,1.891666054725647,1.891666054725647,1.9500000476837158,1.6833330392837524,1.891666054725647,132678,2020-07-20
2020-07-27,1.7000000476837158,1.7000000476837158,1.9666659832000732,1.5916659832000732,1.891666054725647,222648,2020-07-27
2020-08-03,1.6583329439163208,1.6583329439163208,1.8166660070419312,1.5583330392837524,1.7000000476837158,538410,2020-08-03
2020-08-10,1.641666054725647,1.641666054725647,1.7000000476837158,1.5083329677581787,1.649999976158142,783774,2020-08-10
2020-08-17,1.7083330154418945,1.7083330154418945,1.766666054725647,1.4833329916000366,1.6583329439163208,619986,2020-08-17
2020-08-24,2.291666030883789,2.291666030883789,2.733333110809326,1.7083330154418945,1.7083330154418945,4316466,2020-08-24
2020-08-31,2.116666078567505,2.116666078567505,2.3333330154418945,1.9500000476837158,2.291666030883789,635718,2020-08-31
2020-09-07,2.0166659355163574,2.0166659355163574,2.1583330631256104,1.899999976158142,2.116666078567505,244944,2020-09-07
2020-09-14,2.049999952316284,2.049999952316284,2.2166659832000732,2.0083329677581787,2.116666078567505,354324,2020-09-14
2020-09-21,1.916666030883789,1.916666030883789,2.1500000953674316,1.8333330154418945,2.1500000953674316,286854,2020-09-21
2020-09-28,1.8333330154418945,1.8333330154418945,1.9833329916000366,1.7999999523162842,1.916666030883789,114372,2020-09-28
2020-10-05,1.9416660070419312,1.9416660070419312,1.9500000476837158,1.7166659832000732,1.8666659593582153,228012,2020-10-05
2020-10-12,1.891666054725647,1.891666054725647,2.108333110809326,1.774999976158142,2.108333110809326,167802,2020-10-12
2020-10-19,1.9416660070419312,1.9416660070419312,1.9833329916000366,1.8333330154418945,1.8333330154418945,86778,2020-10-19
2020-10-26,2.2083330154418945,2.2083330154418945,2.3166658878326416,1.766666054725647,1.774999976158142,627744,2020-10-26
2020-11-02,2.049999952316284,2.049999952316284,2.241666078567505,1.975000023841858,2.241666078567505,404484,2020-11-02
2020-11-09,2.166666030883789,2.166666030883789,2.166666030883789,2.0,2.058332920074463,129870,2020-11-09
