Date,Adj Close_UNITDSPR.NS,Close_UNITDSPR.NS,High_UNITDSPR.NS,Low_UNITDSPR.NS,Open_UNITDSPR.NS,Volume_UNITDSPR.NS,Date
2024-05-27,1151.66650390625,1159.4000244140625,1180.8499755859375,1153.300048828125,1180.1500244140625,2967286,2024-05-27
2024-06-03,1298.8284912109375,1307.550048828125,1320.0,1136.300048828125,1174.0,9597892,2024-06-03
2024-06-10,1260.535400390625,1269.0,1334.8499755859375,1258.199951171875,1327.0,5278899,2024-06-10
2024-06-17,1252.2412109375,1260.6500244140625,1281.25,1237.0,1265.0,5872111,2024-06-17
2024-06-24,1267.9854736328125,1276.5,1309.75,1245.75,1255.0,3935853,2024-06-24
2024-07-01,1245.78466796875,1254.1500244140625,1292.0,1249.300048828125,1261.0999755859375,2858830,2024-07-01
2024-07-08,1281.0478515625,1289.6500244140625,1306.8499755859375,1257.0,1257.0,6795747,2024-07-08
2024-07-15,1294.1312255859375,1297.75,1317.449951171875,1275.949951171875,1289.6500244140625,3523819,2024-07-15
2024-07-22,1411.453125,1415.4000244140625,1450.0,1263.550048828125,1295.050048828125,12774310,2024-07-22
2024-07-29,1417.0374755859375,1421.0,1434.949951171875,1394.0999755859375,1430.0,4121423,2024-07-29
2024-08-05,1450.8927001953125,1454.949951171875,1480.4000244140625,1382.6500244140625,1386.0,4366359,2024-08-05
2024-08-12,1402.3785400390625,1406.300048828125,1450.0,1391.199951171875,1449.949951171875,3076028,2024-08-12
2024-08-19,1425.663330078125,1429.6500244140625,1463.0,1398.75,1409.300048828125,3351534,2024-08-19
2024-08-26,1470.2386474609375,1474.3499755859375,1484.3499755859375,1424.5,1438.0,4784008,2024-08-26
2024-09-02,1457.6239013671875,1461.699951171875,1514.0,1453.449951171875,1485.0,3513129,2024-09-02
2024-09-09,1519.10205078125,1523.3499755859375,1543.0,1463.6500244140625,1463.6500244140625,4032775,2024-09-09
2024-09-16,1569.760498046875,1574.1500244140625,1582.0,1522.300048828125,1533.9000244140625,5410285,2024-09-16
2024-09-23,1592.1478271484375,1596.5999755859375,1647.5,1561.1500244140625,1585.0,5581880,2024-09-23
2024-09-30,1527.0797119140625,1531.3499755859375,1614.199951171875,1527.25,1596.0999755859375,2819269,2024-09-30
2024-10-07,1515.312744140625,1519.550048828125,1550.0,1491.0999755859375,1531.3499755859375,3385817,2024-10-07
2024-10-14,1515.0135498046875,1519.25,1561.0,1502.0,1540.0,2661493,2024-10-14
2024-10-21,1476.0723876953125,1480.199951171875,1532.8499755859375,1440.0,1517.050048828125,4515593,2024-10-21
2024-10-28,1449.097900390625,1453.1500244140625,1490.0,1426.5999755859375,1480.199951171875,1468741,2024-10-28
2024-11-04,1444.6103515625,1448.6500244140625,1465.949951171875,1418.4000244140625,1455.0,2467178,2024-11-04
2024-11-11,1438.327880859375,1442.3499755859375,1495.4000244140625,1423.449951171875,1458.0,2176964,2024-11-11
2024-11-18,1495.966796875,1500.1500244140625,1508.0,1440.25,1443.0,2803461,2024-11-18
2024-11-25,1524.8360595703125,1529.0999755859375,1543.699951171875,1466.9000244140625,1518.9000244140625,6597167,2024-11-25
2024-12-02,1512.370849609375,1516.5999755859375,1552.8499755859375,1513.050048828125,1542.0,2442558,2024-12-02
2024-12-09,1507.8336181640625,1512.050048828125,1532.75,1482.8499755859375,1512.699951171875,2366498,2024-12-09
2024-12-16,1540.4923095703125,1544.800048828125,1595.8499755859375,1467.3499755859375,1512.050048828125,6562739,2024-12-16
2024-12-23,1574.995849609375,1579.4000244140625,1589.5,1530.5999755859375,1530.5999755859375,1665827,2024-12-23
2024-12-30,1677.7584228515625,1682.449951171875,1700.0,1567.199951171875,1584.1500244140625,6500128,2024-12-30
2025-01-06,1534.8580322265625,1539.1500244140625,1698.800048828125,1531.199951171875,1665.0,3444920,2025-01-06
2025-01-13,1423.5692138671875,1427.550048828125,1537.0,1388.0,1520.5999755859375,5388430,2025-01-13
2025-01-20,1465.6514892578125,1469.75,1549.0,1412.800048828125,1416.0999755859375,6289478,2025-01-20
2025-01-27,1493.9224853515625,1498.0999755859375,1508.0,1362.050048828125,1450.0,5784793,2025-01-27
2025-02-03,1423.5194091796875,1427.5,1508.9000244140625,1400.0,1470.0,3153828,2025-02-03
2025-02-10,1360.5953369140625,1364.4000244140625,1446.25,1359.449951171875,1427.5,3410120,2025-02-10
2025-02-17,1302.8568115234375,1306.5,1356.5,1302.800048828125,1345.0999755859375,3796486,2025-02-17
2025-02-24,1280.8681640625,1284.449951171875,1360.8499755859375,1276.5999755859375,1305.699951171875,2677348,2025-02-24
2025-03-03,1324.147216796875,1327.8499755859375,1340.9000244140625,1271.0999755859375,1275.300048828125,2384896,2025-03-03
2025-03-10,1349.925048828125,1353.699951171875,1362.4000244140625,1301.0,1316.0,1956300,2025-03-10
2025-03-17,1387.719482421875,1391.5999755859375,1420.050048828125,1323.949951171875,1364.0,3928394,2025-03-17
2025-03-24,1397.3924560546875,1401.300048828125,1420.5,1355.75,1400.0,3017080,2025-03-24
2025-03-31,1423.3697509765625,1427.3499755859375,1442.25,1387.0,1407.949951171875,1968140,2025-03-31
2025-04-07,1476.9000244140625,1476.9000244140625,1484.0,1364.0,1370.0,2721973,2025-04-07
2025-04-14,1517.800048828125,1517.800048828125,1550.800048828125,1480.5999755859375,1550.4000244140625,2105599,2025-04-14
2025-04-21,1547.4000244140625,1547.4000244140625,1609.199951171875,1505.0,1538.800048828125,4575195,2025-04-21
2025-04-28,1555.5999755859375,1555.5999755859375,1575.0999755859375,1527.0,1533.0,2802451,2025-04-28
2025-05-05,1531.199951171875,1531.199951171875,1616.0,1498.5,1565.5,5142206,2025-05-05
2025-05-12,1540.300048828125,1540.300048828125,1579.9000244140625,1521.0,1555.0,2834935,2025-05-12
2025-05-19,1578.9000244140625,1578.9000244140625,1592.9000244140625,1501.699951171875,1540.300048828125,5529822,2025-05-19
