Date,Adj Close_SHAKTIPUMP.NS,Close_SHAKTIPUMP.NS,High_SHAKTIPUMP.NS,Low_SHAKTIPUMP.NS,Open_SHAKTIPUMP.NS,Volume_SHAKTIPUMP.NS,Date
2020-07-13,28.357582092285156,28.774999618530273,29.90833282470703,28.0,29.366666793823242,160506,2020-07-13
2020-07-20,28.916027069091797,29.341665267944336,31.716665267944336,29.083332061767578,29.333332061767578,653022,2020-07-20
2020-07-27,28.25082015991211,28.66666603088379,29.966665267944336,28.16666603088379,29.183332443237305,590820,2020-07-27
2020-08-03,28.710718154907227,29.133333206176758,30.766666412353516,27.5,28.66666603088379,808122,2020-08-03
2020-08-10,29.24452781677246,29.674999237060547,29.958332061767578,28.0,29.633333206176758,1422984,2020-08-10
2020-08-17,31.043052673339844,31.5,32.5,29.0,30.16666603088379,3413592,2020-08-17
2020-08-24,32.68553924560547,33.166664123535156,34.45000076293945,30.16666603088379,32.275001525878906,4261986,2020-08-24
2020-08-31,31.445463180541992,31.90833282470703,33.70000076293945,29.933332443237305,33.166664123535156,1776726,2020-08-31
2020-09-07,30.14789390563965,30.591665267944336,32.383331298828125,30.191665649414062,32.008331298828125,639954,2020-09-07
2020-09-14,30.25465965270996,30.700000762939453,32.025001525878906,29.75,30.866666793823242,862188,2020-09-14
2020-09-21,28.03729820251465,28.450000762939453,31.15833282470703,28.149999618530273,30.516666412353516,1147302,2020-09-21
2020-09-28,29.24452781677246,29.674999237060547,30.966665267944336,28.741666793823242,28.891666412353516,2636010,2020-09-28
2020-10-05,35.84733200073242,36.375,36.80833435058594,30.0,30.333332061767578,6044652,2020-10-05
2020-10-12,39.14052963256836,39.71666717529297,42.83333206176758,37.666664123535156,37.666664123535156,8384892,2020-10-12
2020-10-19,38.179664611816406,38.74166488647461,43.891666412353516,35.67499923706055,40.83333206176758,9299958,2020-10-19
2020-10-26,35.584537506103516,36.108333587646484,38.81666564941406,35.349998474121094,38.81666564941406,1523268,2020-10-26
2020-11-02,37.596588134765625,38.150001525878906,39.5,35.008331298828125,36.608333587646484,958398,2020-11-02
2020-11-09,36.77533721923828,37.31666564941406,40.0,35.78333282470703,39.33333206176758,1098126,2020-11-09
2020-11-16,38.220733642578125,38.78333282470703,39.5,35.875,35.875,593064,2020-11-16
2020-11-23,39.09946060180664,39.67499923706055,39.83333206176758,36.883331298828125,39.150001525878906,986796,2020-11-23
2020-11-30,45.59550857543945,46.266666412353516,46.266666412353516,38.5,39.67499923706055,1782042,2020-11-30
2020-12-07,46.6795539855957,47.36666488647461,51.0,45.70833206176758,47.916664123535156,2190882,2020-12-07
2020-12-14,48.14136505126953,48.849998474121094,51.06666564941406,45.416664123535156,46.666664123535156,1650780,2020-12-14
2020-12-21,47.2790641784668,47.974998474121094,48.483333587646484,44.166664123535156,47.25,732588,2020-12-21
2020-12-28,49.63603591918945,50.36666488647461,51.650001525878906,47.99166488647461,47.99166488647461,912912,2020-12-28
2021-01-04,56.76443862915039,57.599998474121094,60.43333435058594,50.36666488647461,50.633331298828125,2378820,2021-01-04
2021-01-11,58.75185012817383,59.61666488647461,62.83333206176758,57.5,58.32500076293945,1365978,2021-01-11
2021-01-18,62.40639114379883,63.32500076293945,68.30000305175781,56.83333206176758,60.32500076293945,2323536,2021-01-18
2021-01-25,61.93827819824219,62.849998474121094,64.20833587646484,59.516666412353516,62.5,682176,2021-01-25
2021-02-01,71.02945709228516,72.07499694824219,74.48332977294922,61.650001525878906,63.33333206176758,3897336,2021-02-01
2021-02-08,81.62351989746094,82.82499694824219,84.81666564941406,68.71666717529297,72.49166870117188,6997542,2021-02-08
2021-02-15,85.95968627929688,87.2249984741211,94.80000305175781,82.33333587646484,83.83333587646484,9827112,2021-02-15
2021-02-22,86.8219985961914,88.0999984741211,93.00833129882812,85.25,87.5,2167236,2021-02-22
2021-03-01,91.19922637939453,92.54166412353516,94.16666412353516,86.8499984741211,89.66666412353516,3391548,2021-03-01
