Date,Adj Close_NAM-INDIA.NS,Close_NAM-INDIA.NS,High_NAM-INDIA.NS,Low_NAM-INDIA.NS,Open_NAM-INDIA.NS,Volume_NAM-INDIA.NS,Date
2020-07-13,249.825927734375,292.29998779296875,296.70001220703125,281.75,294.0,1997242,2020-07-13
2020-07-20,239.14224243164062,279.79998779296875,294.70001220703125,275.54998779296875,290.1000061035156,3507376,2020-07-20
2020-07-27,227.21934509277344,265.8500061035156,284.8999938964844,262.0,280.1000061035156,4111929,2020-07-27
2020-08-03,233.28761291503906,272.95001220703125,278.3500061035156,259.0,264.0,5999858,2020-08-03
2020-08-10,229.56971740722656,268.6000061035156,282.0,266.0,274.8500061035156,4049438,2020-08-10
2020-08-17,229.65518188476562,268.70001220703125,276.5,261.79998779296875,268.8999938964844,3704607,2020-08-17
2020-08-24,244.2703857421875,285.79998779296875,297.75,267.1499938964844,269.3500061035156,12512835,2020-08-24
2020-08-31,235.3388671875,275.3500061035156,294.8500061035156,268.04998779296875,293.75,5383963,2020-08-31
2020-09-07,233.9713592529297,273.75,283.0,270.8999938964844,275.3999938964844,3084956,2020-09-07
2020-09-14,239.0140380859375,279.6499938964844,288.70001220703125,274.0,274.5,4008103,2020-09-14
2020-09-21,217.73226928710938,254.75,279.95001220703125,249.0,276.54998779296875,3703029,2020-09-21
2020-09-28,227.43301391601562,266.1000061035156,268.8500061035156,255.60000610351562,257.0,3530374,2020-09-28
2020-10-05,230.3389434814453,269.5,276.0,263.1000061035156,266.0,2948422,2020-10-05
2020-10-12,232.3901824951172,271.8999938964844,274.8999938964844,265.0,269.79998779296875,2052082,2020-10-12
2020-10-19,232.98846435546875,272.6000061035156,277.79998779296875,268.25,273.0,2553080,2020-10-19
2020-10-26,232.34750366210938,271.8500061035156,277.3999938964844,267.1000061035156,272.70001220703125,2427500,2020-10-26
2020-11-02,243.58660888671875,285.0,286.8500061035156,268.5,272.0,2628876,2020-11-02
2020-11-09,246.32168579101562,288.20001220703125,293.5,282.25,287.70001220703125,2971719,2020-11-09
2020-11-16,247.860107421875,290.0,305.0,285.8500061035156,285.8500061035156,4134613,2020-11-16
2020-11-23,248.2019500732422,290.3999938964844,302.0,287.5,292.8999938964844,3154945,2020-11-23
2020-11-30,252.47540283203125,295.3999938964844,299.70001220703125,286.0,290.3999938964844,3087211,2020-11-30
2020-12-07,261.4924011230469,305.95001220703125,312.8500061035156,293.5,297.3500061035156,8768064,2020-12-07
2020-12-14,262.3043212890625,306.8999938964844,319.1000061035156,298.3999938964844,306.5,4443402,2020-12-14
2020-12-21,260.55224609375,304.8500061035156,311.8500061035156,283.25,307.0,3610579,2020-12-21
2020-12-28,258.8428649902344,302.8500061035156,309.25,296.79998779296875,306.0,3809399,2020-12-28
2021-01-04,264.0992126464844,309.0,314.6499938964844,300.25,306.04998779296875,6196659,2021-01-04
2021-01-11,283.7998046875,332.04998779296875,341.20001220703125,304.3500061035156,311.04998779296875,13503169,2021-01-11
2021-01-18,280.9792785644531,328.75,343.54998779296875,326.0,334.70001220703125,8336780,2021-01-18
2021-01-25,275.33837890625,322.1499938964844,331.45001220703125,307.0,330.1000061035156,3322009,2021-01-25
2021-02-01,282.34686279296875,330.3500061035156,335.79998779296875,270.0,323.95001220703125,4306754,2021-02-01
2021-02-08,280.53125,325.25,337.29998779296875,316.75,330.8500061035156,4253152,2021-02-08
2021-02-15,287.69012451171875,333.54998779296875,351.79998779296875,323.70001220703125,327.0,4252854,2021-02-15
2021-02-22,284.4556579589844,329.79998779296875,345.79998779296875,318.1499938964844,333.0,3702223,2021-02-22
2021-03-01,304.3365478515625,352.8500061035156,374.70001220703125,328.6499938964844,331.04998779296875,9647404,2021-03-01
2021-03-08,298.9458312988281,346.6000061035156,364.79998779296875,343.0,354.0,2982835,2021-03-08
2021-03-15,281.8681640625,326.79998779296875,345.5,314.04998779296875,345.3999938964844,4200268,2021-03-15
2021-03-22,285.1025390625,330.54998779296875,341.45001220703125,319.79998779296875,327.5,4503774,2021-03-22
2021-03-29,297.04827880859375,344.3999938964844,346.8500061035156,330.54998779296875,330.54998779296875,1668367,2021-03-29
2021-04-05,304.16400146484375,352.6499938964844,362.3500061035156,330.0,342.0,5850814,2021-04-05
2021-04-12,290.8382873535156,337.20001220703125,347.70001220703125,320.1000061035156,345.1499938964844,3811386,2021-04-12
2021-04-19,280.91937255859375,325.70001220703125,333.5,323.29998779296875,331.20001220703125,2950083,2021-04-19
