Date,Adj Close_HCG.NS,Close_HCG.NS,High_HCG.NS,Low_HCG.NS,Open_HCG.NS,Volume_HCG.NS,Date
2020-07-13,123.5999984741211,123.5999984741211,134.0,121.5,122.94999694824219,1729898,2020-07-13
2020-07-20,124.6500015258789,124.6500015258789,129.35000610351562,123.25,124.0,656027,2020-07-20
2020-07-27,126.05000305175781,126.05000305175781,128.89999389648438,124.30000305175781,126.5,440822,2020-07-27
2020-08-03,128.5500030517578,128.5500030517578,132.64999389648438,124.25,124.25,1010290,2020-08-03
2020-08-10,128.39999389648438,128.39999389648438,139.5,128.10000610351562,129.39999389648438,1536521,2020-08-10
2020-08-17,128.8000030517578,128.8000030517578,131.75,128.1999969482422,129.0,1133946,2020-08-17
2020-08-24,128.64999389648438,128.64999389648438,130.5,127.0,129.14999389648438,628941,2020-08-24
2020-08-31,119.44999694824219,119.44999694824219,129.8000030517578,106.94999694824219,129.8000030517578,315237,2020-08-31
2020-09-07,118.4000015258789,118.4000015258789,125.0,115.0999984741211,119.5,143577,2020-09-07
2020-09-14,121.9000015258789,121.9000015258789,128.8000030517578,117.0,118.4000015258789,143492,2020-09-14
2020-09-21,118.0,118.0,125.55000305175781,111.25,122.55000305175781,231141,2020-09-21
2020-09-28,120.30000305175781,120.30000305175781,123.25,115.0,118.94999694824219,174941,2020-09-28
2020-10-05,120.69999694824219,120.69999694824219,127.5999984741211,119.0,127.5999984741211,105353,2020-10-05
2020-10-12,121.8499984741211,121.8499984741211,128.8000030517578,117.1500015258789,120.0,207537,2020-10-12
2020-10-19,120.8499984741211,120.8499984741211,124.69999694824219,118.1500015258789,122.80000305175781,182356,2020-10-19
2020-10-26,120.0999984741211,120.0999984741211,129.39999389648438,119.5,120.0999984741211,272221,2020-10-26
2020-11-02,121.05000305175781,121.05000305175781,124.69999694824219,118.9000015258789,119.9000015258789,165296,2020-11-02
2020-11-09,123.6500015258789,123.6500015258789,126.94999694824219,116.3499984741211,120.55000305175781,223231,2020-11-09
2020-11-16,130.25,130.25,137.0,119.80000305175781,119.80000305175781,473908,2020-11-16
2020-11-23,147.9499969482422,147.9499969482422,149.89999389648438,130.0,132.0,1608601,2020-11-23
2020-11-30,146.75,146.75,155.4499969482422,144.39999389648438,147.9499969482422,572975,2020-11-30
2020-12-07,159.10000610351562,159.10000610351562,160.9499969482422,145.35000610351562,146.0,726218,2020-12-07
2020-12-14,165.64999389648438,165.64999389648438,185.6999969482422,159.1999969482422,161.8000030517578,1750064,2020-12-14
2020-12-21,164.64999389648438,164.64999389648438,170.39999389648438,149.35000610351562,166.9499969482422,318434,2020-12-21
2020-12-28,164.25,164.25,169.39999389648438,160.5,167.3000030517578,395697,2020-12-28
2021-01-04,158.5,158.5,167.0,158.0,164.5,405708,2021-01-04
2021-01-11,159.75,159.75,162.60000610351562,154.25,160.9499969482422,328376,2021-01-11
2021-01-18,155.35000610351562,155.35000610351562,161.0,153.0500030517578,160.60000610351562,334191,2021-01-18
2021-01-25,152.14999389648438,152.14999389648438,163.4499969482422,151.3000030517578,154.0,400670,2021-01-25
2021-02-01,156.6999969482422,156.6999969482422,157.8000030517578,150.14999389648438,157.8000030517578,336667,2021-02-01
2021-02-08,150.39999389648438,150.39999389648438,159.89999389648438,149.0500030517578,156.6999969482422,589357,2021-02-08
2021-02-15,168.10000610351562,168.10000610351562,170.0,150.9499969482422,153.5,1573546,2021-02-15
2021-02-22,168.8000030517578,168.8000030517578,172.85000610351562,167.1999969482422,167.5,409755,2021-02-22
2021-03-01,169.6999969482422,169.6999969482422,171.89999389648438,166.0,170.0,302158,2021-03-01
2021-03-08,178.0,178.0,181.6999969482422,169.6999969482422,170.8000030517578,1291811,2021-03-08
2021-03-15,175.0,175.0,182.6999969482422,169.5,181.0,1212789,2021-03-15
2021-03-22,185.25,185.25,192.64999389648438,167.5,177.89999389648438,6492549,2021-03-22
2021-03-29,187.0500030517578,187.0500030517578,193.8000030517578,176.9499969482422,185.25,670412,2021-03-29
2021-04-05,180.60000610351562,180.60000610351562,193.39999389648438,175.85000610351562,188.10000610351562,433631,2021-04-05
