Date,Adj Close_CHENNPETRO.NS,Close_CHENNPETRO.NS,High_CHENNPETRO.NS,Low_CHENNPETRO.NS,Open_CHENNPETRO.NS,Volume_CHENNPETRO.NS,Date
2020-07-13,73.31074523925781,82.75,84.6500015258789,75.30000305175781,78.94999694824219,4682958,2020-07-13
2020-07-20,77.65180206298828,87.6500015258789,91.80000305175781,82.05000305175781,83.30000305175781,16763393,2020-07-20
2020-07-27,70.60865020751953,79.69999694824219,93.4000015258789,79.5,93.4000015258789,8859363,2020-07-27
2020-08-03,74.19667053222656,83.75,85.9000015258789,78.3499984741211,79.3499984741211,4390860,2020-08-03
2020-08-10,70.38716888427734,79.44999694824219,84.94999694824219,79.0999984741211,83.69999694824219,3426720,2020-08-10
2020-08-17,72.91207885742188,82.30000305175781,84.80000305175781,78.3499984741211,80.19999694824219,7290307,2020-08-17
2020-08-24,72.33621215820312,81.6500015258789,85.25,81.0999984741211,83.0,4573940,2020-08-24
2020-08-31,69.76702117919922,78.75,89.94999694824219,77.8499984741211,89.94999694824219,3372887,2020-08-31
2020-09-07,67.86226654052734,76.5999984741211,80.0999984741211,74.69999694824219,79.30000305175781,2094737,2020-09-07
2020-09-14,67.55219268798828,76.25,80.3499984741211,75.3499984741211,78.5,2537664,2020-09-14
2020-09-21,59.047264099121094,66.6500015258789,76.25,65.75,75.1500015258789,2399876,2020-09-21
2020-09-28,61.79364776611328,69.75,72.4000015258789,67.4000015258789,68.0,1654984,2020-09-28
2020-10-05,59.933197021484375,67.6500015258789,70.80000305175781,66.55000305175781,69.75,1566361,2020-10-05
2020-10-12,56.65524673461914,63.95000076293945,68.5,63.79999923706055,67.8499984741211,1259860,2020-10-12
2020-10-19,68.12804412841797,76.9000015258789,84.3499984741211,63.79999923706055,64.25,25261080,2020-10-19
2020-10-26,68.21664428710938,77.0,81.25,72.6500015258789,76.5999984741211,10599554,2020-10-26
2020-11-02,66.57766723632812,75.1500015258789,77.6500015258789,73.05000305175781,77.0,2558702,2020-11-02
2020-11-09,70.74153900146484,79.8499984741211,80.5,75.0,75.80000305175781,3436069,2020-11-09
2020-11-16,72.82347869873047,82.19999694824219,83.8499984741211,78.4000015258789,78.94999694824219,4416235,2020-11-16
2020-11-23,75.7470474243164,85.5,90.80000305175781,81.5,82.1500015258789,7467336,2020-11-23
2020-11-30,80.26528930664062,90.5999984741211,93.5999984741211,85.0,85.5,5903586,2020-11-30
2020-12-07,92.5354232788086,104.44999694824219,107.19999694824219,91.0,91.19999694824219,15018479,2020-12-07
2020-12-14,96.61071014404297,109.05000305175781,115.5,104.5,105.8499984741211,9700214,2020-12-14
2020-12-21,92.49114227294922,104.4000015258789,108.19999694824219,88.30000305175781,108.0,9569817,2020-12-21
2020-12-28,94.92744445800781,107.1500015258789,108.8499984741211,103.5,105.25,3864298,2020-12-28
2021-01-04,98.20538330078125,110.8499984741211,113.30000305175781,106.8499984741211,108.0,5145676,2021-01-04
2021-01-11,109.8553695678711,124.0,132.64999389648438,110.55000305175781,111.69999694824219,11469076,2021-01-11
2021-01-18,107.24187469482422,121.05000305175781,129.3000030517578,116.0,124.0,4660406,2021-01-18
2021-01-25,80.39818572998047,90.75,122.75,89.55000305175781,121.69999694824219,13011338,2021-01-25
2021-02-01,82.48011016845703,93.0999984741211,97.0,90.0,92.9000015258789,6636572,2021-02-01
2021-02-08,84.340576171875,95.19999694824219,98.0,91.30000305175781,93.0999984741211,4648852,2021-02-08
2021-02-15,85.62517547607422,96.6500015258789,102.5999984741211,94.05000305175781,95.5999984741211,5130780,2021-02-15
2021-02-22,88.63733673095703,100.05000305175781,103.80000305175781,92.25,96.44999694824219,5922911,2021-02-22
