Date,Adj Close_TVTODAY.NS,Close_TVTODAY.NS,High_TVTODAY.NS,Low_TVTODAY.NS,Open_TVTODAY.NS,Volume_TVTODAY.NS,Date
2020-07-13,186.4015655517578,200.6999969482422,208.5500030517578,196.25,205.25,123354,2020-07-13
2020-07-20,190.67385864257812,205.3000030517578,208.6999969482422,200.10000610351562,203.4499969482422,210244,2020-07-20
2020-07-27,188.76991271972656,203.25,207.89999389648438,198.0,205.5,158991,2020-07-27
2020-08-03,186.9588165283203,201.3000030517578,215.0,197.64999389648438,204.85000610351562,540066,2020-08-03
2020-08-10,194.11024475097656,209.0,235.6999969482422,195.0,200.0,1356464,2020-08-10
2020-08-17,211.1993865966797,227.39999389648438,237.75,211.0500030517578,213.89999389648438,762989,2020-08-17
2020-08-24,216.4468536376953,233.0500030517578,235.0,224.0,231.3000030517578,280999,2020-08-24
2020-08-31,216.4468536376953,233.0500030517578,240.0,217.6999969482422,233.5500030517578,283654,2020-08-31
2020-09-07,215.11392211914062,229.35000610351562,255.5500030517578,226.5500030517578,234.0,795144,2020-09-07
2020-09-14,209.4863739013672,223.35000610351562,235.0,220.0,234.0,265680,2020-09-14
2020-09-21,188.85191345214844,201.35000610351562,227.8000030517578,182.3000030517578,225.89999389648438,324294,2020-09-21
2020-09-28,185.05332946777344,197.3000030517578,205.0,192.5500030517578,205.0,164927,2020-09-28
2020-10-05,185.1470947265625,197.39999389648438,206.89999389648438,195.9499969482422,199.89999389648438,107928,2020-10-05
2020-10-12,185.99124145507812,198.3000030517578,201.0,193.9499969482422,197.39999389648438,74152,2020-10-12
2020-10-19,189.64915466308594,202.1999969482422,203.85000610351562,194.10000610351562,199.0,53418,2020-10-19
2020-10-26,189.22708129882812,201.75,209.0,195.39999389648438,202.5,78223,2020-10-26
2020-11-02,196.8712158203125,209.89999389648438,216.75,193.0,202.0,188566,2020-11-02
2020-11-09,190.54017639160156,203.14999389648438,215.39999389648438,199.10000610351562,210.4499969482422,222723,2020-11-09
2020-11-16,186.8822784423828,199.25,209.89999389648438,197.5,200.85000610351562,670549,2020-11-16
2020-11-23,190.49330139160156,203.10000610351562,234.8000030517578,198.6999969482422,200.25,820170,2020-11-23
2020-11-30,203.24913024902344,216.6999969482422,223.89999389648438,203.10000610351562,203.10000610351562,763802,2020-11-30
2020-12-07,203.53050231933594,217.0,225.0500030517578,211.25,217.8000030517578,477539,2020-12-07
2020-12-14,210.37738037109375,224.3000030517578,228.85000610351562,212.3000030517578,218.10000610351562,601528,2020-12-14
2020-12-21,207.4698028564453,221.1999969482422,227.8000030517578,201.0,225.0,367252,2020-12-21
2020-12-28,212.48773193359375,226.5500030517578,232.1999969482422,219.60000610351562,222.0,525065,2020-12-28
2021-01-04,224.16493225097656,239.0,246.9499969482422,221.9499969482422,229.39999389648438,883376,2021-01-04
2021-01-11,229.93319702148438,245.14999389648438,264.8500061035156,233.0,243.0,1173115,2021-01-11
2021-01-18,231.7621612548828,247.10000610351562,253.9499969482422,236.25,245.14999389648438,443851,2021-01-18
2021-01-25,230.91799926757812,246.1999969482422,261.25,245.0,250.0,310973,2021-01-25
2021-02-01,228.99525451660156,244.14999389648438,254.25,240.0,246.14999389648438,406814,2021-02-01
2021-02-08,246.44073486328125,262.75,284.0,240.0,245.0,2246574,2021-02-08
2021-02-15,246.81588745117188,263.1499938964844,273.79998779296875,255.25,264.8999938964844,757474,2021-02-15
2021-02-22,250.56759643554688,267.1499938964844,272.0,260.1000061035156,264.79998779296875,515372,2021-02-22
2021-03-01,251.8338165283203,268.5,284.95001220703125,265.1000061035156,268.6000061035156,560597,2021-03-01
2021-03-08,253.8972930908203,270.70001220703125,276.6000061035156,266.95001220703125,270.8999938964844,199768,2021-03-08
2021-03-15,253.14691162109375,269.8999938964844,272.95001220703125,249.3000030517578,272.3999938964844,385226,2021-03-15
2021-03-22,253.33450317382812,270.1000061035156,273.8500061035156,262.1000061035156,270.0,334227,2021-03-22
2021-03-29,253.66278076171875,270.45001220703125,273.0,263.0,270.1000061035156,96627,2021-03-29
2021-04-05,273.17169189453125,291.25,305.95001220703125,268.1000061035156,271.70001220703125,685662,2021-04-05
2021-04-12,256.7579650878906,273.75,291.25,265.1000061035156,291.25,161051,2021-04-12
2021-04-19,265.7151794433594,283.29998779296875,286.0,264.95001220703125,266.0,282559,2021-04-19
2021-04-26,267.3565368652344,285.04998779296875,295.0,277.3500061035156,287.0,286844,2021-04-26
2021-05-03,270.6861877441406,288.6000061035156,292.0,280.0,281.3500061035156,219943,2021-05-03
2021-05-10,260.83795166015625,278.1000061035156,295.95001220703125,276.20001220703125,291.0,754654,2021-05-10
2021-05-17,310.3605651855469,330.8999938964844,337.70001220703125,278.1499938964844,279.79998779296875,3152573,2021-05-17
2021-05-24,290.8047790527344,310.04998779296875,379.0,305.54998779296875,340.0,3625444,2021-05-24
2021-05-31,293.52471923828125,312.95001220703125,322.29998779296875,289.3999938964844,314.8999938964844,1167421,2021-05-31
2021-06-07,287.7565002441406,306.79998779296875,317.3500061035156,296.0,314.8999938964844,1286814,2021-06-07
2021-06-14,287.28753662109375,306.29998779296875,339.70001220703125,295.25,308.95001220703125,1522147,2021-06-14
2021-06-21,281.0971984863281,299.70001220703125,313.3999938964844,296.6499938964844,300.1000061035156,655421,2021-06-21
2021-06-28,285.2709655761719,304.1499938964844,305.04998779296875,287.1000061035156,301.8999938964844,485408,2021-06-28
2021-07-05,284.0985412597656,302.8999938964844,309.79998779296875,298.1000061035156,305.0,796014,2021-07-05
2021-07-12,281.3316955566406,299.95001220703125,307.0,296.1000061035156,305.0,522099,2021-07-12
2021-07-19,280.7689514160156,299.3500061035156,307.0,297.5,305.0,351799,2021-07-19
2021-07-26,274.6723937988281,292.8500061035156,300.79998779296875,289.79998779296875,300.6499938964844,337161,2021-07-26
2021-08-02,271.0144958496094,288.95001220703125,297.95001220703125,285.04998779296875,294.04998779296875,285686,2021-08-02
2021-08-09,272.8433837890625,290.8999938964844,302.45001220703125,272.29998779296875,290.0,801413,2021-08-09
