Date,Adj Close_DCMSHRIRAM.NS,Close_DCMSHRIRAM.NS,High_DCMSHRIRAM.NS,Low_DCMSHRIRAM.NS,Open_DCMSHRIRAM.NS,Volume_DCMSHRIRAM.NS,Date
2020-07-13,312.8664245605469,331.29998779296875,345.45001220703125,315.0,326.8999938964844,781638,2020-07-13
2020-07-20,320.56292724609375,339.45001220703125,348.5,313.29998779296875,332.1000061035156,1063921,2020-07-20
2020-07-27,320.37408447265625,339.25,354.8999938964844,326.45001220703125,341.0,679521,2020-07-27
2020-08-03,317.4937438964844,336.20001220703125,344.3999938964844,328.1000061035156,339.0,212618,2020-08-03
2020-08-10,338.9778747558594,358.95001220703125,362.29998779296875,337.8999938964844,337.8999938964844,653724,2020-08-10
2020-08-17,336.71142578125,356.54998779296875,387.8999938964844,350.0,360.8999938964844,595164,2020-08-17
2020-08-24,359.5177917480469,380.70001220703125,408.95001220703125,355.1499938964844,355.1499938964844,1624167,2020-08-24
2020-08-31,339.16680908203125,359.1499938964844,386.70001220703125,354.20001220703125,386.70001220703125,261530,2020-08-31
2020-09-07,325.3791198730469,344.54998779296875,369.0,328.6499938964844,358.04998779296875,203168,2020-09-07
2020-09-14,368.3003234863281,390.0,393.0,347.04998779296875,347.45001220703125,577401,2020-09-14
2020-09-21,344.03021240234375,364.29998779296875,394.5,352.0,390.95001220703125,351395,2020-09-21
2020-09-28,345.6356506347656,366.0,373.79998779296875,359.1499938964844,366.1499938964844,110716,2020-09-28
2020-10-05,342.47198486328125,362.6499938964844,375.20001220703125,357.5,367.8500061035156,474017,2020-10-05
2020-10-12,318.249267578125,337.0,365.54998779296875,334.04998779296875,362.6499938964844,245541,2020-10-12
2020-10-19,335.5310363769531,355.29998779296875,363.5,323.1000061035156,338.25,747123,2020-10-19
2020-10-26,320.7517395019531,339.6499938964844,358.5,333.1499938964844,356.0,240319,2020-10-26
2020-11-02,304.93377685546875,322.8999938964844,342.04998779296875,317.1000061035156,339.6499938964844,526801,2020-11-02
2020-11-09,320.4685363769531,339.3500061035156,354.70001220703125,315.1000061035156,325.29998779296875,700531,2020-11-09
2020-11-16,334.06732177734375,353.75,359.70001220703125,335.04998779296875,337.1000061035156,424151,2020-11-16
