Date,Adj Close_LTTS.NS,Close_LTTS.NS,High_LTTS.NS,Low_LTTS.NS,Open_LTTS.NS,Volume_LTTS.NS,Date
2020-07-13,1311.7994384765625,1380.5999755859375,1517.949951171875,1341.1500244140625,1450.25,922915,2020-07-13
2020-07-20,1367.7642822265625,1439.5,1460.0,1351.25,1360.0,782210,2020-07-20
2020-07-27,1436.03369140625,1511.3499755859375,1530.0,1405.0,1439.5,1053990,2020-07-27
2020-08-03,1513.567138671875,1592.949951171875,1625.0,1500.0,1500.0,589027,2020-08-03
2020-08-10,1486.9151611328125,1564.9000244140625,1653.0,1551.050048828125,1604.0,573727,2020-08-10
2020-08-17,1524.58935546875,1604.550048828125,1615.0,1526.800048828125,1570.0,296793,2020-08-17
2020-08-24,1458.1724853515625,1534.6500244140625,1631.9000244140625,1518.6500244140625,1612.0,534648,2020-08-24
2020-08-31,1485.1097412109375,1563.0,1612.0,1508.0,1540.0,572128,2020-08-31
2020-09-07,1448.243408203125,1524.199951171875,1576.25,1464.0999755859375,1560.199951171875,572561,2020-09-07
2020-09-14,1589.6756591796875,1673.050048828125,1697.8499755859375,1528.0,1528.0,620508,2020-09-14
2020-09-21,1511.904541015625,1591.199951171875,1685.300048828125,1561.0,1666.0,1533857,2020-09-21
2020-09-28,1507.8663330078125,1586.949951171875,1665.0,1580.5,1599.0,640378,2020-09-28
2020-10-05,1548.8184814453125,1630.050048828125,1676.0,1565.0,1602.0,1039820,2020-10-05
2020-10-12,1641.83984375,1727.949951171875,1879.4000244140625,1626.0,1634.0,3497915,2020-10-12
2020-10-19,1647.540771484375,1733.949951171875,1796.6500244140625,1681.449951171875,1745.0,1191037,2020-10-19
2020-10-26,1584.259765625,1667.3499755859375,1796.9000244140625,1651.300048828125,1746.199951171875,656110,2020-10-26
2020-11-02,1613.854248046875,1691.1500244140625,1749.800048828125,1605.0,1679.25,511081,2020-11-02
2020-11-09,1638.7611083984375,1717.25,1728.300048828125,1627.050048828125,1702.25,543817,2020-11-09
2020-11-16,1583.3167724609375,1659.1500244140625,1732.0,1653.0,1709.9000244140625,316578,2020-11-16
2020-11-23,1644.439208984375,1723.199951171875,1742.0,1645.0,1672.75,779832,2020-11-23
2020-11-30,1719.9239501953125,1802.300048828125,1820.0,1718.3499755859375,1723.199951171875,617304,2020-11-30
