Date,Adj Close_HEG.NS,Close_HEG.NS,High_HEG.NS,Low_HEG.NS,Open_HEG.NS,Volume_HEG.NS,Date
2020-07-13,162.01016235351562,166.19000244140625,168.39999389648438,144.07000732421875,150.0,15673495,2020-07-13
2020-07-20,156.29754638671875,160.3300018310547,172.99000549316406,156.75,166.16000366210938,16543105,2020-07-20
2020-07-27,142.96160888671875,146.64999389648438,161.8000030517578,146.0,161.36000061035156,5965610,2020-07-27
2020-08-03,153.29501342773438,157.25,164.39999389648438,144.36000061035156,146.33999633789062,14735990,2020-08-03
2020-08-10,151.56951904296875,155.47999572753906,163.8000030517578,154.00999450683594,158.3699951171875,9393055,2020-08-10
2020-08-17,159.16360473632812,163.27000427246094,167.0,154.6199951171875,157.3800048828125,12779885,2020-08-17
2020-08-24,170.23788452148438,174.6300048828125,190.0,159.2100067138672,164.4199981689453,52944330,2020-08-24
2020-08-31,158.4129638671875,162.5,183.60000610351562,160.0,176.0,14228940,2020-08-31
2020-09-07,148.29403686523438,152.1199951171875,165.77999877929688,148.55999755859375,163.7899932861328,8306580,2020-09-07
2020-09-14,148.14781188964844,151.97000122070312,159.39999389648438,150.0,153.8000030517578,7353245,2020-09-14
2020-09-21,149.37611389160156,153.22999572753906,155.52999877929688,139.25,152.5800018310547,11181780,2020-09-21
2020-09-28,144.88206481933594,148.6199951171875,156.60000610351562,143.8300018310547,154.55999755859375,6762805,2020-09-28
2020-10-05,141.6455535888672,145.3000030517578,152.24000549316406,144.5,149.6999969482422,5136840,2020-10-05
2020-10-12,139.3546600341797,142.9499969482422,149.38999938964844,141.94000244140625,146.0,5472235,2020-10-12
2020-10-19,136.13766479492188,139.64999389648438,146.38999938964844,137.0,143.39999389648438,6405685,2020-10-19
2020-10-26,131.76058959960938,135.16000366210938,141.08999633789062,133.39999389648438,140.1999969482422,3570080,2020-10-26
2020-11-02,138.3700714111328,141.94000244140625,145.0,131.8000030517578,135.6300048828125,5863750,2020-11-02
2020-11-09,138.03863525390625,141.60000610351562,145.97999572753906,138.1999969482422,143.0,4995780,2020-11-09
2020-11-16,159.9629669189453,164.08999633789062,172.05999755859375,140.24000549316406,141.0,47673070,2020-11-16
2020-11-23,156.8922119140625,160.94000244140625,176.8000030517578,157.67999267578125,163.5500030517578,39156375,2020-11-23
2020-11-30,163.2969512939453,167.50999450683594,170.97999572753906,159.6199951171875,160.94000244140625,16436290,2020-11-30
2020-12-07,163.87213134765625,168.10000610351562,175.1999969482422,164.25999450683594,168.32000732421875,16163765,2020-12-07
2020-12-14,180.07411193847656,184.72000122070312,186.0,167.64999389648438,168.92999267578125,39693415,2020-12-14
2020-12-21,172.6067657470703,177.05999755859375,189.7899932861328,160.8000030517578,185.47999572753906,18655340,2020-12-21
2020-12-28,184.1392364501953,188.88999938964844,193.58999633789062,178.00999450683594,178.47999572753906,20908735,2020-12-28
2021-01-04,190.62197875976562,195.5399932861328,200.69000244140625,185.0,189.60000610351562,22401890,2021-01-04
2021-01-11,194.89181518554688,199.9199981689453,213.97999572753906,193.00999450683594,196.0,18769815,2021-01-11
2021-01-18,186.1181640625,190.9199981689453,201.39999389648438,186.10000610351562,199.75,9659020,2021-01-18
2021-01-25,182.5404815673828,187.25,194.5800018310547,182.44000244140625,193.13999938964844,7100130,2021-01-25
