Date,Adj Close_BOROLTD.NS,Close_BOROLTD.NS,High_BOROLTD.NS,Low_BOROLTD.NS,Open_BOROLTD.NS,Volume_BOROLTD.NS,Date
2020-07-20,155.2652587890625,156.1389617919922,182.06423950195312,156.1389617919922,182.06423950195312,57092,2020-07-20
2020-07-27,120.47449493408203,121.15242767333984,148.33621215820312,120.90071868896484,148.33621215820312,500051,2020-07-27
2020-08-03,134.44920349121094,135.2057647705078,137.59693908691406,109.90974426269531,117.46080017089844,472699,2020-08-03
2020-08-10,127.10726165771484,127.82251739501953,142.46316528320312,126.7318115234375,138.35203552246094,356082,2020-08-10
2020-08-17,139.20477294921875,139.98809814453125,139.98809814453125,115.78279113769531,121.44607543945312,567315,2020-08-17
2020-08-24,140.41453552246094,141.2046661376953,154.29315185546875,135.91893005371094,146.95184326171875,510682,2020-08-24
2020-08-31,131.1953887939453,131.93365478515625,143.21827697753906,127.52886962890625,142.71487426757812,178971,2020-08-31
2020-09-07,127.73299407958984,128.45176696777344,134.24090576171875,122.91433715820312,128.3678741455078,195995,2020-09-07
2020-09-14,129.7353515625,130.46539306640625,137.59693908691406,128.57762145996094,130.12979125976562,233373,2020-09-14
2020-09-21,118.93102264404297,119.60026550292969,133.4019012451172,117.67054748535156,129.6683349609375,214902,2020-09-21
2020-09-28,124.77119445800781,125.47330474853516,129.87808227539062,119.97781372070312,123.3338394165039,97169,2020-09-28
2020-10-05,116.3863754272461,117.04129791259766,127.86447143554688,116.62179565429688,127.86447143554688,101246,2020-10-05
2020-10-12,112.3399658203125,112.97212219238281,117.5447006225586,109.07073974609375,116.87349700927734,170528,2020-10-12
2020-10-19,124.64604187011719,125.34745025634766,130.7170867919922,113.2657699584961,115.78279113769531,232420,2020-10-19
2020-10-26,119.80704498291016,120.48121643066406,126.10255432128906,117.46080017089844,125.43135070800781,117375,2020-10-26
2020-11-02,119.2230224609375,119.89391326904297,122.49483489990234,116.62179565429688,118.71930694580078,79993,2020-11-02
2020-11-09,127.48270416259766,128.2000732421875,129.794189453125,118.2998046875,120.81681823730469,206146,2020-11-09
2020-11-16,128.27529907226562,128.99713134765625,140.4915008544922,124.84404754638672,128.2000732421875,239696,2020-11-16
2020-11-23,132.15484619140625,132.89849853515625,135.66722106933594,127.6127700805664,129.20687866210938,625387,2020-11-23
2020-11-30,138.32875061035156,139.10714721679688,147.49720764160156,132.56289672851562,132.89849853515625,1040734,2020-11-30
2020-12-07,140.9568328857422,141.75001525878906,151.8600311279297,135.91893005371094,140.9529571533203,997330,2020-12-07
2020-12-14,144.8363800048828,145.65139770507812,171.45082092285156,143.469970703125,144.8962860107422,3149284,2020-12-14
2020-12-21,168.7393798828125,169.68890380859375,180.0925750732422,137.59693908691406,147.49720764160156,3188660,2020-12-21
2020-12-28,183.42324829101562,184.4553985595703,213.10745239257812,164.8226776123047,171.36691284179688,5559557,2020-12-28
2021-01-04,189.76400756835938,190.83184814453125,202.87158203125,185.50416564941406,185.50416564941406,2097922,2021-01-04
2021-01-11,171.90975952148438,172.8771209716797,192.5518035888672,170.360107421875,192.5518035888672,1184784,2021-01-11
