Date,Adj Close_ADOR.NS,Close_ADOR.NS,High_ADOR.NS,Low_ADOR.NS,Open_ADOR.NS,Volume_ADOR.NS,Date
2025-04-07,858.7774658203125,874.4500122070312,879.0,788.0,837.25,63875,2025-04-07
2025-04-14,869.236572265625,885.0999755859375,899.0,870.2999877929688,882.0,26344,2025-04-14
2025-04-21,884.3114624023438,900.4500122070312,935.0,880.0,880.0,62500,2025-04-21
2025-04-28,855.8803100585938,871.5,910.0,867.0,900.4000244140625,28571,2025-04-28
2025-05-05,829.2169189453125,844.3499755859375,890.0,824.0,865.0499877929688,136326,2025-05-05
2025-05-12,995.4826049804688,1013.6500244140625,1024.0,852.5,852.5,83466,2025-05-12
2025-05-19,969.6048583984375,987.2999877929688,1046.050048828125,943.2999877929688,1013.6500244140625,69661,2025-05-19
2025-05-26,963.5159301757812,981.0999755859375,1017.5999755859375,967.0,997.0,51250,2025-05-26
2025-06-02,972.7474975585938,990.5,1003.9000244140625,966.0999755859375,987.0999755859375,37945,2025-06-02
2025-06-09,1002.2589111328125,1020.5499877929688,1076.9000244140625,993.0,995.7000122070312,126408,2025-06-09
2025-06-16,983.6976928710938,1001.6500244140625,1038.5999755859375,976.0499877929688,1015.5,55438,2025-06-16
2025-06-23,1005.2542114257812,1023.5999755859375,1035.0,973.5999755859375,986.5999755859375,73463,2025-06-23
2025-06-30,1082.5438232421875,1102.300048828125,1127.800048828125,1006.0,1028.0,170813,2025-06-30
2025-07-07,1083.52587890625,1103.300048828125,1157.199951171875,1053.0,1121.9000244140625,186640,2025-07-07
2025-07-14,1081.699951171875,1081.699951171875,1109.0,1077.9000244140625,1109.0,10318,2025-07-14
