Date,Adj Close_TCPLPACK.NS,Close_TCPLPACK.NS,High_TCPLPACK.NS,Low_TCPLPACK.NS,Open_TCPLPACK.NS,Volume_TCPLPACK.NS,Date
2020-07-13,268.2966613769531,284.20001220703125,289.75,263.75,281.5,11602,2020-07-13
2020-07-20,269.7127380371094,285.70001220703125,304.8999938964844,282.04998779296875,285.0,30500,2020-07-20
2020-07-27,264.7652587890625,276.6499938964844,299.0,262.0,285.70001220703125,58491,2020-07-27
2020-08-03,319.2208557128906,333.54998779296875,346.3999938964844,274.5,275.1000061035156,106853,2020-08-03
2020-08-10,377.8396301269531,394.79998779296875,409.8999938964844,313.5,333.79998779296875,159252,2020-08-10
2020-08-17,424.11248779296875,443.1499938964844,465.0,403.0,404.0,217461,2020-08-17
2020-08-24,399.3251953125,417.25,445.0,415.0,440.0,34426,2020-08-24
2020-08-31,385.01739501953125,402.29998779296875,423.70001220703125,367.3500061035156,414.25,21745,2020-08-31
2020-09-07,375.112060546875,391.95001220703125,413.0,350.0,410.0,16976,2020-09-07
2020-09-14,368.0777893066406,384.6000061035156,420.0,380.1000061035156,389.0,20464,2020-09-14
2020-09-21,355.44482421875,371.3999938964844,384.8500061035156,353.79998779296875,370.1499938964844,25203,2020-09-21
2020-09-28,349.27197265625,364.95001220703125,390.0,352.54998779296875,374.6000061035156,7983,2020-09-28
2020-10-05,349.4154968261719,365.1000061035156,382.0,355.0,370.0,36981,2020-10-05
2020-10-12,345.68304443359375,361.20001220703125,387.0,356.25,365.0,9362,2020-10-12
2020-10-19,354.10498046875,370.0,384.95001220703125,353.75,366.04998779296875,10187,2020-10-19
2020-10-26,349.0326843261719,364.70001220703125,386.95001220703125,361.0,361.04998779296875,9432,2020-10-26
2020-11-02,363.1968688964844,379.5,381.04998779296875,353.79998779296875,373.0,7261,2020-11-02
2020-11-09,374.7292175292969,391.54998779296875,420.0,361.1000061035156,380.95001220703125,33669,2020-11-09
2020-11-16,356.0190734863281,372.0,399.3500061035156,366.3999938964844,386.0,21635,2020-11-16
2020-11-23,355.54052734375,371.5,382.0,357.1000061035156,378.0,18826,2020-11-23
2020-11-30,361.1871032714844,377.3999938964844,381.5,367.0,371.5,16183,2020-11-30
2020-12-07,391.5252990722656,409.1000061035156,460.0,373.0,376.04998779296875,137412,2020-12-07
2020-12-14,379.945068359375,397.0,415.0,395.0,410.0,35710,2020-12-14
2020-12-21,367.5513916015625,384.04998779296875,399.8500061035156,353.6499938964844,396.04998779296875,31983,2020-12-21
2020-12-28,370.8531799316406,387.5,398.0,374.25,387.8500061035156,19762,2020-12-28
2021-01-04,362.0006103515625,378.25,397.6499938964844,377.0,387.5,22350,2021-01-04
2021-01-11,340.4671936035156,355.75,395.0,354.0,395.0,26774,2021-01-11
2021-01-18,330.6096496582031,345.45001220703125,364.95001220703125,342.04998779296875,361.95001220703125,19209,2021-01-18
2021-01-25,323.3840026855469,337.8999938964844,356.5,336.04998779296875,343.25,10493,2021-01-25
2021-02-01,377.2174987792969,394.1499938964844,415.0,337.20001220703125,357.95001220703125,134400,2021-02-01
2021-02-08,368.2213439941406,384.75,411.29998779296875,378.8500061035156,397.5,49696,2021-02-08
2021-02-15,361.6656188964844,377.8999938964844,400.0,366.1499938964844,400.0,52071,2021-02-15
2021-02-22,357.88531494140625,373.95001220703125,385.0,366.0,377.95001220703125,24668,2021-02-22
2021-03-01,380.18438720703125,397.25,437.0,369.25,376.1000061035156,75402,2021-03-01
2021-03-08,397.98529052734375,415.8500061035156,425.0,397.75,405.0,34148,2021-03-08
2021-03-15,373.43719482421875,390.20001220703125,424.0,382.0,415.29998779296875,22237,2021-03-15
2021-03-22,353.5307922363281,369.3999938964844,407.25,364.3500061035156,398.0,15363,2021-03-22
2021-03-29,413.9678649902344,432.54998779296875,456.0,360.0,369.3999938964844,132619,2021-03-29
2021-04-05,397.50677490234375,415.3500061035156,430.0,405.75,426.0,37842,2021-04-05
2021-04-12,375.2077331542969,392.04998779296875,415.3999938964844,375.1000061035156,415.3999938964844,29366,2021-04-12
