Date,Adj Close_TIRUPATIFL.NS,Close_TIRUPATIFL.NS,High_TIRUPATIFL.NS,Low_TIRUPATIFL.NS,Open_TIRUPATIFL.NS,Volume_TIRUPATIFL.NS,Date
2020-07-13,2.8883843421936035,2.891427993774414,2.9257140159606934,2.891427993774414,2.9257140159606934,56000,2020-07-13
2020-07-20,2.8427183628082275,2.8457140922546387,2.9314279556274414,2.7885708808898926,2.9085710048675537,224000,2020-07-20
2020-07-27,2.8255934715270996,2.828571081161499,2.8457140922546387,2.8114280700683594,2.834285020828247,140000,2020-07-27
2020-08-03,3.287963390350342,3.2914280891418457,3.2971420288085938,2.834285020828247,2.9657139778137207,312925,2020-08-03
2020-08-10,4.1727447509765625,4.177142143249512,4.182857036590576,3.2857139110565186,3.445713996887207,159030,2020-08-10
2020-08-17,3.4649195671081543,3.4685709476470947,4.382856845855713,3.2971420288085938,4.382856845855713,138590,2020-08-17
2020-08-24,3.442086696624756,3.445713996887207,3.8399999141693115,3.2971420288085938,3.6342849731445312,75256,2020-08-24
2020-08-31,3.4363789558410645,3.440000057220459,3.6114280223846436,3.1314280033111572,3.445713996887207,18356,2020-08-31
2020-09-07,3.29938006401062,3.302856922149658,3.537142038345337,3.148571014404297,3.268570899963379,20090,2020-09-07
2020-09-14,2.8883843421936035,2.891427993774414,3.451427936553955,2.891427993774414,3.302856922149658,20735,2020-09-14
2020-09-21,2.7285525798797607,2.7314279079437256,2.9714279174804688,2.6171419620513916,2.9714279174804688,17349,2020-09-21
2020-09-28,2.711427688598633,2.714284896850586,2.742856979370117,2.4857139587402344,2.640000104904175,46268,2020-09-28
2020-10-05,2.7285525798797607,2.7314279079437256,3.0171420574188232,2.359999895095825,2.742856979370117,56724,2020-10-05
2020-10-12,2.8769683837890625,2.880000114440918,2.9371418952941895,2.4628570079803467,2.822856903076172,63086,2020-10-12
2020-10-19,3.2480051517486572,3.2514278888702393,3.417141914367676,2.5771420001983643,2.9314279556274414,42805,2020-10-19
2020-10-26,3.2594223022460938,3.262856960296631,3.5257139205932617,2.9142849445343018,3.5257139205932617,39584,2020-10-26
