Date,Adj Close_UNICHEMLAB.NS,Close_UNICHEMLAB.NS,High_UNICHEMLAB.NS,Low_UNICHEMLAB.NS,Open_UNICHEMLAB.NS,Volume_UNICHEMLAB.NS,Date
2020-07-13,187.4286346435547,195.4499969482422,198.0,183.0,190.25,463763,2020-07-13
2020-07-20,200.80613708496094,209.39999389648438,215.0,191.5,196.9499969482422,2099233,2020-07-20
2020-07-27,225.45138549804688,235.10000610351562,237.14999389648438,198.0500030517578,211.85000610351562,1890820,2020-07-27
2020-08-03,248.8500213623047,259.5,304.70001220703125,239.10000610351562,240.0,3921359,2020-08-03
2020-08-10,237.77401733398438,247.9499969482422,262.8500061035156,234.0,260.5,931652,2020-08-10
2020-08-17,235.4725341796875,245.5500030517578,255.4499969482422,244.0500030517578,252.0,305351,2020-08-17
2020-08-24,249.70237731933594,256.20001220703125,273.0,245.0,246.0500030517578,806159,2020-08-24
2020-08-31,245.80381774902344,252.1999969482422,262.8999938964844,230.1999969482422,253.5,415725,2020-08-31
2020-09-07,235.8137664794922,241.9499969482422,256.75,238.25,253.9499969482422,280876,2020-09-07
2020-09-14,252.33389282226562,258.8999938964844,271.95001220703125,241.0,241.0,711399,2020-09-14
2020-09-21,240.58950805664062,246.85000610351562,263.75,235.60000610351562,260.1000061035156,208634,2020-09-21
2020-09-28,242.0514678955078,248.35000610351562,255.60000610351562,241.1999969482422,251.9499969482422,160702,2020-09-28
2020-10-05,253.21104431152344,259.79998779296875,279.0,250.0,251.0500030517578,663356,2020-10-05
2020-10-12,239.41993713378906,245.64999389648438,265.70001220703125,240.0,260.25,277512,2020-10-12
2020-10-19,238.83514404296875,245.0500030517578,250.0,238.10000610351562,247.0,135691,2020-10-19
2020-10-26,244.92665100097656,251.3000030517578,253.0,231.25,245.0500030517578,314526,2020-10-26
2020-11-02,230.7456512451172,236.75,257.6499938964844,235.4499969482422,255.39999389648438,414303,2020-11-02
2020-11-09,237.37318420410156,243.5500030517578,247.0,223.3000030517578,236.75,323484,2020-11-09
2020-11-16,235.0340576171875,241.14999389648438,246.0,235.75,242.0500030517578,182532,2020-11-16
