Date,Adj Close_ASIANENE.NS,Close_ASIANENE.NS,High_ASIANENE.NS,Low_ASIANENE.NS,Open_ASIANENE.NS,Volume_ASIANENE.NS,Date
2021-12-06,145.1999969482422,145.1999969482422,152.39999389648438,140.10000610351562,150.89999389648438,122886,2021-12-06
2021-12-13,133.39999389648438,133.39999389648438,146.85000610351562,128.64999389648438,146.0,126831,2021-12-13
2021-12-20,131.5,131.5,135.0,125.0,135.0,147278,2021-12-20
2021-12-27,135.3000030517578,135.3000030517578,139.0,129.0,133.0,138236,2021-12-27
2022-01-03,148.64999389648438,148.64999389648438,150.0,135.60000610351562,138.5,454136,2022-01-03
2022-01-10,165.25,165.25,169.0,144.0,149.8000030517578,1504859,2022-01-10
2022-01-17,157.14999389648438,157.14999389648438,173.0,155.5,168.60000610351562,922828,2022-01-17
2022-01-24,151.5500030517578,151.5500030517578,159.0,144.10000610351562,157.14999389648438,347759,2022-01-24
2022-01-31,156.10000610351562,156.10000610351562,161.0,148.0,156.0500030517578,345804,2022-01-31
2022-02-07,134.60000610351562,134.60000610351562,158.8000030517578,132.8000030517578,158.8000030517578,426680,2022-02-07
2022-02-14,118.44999694824219,118.44999694824219,136.0,116.5,133.0,366502,2022-02-14
2022-02-21,124.55000305175781,124.55000305175781,125.9000015258789,108.30000305175781,115.5999984741211,544708,2022-02-21
2022-02-28,119.0,119.0,126.8499984741211,115.55000305175781,123.94999694824219,359596,2022-02-28
2022-03-07,117.55000305175781,117.55000305175781,120.1500015258789,110.6500015258789,119.0,534843,2022-03-07
2022-03-14,113.0999984741211,113.0999984741211,119.05000305175781,109.8499984741211,118.5,218736,2022-03-14
2022-03-21,116.0999984741211,116.0999984741211,128.9499969482422,113.8499984741211,114.94999694824219,557449,2022-03-21
2022-03-28,119.44999694824219,119.44999694824219,120.5,111.6500015258789,115.30000305175781,496300,2022-03-28
2022-04-04,125.0,125.0,129.6999969482422,117.55000305175781,117.55000305175781,491235,2022-04-04
2022-04-11,120.19999694824219,120.19999694824219,126.75,119.5,126.75,143198,2022-04-11
2022-04-18,117.8499984741211,117.8499984741211,122.80000305175781,114.5,122.80000305175781,357842,2022-04-18
2022-04-25,110.69999694824219,110.69999694824219,117.5999984741211,110.0,116.0,233817,2022-04-25
2022-05-02,99.80000305175781,99.80000305175781,110.0,99.25,108.5,232276,2022-05-02
2022-05-09,88.30000305175781,88.30000305175781,102.94999694824219,86.0,102.94999694824219,391060,2022-05-09
2022-05-16,92.3499984741211,92.3499984741211,99.0,88.0999984741211,90.0999984741211,287022,2022-05-16
2022-05-23,89.30000305175781,89.30000305175781,94.9000015258789,82.55000305175781,93.94999694824219,239026,2022-05-23
2022-05-30,92.0999984741211,92.0999984741211,97.8499984741211,90.25,94.69999694824219,206695,2022-05-30
2022-06-06,99.9000015258789,99.9000015258789,109.0,89.5,93.80000305175781,1500726,2022-06-06
2022-06-13,88.55000305175781,88.55000305175781,98.8499984741211,86.0999984741211,98.8499984741211,385125,2022-06-13
2022-06-20,84.8499984741211,84.8499984741211,88.55000305175781,79.0,88.55000305175781,293545,2022-06-20
2022-06-27,86.94999694824219,86.94999694824219,92.94999694824219,83.4000015258789,86.3499984741211,168089,2022-06-27
2022-07-04,86.5999984741211,86.5999984741211,88.6500015258789,82.5,88.6500015258789,105515,2022-07-04
2022-07-11,87.44999694824219,87.44999694824219,89.55000305175781,85.0,87.0,97545,2022-07-11
2022-07-18,90.0,90.0,93.80000305175781,85.4000015258789,88.5,173749,2022-07-18
2022-07-25,86.30000305175781,86.30000305175781,91.30000305175781,85.19999694824219,89.05000305175781,178400,2022-07-25
2022-08-01,88.1500015258789,88.1500015258789,92.0,86.69999694824219,87.0,237112,2022-08-01
2022-08-08,76.0,76.0,91.5,74.19999694824219,87.0,622808,2022-08-08
2022-08-15,75.5,75.5,77.80000305175781,74.1500015258789,76.0,294855,2022-08-15
2022-08-22,79.75,79.75,81.1500015258789,72.9000015258789,75.5,582707,2022-08-22
2022-08-29,80.05000305175781,80.05000305175781,85.19999694824219,75.9000015258789,77.94999694824219,394981,2022-08-29
2022-09-05,84.69999694824219,84.69999694824219,89.0,79.19999694824219,81.5999984741211,543023,2022-09-05
2022-09-12,80.75,80.75,85.80000305175781,80.3499984741211,84.69999694824219,434167,2022-09-12
2022-09-19,78.80000305175781,78.80000305175781,82.8499984741211,77.6500015258789,82.3499984741211,215252,2022-09-19
2022-09-26,72.80000305175781,72.80000305175781,78.1500015258789,70.05000305175781,77.0999984741211,312976,2022-09-26
2022-10-03,74.5,74.5,78.55000305175781,71.75,74.1500015258789,244317,2022-10-03
2022-10-10,78.30000305175781,78.30000305175781,85.80000305175781,71.0,74.0,1930390,2022-10-10
2022-10-17,72.05000305175781,72.05000305175781,79.80000305175781,71.5,79.0,509504,2022-10-17
2022-10-24,72.19999694824219,72.19999694824219,75.0,72.0,72.05000305175781,141642,2022-10-24
2022-10-31,75.5999984741211,75.5999984741211,79.6500015258789,72.0,72.5999984741211,300460,2022-10-31
