Date,Adj Close_HITECHGEAR.NS,Close_HITECHGEAR.NS,High_HITECHGEAR.NS,Low_HITECHGEAR.NS,Open_HITECHGEAR.NS,Volume_HITECHGEAR.NS,Date
2020-07-13,100.97276306152344,103.69999694824219,110.69999694824219,100.8499984741211,107.0,17229,2020-07-13
2020-07-20,103.94255065917969,106.75,109.0,98.30000305175781,106.9000015258789,38653,2020-07-20
2020-07-27,99.12273406982422,101.80000305175781,109.0,99.0,106.94999694824219,21783,2020-07-27
2020-08-03,125.55870056152344,128.9499969482422,128.9499969482422,99.25,100.05000305175781,153509,2020-08-03
2020-08-10,117.47698974609375,120.6500015258789,137.0,117.5999984741211,132.89999389648438,54320,2020-08-10
2020-08-17,128.82061767578125,132.3000030517578,136.0,121.5,121.5,49328,2020-08-17
2020-08-24,136.2694091796875,139.9499969482422,152.0,133.0,135.8000030517578,51541,2020-08-24
2020-08-31,132.1311798095703,135.6999969482422,148.5,125.5,148.5,18929,2020-08-31
2020-09-07,124.29290008544922,127.6500015258789,139.89999389648438,124.0,139.89999389648438,7704,2020-09-07
2020-09-14,130.2811737060547,133.8000030517578,139.5,124.05000305175781,127.94999694824219,24143,2020-09-14
2020-09-21,121.12837219238281,124.4000015258789,136.0,121.0999984741211,130.10000610351562,24389,2020-09-21
2020-09-28,129.161376953125,132.64999389648438,143.5,124.05000305175781,124.05000305175781,11525,2020-09-28
2020-10-05,120.05729675292969,123.30000305175781,138.6999969482422,121.0,132.6999969482422,35007,2020-10-05
2020-10-12,113.77692413330078,116.8499984741211,127.9000015258789,110.69999694824219,127.8499984741211,12575,2020-10-12
2020-10-19,103.6991195678711,106.5,116.8499984741211,104.55000305175781,114.55000305175781,37198,2020-10-19
2020-10-26,101.36223602294922,104.0999984741211,110.0,98.3499984741211,107.19999694824219,22279,2020-10-26
2020-11-02,103.6991195678711,106.5,112.0,95.44999694824219,101.80000305175781,81250,2020-11-02
2020-11-09,141.38136291503906,145.1999969482422,145.1999969482422,106.0999984741211,107.0,114985,2020-11-09
2020-11-16,141.04054260253906,144.85000610351562,159.6999969482422,132.0,132.0,125638,2020-11-16
2020-11-23,139.2392120361328,143.0,150.0,137.64999389648438,141.10000610351562,26172,2020-11-23
2020-11-30,155.01315307617188,159.1999969482422,161.75,139.10000610351562,143.0,37102,2020-11-30
2020-12-07,154.5262908935547,158.6999969482422,165.0,155.0,165.0,29723,2020-12-07
2020-12-14,148.8301544189453,152.85000610351562,161.0,150.14999389648438,160.0,17407,2020-12-14
2020-12-21,146.5419464111328,150.5,155.0,138.5,151.0,21119,2020-12-21
2020-12-28,149.90121459960938,153.9499969482422,158.0,147.0,150.5,36200,2020-12-28
2021-01-04,173.3187255859375,178.0,178.0,154.0,155.3000030517578,38712,2021-01-04
2021-01-11,181.59518432617188,186.5,191.0,173.5,186.64999389648438,61268,2021-01-11
2021-01-18,172.78318786621094,177.4499969482422,186.0,174.0,182.0,18814,2021-01-18
2021-01-25,166.21070861816406,170.6999969482422,178.0,159.60000610351562,174.0500030517578,12198,2021-01-25
2021-02-01,190.8453369140625,196.0,208.75,166.0,166.25,56240,2021-02-01
2021-02-08,176.7266845703125,181.5,199.64999389648438,170.0,199.60000610351562,73986,2021-02-08
2021-02-15,174.2437286376953,178.9499969482422,191.9499969482422,177.0,181.89999389648438,42168,2021-02-15
2021-02-22,171.56607055664062,176.1999969482422,184.0,175.0,179.14999389648438,9497,2021-02-22
2021-03-01,171.12789916992188,175.75,182.0,170.0,175.0500030517578,16458,2021-03-01
2021-03-08,183.2017822265625,188.14999389648438,191.6999969482422,174.5,176.0,55466,2021-03-08
2021-03-15,181.44912719726562,186.35000610351562,190.89999389648438,179.35000610351562,187.0500030517578,51080,2021-03-15
2021-03-22,174.8279571533203,179.5500030517578,188.4499969482422,175.0,185.0500030517578,47036,2021-03-22
2021-03-29,168.6936492919922,173.25,182.0,168.3000030517578,179.5500030517578,25684,2021-03-29
2021-04-05,162.90013122558594,167.3000030517578,175.9499969482422,165.85000610351562,175.9499969482422,40491,2021-04-05
2021-04-12,160.56324768066406,164.89999389648438,170.0,151.3000030517578,166.0,14717,2021-04-12
2021-04-19,160.7580108642578,165.10000610351562,171.0,143.5,165.0,29065,2021-04-19
2021-04-26,164.60409545898438,169.0500030517578,171.0,155.10000610351562,165.14999389648438,33623,2021-04-26
2021-05-03,179.30699157714844,184.14999389648438,188.60000610351562,165.10000610351562,170.39999389648438,165748,2021-05-03
2021-05-10,177.7490692138672,182.5500030517578,195.1999969482422,181.0,181.64999389648438,70112,2021-05-10
2021-05-17,193.62039184570312,198.85000610351562,209.9499969482422,180.6999969482422,183.85000610351562,205234,2021-05-17
2021-05-24,226.190673828125,232.3000030517578,232.3000030517578,190.0500030517578,198.85000610351562,351394,2021-05-24
2021-05-31,232.3249969482422,238.60000610351562,260.0,232.10000610351562,237.0,568348,2021-05-31
2021-06-07,225.02224731445312,231.10000610351562,241.0,226.0,238.64999389648438,85214,2021-06-07
2021-06-14,241.6238250732422,248.14999389648438,266.0,220.5500030517578,232.9499969482422,427908,2021-06-14
2021-06-21,237.5829620361328,244.0,254.6999969482422,237.10000610351562,246.0,57141,2021-06-21
2021-06-28,284.6127014160156,292.29998779296875,317.79998779296875,246.0,246.0,772521,2021-06-28
2021-07-05,287.6311950683594,295.3999938964844,312.0,280.0,293.95001220703125,155029,2021-07-05
2021-07-12,298.7800598144531,306.8500061035156,332.0,301.04998779296875,302.0,249660,2021-07-12
2021-07-19,317.91326904296875,326.5,342.29998779296875,302.0,306.8500061035156,149955,2021-07-19
2021-07-26,338.896484375,348.04998779296875,365.95001220703125,320.6499938964844,335.95001220703125,237222,2021-07-26
2021-08-02,325.7028503417969,334.5,363.95001220703125,314.95001220703125,353.0,138736,2021-08-02
2021-08-09,288.0206604003906,295.79998779296875,335.75,253.14999389648438,335.75,280746,2021-08-09
2021-08-16,248.14764404296875,254.85000610351562,293.45001220703125,252.6999969482422,283.5,43014,2021-08-16
2021-08-23,247.02786254882812,253.6999969482422,264.79998779296875,234.35000610351562,254.89999389648438,42711,2021-08-23
2021-08-30,238.4593048095703,244.89999389648438,258.3999938964844,240.35000610351562,251.0,32550,2021-08-30
2021-09-06,275.16778564453125,282.6000061035156,297.29998779296875,240.0500030517578,249.89999389648438,270292,2021-09-06
2021-09-13,273.123046875,280.5,299.0,270.04998779296875,282.70001220703125,102100,2021-09-13
2021-09-20,256.2780456542969,263.20001220703125,283.0,252.14999389648438,281.04998779296875,45830,2021-09-20
2021-09-27,258.30810546875,263.29998779296875,274.79998779296875,260.0,265.0,34687,2021-09-27
2021-10-04,260.123046875,265.1499938964844,276.0,257.0,268.0,44246,2021-10-04
2021-10-11,253.2067108154297,258.1000061035156,279.3999938964844,253.39999389648438,269.79998779296875,111004,2021-10-11
2021-10-18,238.93255615234375,243.5500030517578,264.20001220703125,241.10000610351562,264.20001220703125,52953,2021-10-18
2021-10-25,240.79652404785156,245.4499969482422,252.60000610351562,236.0,252.60000610351562,72162,2021-10-25
2021-11-01,245.50552368164062,250.25,259.3500061035156,238.9499969482422,249.75,47879,2021-11-01
2021-11-08,245.45648193359375,250.1999969482422,256.95001220703125,244.0500030517578,254.75,39777,2021-11-08
2021-11-15,227.25816345214844,231.64999389648438,250.1999969482422,228.85000610351562,245.3000030517578,76555,2021-11-15
2021-11-22,206.55819702148438,210.5500030517578,227.0500030517578,208.89999389648438,225.5,50570,2021-11-22
2021-11-29,230.83895874023438,235.3000030517578,247.0,202.0,208.39999389648438,131525,2021-11-29
2021-12-06,231.7709503173828,236.25,239.6999969482422,225.0,237.60000610351562,53822,2021-12-06
2021-12-13,244.42637634277344,249.14999389648438,274.6000061035156,238.0,239.75,208668,2021-12-13
2021-12-20,245.79983520507812,250.5500030517578,257.95001220703125,236.75,253.89999389648438,43888,2021-12-20
2021-12-27,244.2792205810547,249.0,254.75,245.10000610351562,252.85000610351562,47275,2021-12-27
2022-01-03,248.44863891601562,253.25,259.70001220703125,248.85000610351562,250.0,61002,2022-01-03
2022-01-10,275.2801208496094,280.6000061035156,293.25,252.5500030517578,258.25,216403,2022-01-10
2022-01-17,265.5187683105469,270.6499938964844,298.79998779296875,268.54998779296875,284.6000061035156,189146,2022-01-17
2022-01-24,244.132080078125,248.85000610351562,272.0,242.9499969482422,272.0,65017,2022-01-24
2022-01-31,261.6927185058594,266.75,269.0,246.8000030517578,251.0,38627,2022-01-31
