Date,Adj Close_INDOFARM.NS,Close_INDOFARM.NS,High_INDOFARM.NS,Low_INDOFARM.NS,Open_INDOFARM.NS,Volume_INDOFARM.NS,Date
2025-01-06,253.16000366210938,253.16000366210938,293.20001220703125,245.00999450683594,256.0,39408856,2025-01-06
2025-01-13,225.38999938964844,225.38999938964844,249.6999969482422,220.1999969482422,249.02000427246094,11010126,2025-01-13
2025-01-20,195.1199951171875,195.1199951171875,227.35000610351562,193.9199981689453,225.99000549316406,4360719,2025-01-20
2025-01-27,197.61000061035156,197.61000061035156,213.3000030517578,170.66000366210938,192.97000122070312,7389214,2025-01-27
2025-02-03,208.85000610351562,208.85000610351562,221.25,180.6999969482422,193.8000030517578,6553926,2025-02-03
2025-02-10,192.11000061035156,192.11000061035156,208.80999755859375,187.6999969482422,208.80999755859375,3407938,2025-02-10
2025-02-17,194.17999267578125,194.17999267578125,204.89999389648438,183.63999938964844,191.8000030517578,1868150,2025-02-17
2025-02-24,192.38999938964844,192.38999938964844,197.0,186.27000427246094,192.5,1039893,2025-02-24
2025-03-03,188.91000366210938,188.91000366210938,195.67999267578125,184.24000549316406,192.39999389648438,1028978,2025-03-03
2025-03-10,172.11000061035156,172.11000061035156,191.25,171.10000610351562,189.89999389648438,730123,2025-03-10
2025-03-17,167.17999267578125,167.17999267578125,174.10000610351562,157.1999969482422,174.10000610351562,1297727,2025-03-17
2025-03-24,154.82000732421875,154.82000732421875,173.0800018310547,154.0,168.4499969482422,1919016,2025-03-24
2025-03-31,156.1300048828125,156.1300048828125,168.89999389648438,150.11000061035156,154.82000732421875,1638250,2025-03-31
2025-04-07,148.1199951171875,148.1199951171875,152.89999389648438,136.8000030517578,136.80999755859375,1301113,2025-04-07
2025-04-14,162.30999755859375,162.30999755859375,162.5,141.5500030517578,149.0,234013,2025-04-14
2025-04-21,151.80999755859375,151.80999755859375,166.99000549316406,150.6999969482422,166.0,261171,2025-04-21
2025-04-28,152.32000732421875,152.32000732421875,155.6999969482422,146.14999389648438,152.89999389648438,160166,2025-04-28
2025-05-05,140.61000061035156,140.61000061035156,152.9499969482422,137.91000366210938,152.9499969482422,292129,2025-05-05
2025-05-12,165.32000732421875,165.32000732421875,165.5800018310547,142.35000610351562,147.0,373652,2025-05-12
2025-05-19,152.1999969482422,152.1999969482422,167.0,152.1999969482422,167.0,158120,2025-05-19
2025-05-26,164.67999267578125,164.67999267578125,164.67999267578125,151.0,152.25,122980,2025-05-26
2025-06-02,163.33999633789062,163.33999633789062,165.5,156.0,162.25,208248,2025-06-02
2025-06-09,172.0,172.0,172.0,166.0,166.0,235344,2025-06-09
2025-06-16,174.25999450683594,174.25999450683594,178.94000244140625,168.5,175.44000244140625,219511,2025-06-16
2025-06-23,171.61000061035156,171.61000061035156,174.4199981689453,168.3000030517578,173.3000030517578,126382,2025-06-23
2025-06-30,174.0,174.0,174.6199951171875,167.85000610351562,168.60000610351562,116890,2025-06-30
2025-07-07,179.52999877929688,179.52999877929688,186.6999969482422,173.00999450683594,178.0,451491,2025-07-07
2025-07-14,188.94000244140625,188.94000244140625,188.94000244140625,176.39999389648438,178.64999389648438,210951,2025-07-14
