Date,Adj Close_GRPLTD.NS,Close_GRPLTD.NS,High_GRPLTD.NS,Low_GRPLTD.NS,Open_GRPLTD.NS,Volume_GRPLTD.NS,Date
2020-07-13,154.4845733642578,156.7624969482422,160.0,153.16250610351562,156.5124969482422,2032,2020-07-13
2020-07-20,176.01708984375,178.6125030517578,195.0,146.0500030517578,160.0,191484,2020-07-20
2020-07-27,172.4570770263672,175.0,187.4499969482422,156.72500610351562,187.4499969482422,42320,2020-07-27
2020-08-03,190.03538513183594,192.83749389648438,202.25,170.58749389648438,175.0,20164,2020-08-03
2020-08-10,178.6162567138672,181.25,199.5,170.41250610351562,199.3625030517578,41280,2020-08-10
2020-08-17,183.2972412109375,186.0,187.25,177.16250610351562,184.5124969482422,8920,2020-08-17
2020-08-24,178.59161376953125,181.22500610351562,192.5,175.875,188.9375,9556,2020-08-24
2020-08-31,182.94000244140625,185.6374969482422,210.75,168.78750610351562,183.7624969482422,23780,2020-08-31
2020-09-07,174.03384399414062,176.60000610351562,190.0,171.28750610351562,185.0,4540,2020-09-07
2020-09-14,173.6765899658203,176.2375030517578,183.7624969482422,167.75,172.7375030517578,7156,2020-09-14
2020-09-21,175.48739624023438,178.0749969482422,182.0,167.6125030517578,180.0124969482422,12016,2020-09-21
2020-09-28,173.343994140625,175.89999389648438,187.4875030517578,175.0,178.7624969482422,4868,2020-09-28
2020-10-05,170.23976135253906,172.75,180.4875030517578,166.47500610351562,179.5124969482422,16424,2020-10-05
2020-10-12,173.7012176513672,176.2624969482422,179.0,166.5,170.3000030517578,49312,2020-10-12
2020-10-19,181.72048950195312,184.39999389648438,186.0,172.5,175.7375030517578,17088,2020-10-19
2020-10-26,190.30638122558594,193.1125030517578,195.0,178.75,185.0,8492,2020-10-26
2020-11-02,200.88787841796875,203.85000610351562,209.5,187.9875030517578,187.9875030517578,26900,2020-11-02
2020-11-09,191.24258422851562,194.0625,209.5,189.5,201.25,30980,2020-11-09
2020-11-16,189.09918212890625,191.8874969482422,197.5,187.5,193.0625,15920,2020-11-16
2020-11-23,199.3357391357422,202.27499389648438,209.5,188.75,188.75,17804,2020-11-23
2020-11-30,209.30128479003906,212.3874969482422,214.0,193.75,202.27499389648438,16992,2020-11-30
2020-12-07,232.75547790527344,236.1875,255.0,217.4875030517578,217.4875030517578,58564,2020-12-07
2020-12-14,221.9892120361328,225.2624969482422,242.5,216.78750610351562,238.0124969482422,20556,2020-12-14
2020-12-21,214.48733520507812,217.64999389648438,231.5124969482422,212.5124969482422,231.5124969482422,17864,2020-12-21
2020-12-28,215.8300323486328,219.0124969482422,229.71249389648438,215.0,217.4875030517578,9960,2020-12-28
2021-01-04,225.59849548339844,228.9250030517578,237.1999969482422,219.03750610351562,223.5124969482422,49448,2021-01-04
2021-01-11,216.69232177734375,219.8874969482422,237.22500610351562,203.8125,232.5124969482422,30636,2021-01-11
2021-01-18,195.4677734375,198.35000610351562,223.7624969482422,193.8125,223.7624969482422,42984,2021-01-18
2021-01-25,179.9466552734375,182.60000610351562,205.0124969482422,180.02499389648438,205.0124969482422,12508,2021-01-25
2021-02-01,202.15664672851562,205.1374969482422,216.25,183.25,185.46249389648438,48564,2021-02-01
2021-02-08,204.9405975341797,207.96249389648438,214.16250610351562,197.0,206.8874969482422,61384,2021-02-08
2021-02-15,199.18792724609375,202.125,213.0,199.52499389648438,209.97500610351562,17340,2021-02-15
2021-02-22,193.15191650390625,196.0,205.47500610351562,195.0,204.97500610351562,10256,2021-02-22
2021-03-01,207.88467407226562,210.9499969482422,214.9875030517578,195.27499389648438,198.2375030517578,36260,2021-03-01
2021-03-08,213.7482147216797,216.89999389648438,219.4499969482422,209.0,214.9875030517578,24536,2021-03-08
2021-03-15,207.97091674804688,211.03750610351562,220.0124969482422,205.4375,215.8625030517578,42488,2021-03-15
2021-03-22,199.8900604248047,202.83749389648438,220.78750610351562,197.9499969482422,207.47500610351562,50196,2021-03-22
2021-03-29,224.9579315185547,228.27499389648438,239.9875030517578,196.3625030517578,202.83749389648438,59328,2021-03-29
