Date,Adj Close_BALAXI.NS,Close_BALAXI.NS,High_BALAXI.NS,Low_BALAXI.NS,Open_BALAXI.NS,Volume_BALAXI.NS,Date
2020-07-13,30.277198791503906,30.31999969482422,30.31999969482422,25.059999465942383,27.350000381469727,79555,2020-07-13
2020-07-20,38.62540054321289,38.68000030517578,38.68000030517578,31.75,31.829999923706055,91980,2020-07-20
2020-07-27,49.28033447265625,49.349998474121094,49.349998474121094,39.84000015258789,39.84000015258789,8240,2020-07-27
2020-08-03,62.871124267578125,62.959999084472656,62.959999084472656,51.810001373291016,51.810001373291016,1190570,2020-08-03
2020-08-10,77.55037689208984,77.66000366210938,80.33000183105469,65.93000030517578,66.0999984741211,266030,2020-08-10
2020-08-17,66.33622741699219,66.43000030517578,73.77999877929688,60.11000061035156,73.77999877929688,75520,2020-08-17
2020-08-24,84.05118560791016,84.16999816894531,84.16999816894531,69.75,69.75,104065,2020-08-24
2020-08-31,107.2384033203125,107.38999938964844,107.38999938964844,80.25,88.37000274658203,115745,2020-08-31
2020-09-07,136.8265838623047,137.02000427246094,137.02000427246094,112.75,112.75,59610,2020-09-07
2020-09-14,174.6131591796875,174.86000061035156,174.86000061035156,136.67999267578125,143.8699951171875,184615,2020-09-14
2020-09-21,148.8595733642578,149.07000732421875,192.1300048828125,149.07000732421875,183.60000610351562,79775,2020-09-21
2020-09-28,148.1106414794922,148.32000732421875,148.32000732421875,127.81999969482422,141.6199951171875,79450,2020-09-28
2020-10-05,188.91294860839844,189.17999267578125,189.27000427246094,147.9499969482422,155.72999572753906,184120,2020-10-05
2020-10-12,178.1182098388672,178.3699951171875,216.0399932861328,178.3699951171875,198.60000610351562,141845,2020-10-12
2020-10-19,179.40638732910156,179.66000366210938,206.39999389648438,169.4600067138672,169.4600067138672,157230,2020-10-19
2020-10-26,166.04527282714844,166.27999877929688,181.0,161.8000030517578,170.67999267578125,96435,2020-10-26
2020-11-02,153.93238830566406,154.14999389648438,165.88999938964844,136.35000610351562,165.88999938964844,88255,2020-11-02
2020-11-09,142.20896911621094,142.41000366210938,165.99000549316406,135.0500030517578,161.39999389648438,98480,2020-11-09
2020-11-16,135.2088623046875,135.39999389648438,147.99000549316406,124.0,141.75999450683594,95155,2020-11-16
2020-11-23,127.46981048583984,127.6500015258789,145.0,124.51000213623047,141.69000244140625,89530,2020-11-23
2020-11-30,129.54685974121094,129.72999572753906,131.2100067138672,118.0,127.6500015258789,84335,2020-11-30
2020-12-07,128.53829956054688,128.72000122070312,137.39999389648438,124.61000061035156,136.0,66170,2020-12-07
2020-12-14,122.88628387451172,123.05999755859375,133.77999877929688,120.12000274658203,133.77999877929688,50335,2020-12-14
2020-12-21,125.4526596069336,125.62999725341797,127.80000305175781,111.73999786376953,118.19999694824219,64655,2020-12-21
