Date,Adj Close_SIGNPOST.NS,Close_SIGNPOST.NS,High_SIGNPOST.NS,Low_SIGNPOST.NS,Open_SIGNPOST.NS,Volume_SIGNPOST.NS,Date
2024-02-12,359.16802978515625,359.95001220703125,359.95001220703125,310.0,311.0,314014,2024-02-12
2024-02-19,390.5496826171875,391.3999938964844,416.54998779296875,356.79998779296875,377.8999938964844,683402,2024-02-19
2024-02-26,436.7491149902344,437.70001220703125,449.79998779296875,351.8500061035156,392.0,693066,2024-02-26
2024-03-04,440.74041748046875,441.70001220703125,466.0,385.0,449.0,529033,2024-03-04
2024-03-11,389.0529479980469,389.8999938964844,447.1499938964844,355.25,415.0,501174,2024-03-11
2024-03-18,395.38916015625,396.25,408.79998779296875,367.6000061035156,385.0,188940,2024-03-18
2024-03-25,375.0833740234375,375.8999938964844,404.0,373.0,396.25,123182,2024-03-25
2024-04-01,345.797119140625,346.54998779296875,390.0,344.95001220703125,382.0,529923,2024-04-01
2024-04-08,334.72125244140625,335.45001220703125,353.0,325.1000061035156,350.0,561218,2024-04-08
2024-04-15,309.526123046875,310.20001220703125,336.0,304.95001220703125,334.0,408374,2024-04-15
2024-04-22,341.40667724609375,342.1499938964844,350.5,311.54998779296875,311.54998779296875,535952,2024-04-22
2024-04-29,303.3395690917969,304.0,349.0,298.0,344.0,628536,2024-04-29
2024-05-06,278.7929992675781,279.3999938964844,308.6499938964844,263.3500061035156,307.5,580112,2024-05-06
2024-05-13,294.25933837890625,294.8999938964844,296.0,268.3500061035156,275.3500061035156,240510,2024-05-13
2024-05-20,269.0143127441406,269.6000061035156,295.95001220703125,263.8999938964844,289.20001220703125,223463,2024-05-20
2024-05-27,267.76702880859375,268.3500061035156,298.0,258.54998779296875,274.0,700663,2024-05-27
2024-06-03,271.6086730957031,272.20001220703125,295.0,228.0,287.0,951446,2024-06-03
2024-06-10,294.0597839355469,294.70001220703125,317.3999938964844,269.95001220703125,275.0,687380,2024-06-10
2024-06-17,289.41986083984375,290.04998779296875,299.20001220703125,279.0,294.70001220703125,359555,2024-06-17
2024-06-24,282.23553466796875,282.8500061035156,300.0,274.29998779296875,290.0,290975,2024-06-24
2024-07-01,278.0446472167969,278.6499938964844,296.3500061035156,277.0,284.70001220703125,246082,2024-07-01
2024-07-08,278.59344482421875,279.20001220703125,285.8999938964844,261.70001220703125,280.0,318467,2024-07-08
2024-07-15,248.01004028320312,248.5500030517578,282.0,244.85000610351562,282.0,260327,2024-07-15
2024-07-22,250.55450439453125,251.10000610351562,258.95001220703125,239.14999389648438,245.0,239274,2024-07-22
2024-07-29,238.3111572265625,238.8300018310547,262.79998779296875,237.3000030517578,256.25,314436,2024-07-29
2024-08-05,239.30897521972656,239.8300018310547,247.0,225.22000122070312,238.4499969482422,234557,2024-08-05
2024-08-12,264.8433837890625,265.4200134277344,265.4200134277344,215.61000061035156,241.75,1068565,2024-08-12
2024-08-19,248.84820556640625,249.38999938964844,277.0,244.89999389648438,277.0,1099337,2024-08-19
2024-08-26,229.37060546875,229.8699951171875,253.97000122070312,225.0500030517578,250.0,487047,2024-08-26
2024-09-02,219.40232849121094,219.8800048828125,234.63999938964844,214.9600067138672,233.0,401368,2024-09-02
2024-09-09,226.89599609375,227.38999938964844,240.0,211.99000549316406,220.0,922296,2024-09-09
2024-09-16,229.64999389648438,230.14999389648438,234.99000549316406,225.00999450683594,227.6699981689453,289059,2024-09-16
2024-09-23,259.9640197753906,260.5299987792969,272.1600036621094,230.0,230.1999969482422,2154167,2024-09-23
2024-09-30,247.5500030517578,247.5500030517578,264.010009765625,243.0,260.5299987792969,387904,2024-09-30
2024-10-07,244.3000030517578,244.3000030517578,259.0,233.5,249.3000030517578,368075,2024-10-07
2024-10-14,234.1999969482422,234.1999969482422,246.0,232.5,242.0500030517578,230643,2024-10-14
2024-10-21,220.75,220.75,238.85000610351562,219.0,236.0,208104,2024-10-21
2024-10-28,236.72999572753906,236.72999572753906,253.9499969482422,219.5,222.39999389648438,145522,2024-10-28
2024-11-04,235.99000549316406,235.99000549316406,245.10000610351562,226.0,235.66000366210938,119400,2024-11-04
2024-11-11,260.8299865722656,260.8299865722656,268.0,222.5,237.52999877929688,637925,2024-11-11
2024-11-18,246.08999633789062,246.08999633789062,272.44000244140625,241.9499969482422,267.9599914550781,485459,2024-11-18
2024-11-25,312.3399963378906,312.3399963378906,324.45001220703125,245.89999389648438,250.0,2797777,2024-11-25
2024-12-02,334.6000061035156,334.6000061035156,339.0,299.6000061035156,309.5,993890,2024-12-02
2024-12-09,346.79998779296875,346.79998779296875,380.6000061035156,330.75,338.45001220703125,1782335,2024-12-09
2024-12-16,356.04998779296875,356.04998779296875,377.79998779296875,331.04998779296875,345.1000061035156,989928,2024-12-16
2024-12-23,341.20001220703125,341.20001220703125,400.0,339.0,358.95001220703125,1978580,2024-12-23
