Date,Adj Close_EQUIPPP.NS,Close_EQUIPPP.NS,High_EQUIPPP.NS,Low_EQUIPPP.NS,Open_EQUIPPP.NS,Volume_EQUIPPP.NS,Date
2022-10-17,51.79999923706055,51.79999923706055,51.79999923706055,51.79999923706055,51.79999923706055,0,2022-10-17
2022-10-24,49.25,49.25,49.25,49.25,49.25,1012,2022-10-24
2022-10-31,46.79999923706055,46.79999923706055,46.79999923706055,46.79999923706055,46.79999923706055,144,2022-10-31
2022-11-07,44.5,44.5,44.5,44.5,44.5,942,2022-11-07
2022-11-14,42.29999923706055,42.29999923706055,42.29999923706055,42.29999923706055,42.29999923706055,68,2022-11-14
2022-11-21,40.20000076293945,40.20000076293945,40.20000076293945,40.20000076293945,40.20000076293945,347,2022-11-21
2022-11-28,38.25,38.25,40.099998474121094,36.400001525878906,38.20000076293945,57034,2022-11-28
2022-12-05,43.45000076293945,43.45000076293945,43.45000076293945,37.04999923706055,37.04999923706055,24321,2022-12-05
2022-12-12,38.150001525878906,38.150001525878906,43.45000076293945,37.04999923706055,43.45000076293945,25695,2022-12-12
2022-12-19,37.29999923706055,37.29999923706055,42.849998474121094,37.04999923706055,37.04999923706055,31330,2022-12-19
2022-12-26,45.29999923706055,45.29999923706055,45.45000076293945,35.45000076293945,36.29999923706055,22861,2022-12-26
2023-01-02,54.5,54.5,54.95000076293945,45.95000076293945,46.0,25491,2023-01-02
2023-01-09,53.54999923706055,53.54999923706055,57.0,52.0,57.0,25168,2023-01-09
2023-01-16,52.45000076293945,52.45000076293945,56.20000076293945,51.54999923706055,55.599998474121094,18381,2023-01-16
2023-01-23,49.79999923706055,49.79999923706055,54.400001525878906,48.95000076293945,52.45000076293945,26660,2023-01-23
2023-01-30,43.29999923706055,43.29999923706055,50.79999923706055,42.650001525878906,50.79999923706055,10836,2023-01-30
2023-02-06,42.79999923706055,42.79999923706055,44.95000076293945,41.150001525878906,44.95000076293945,12016,2023-02-06
2023-02-13,39.349998474121094,39.349998474121094,41.900001525878906,35.70000076293945,40.79999923706055,27918,2023-02-13
2023-02-20,36.95000076293945,36.95000076293945,40.79999923706055,35.79999923706055,40.79999923706055,14696,2023-02-20
2023-02-27,36.95000076293945,36.95000076293945,39.150001525878906,35.45000076293945,37.70000076293945,46379,2023-02-27
2023-03-06,37.099998474121094,37.099998474121094,39.5,34.599998474121094,38.75,36375,2023-03-06
2023-03-13,35.150001525878906,35.150001525878906,37.20000076293945,33.04999923706055,37.099998474121094,36246,2023-03-13
2023-03-20,31.350000381469727,31.350000381469727,34.900001525878906,31.350000381469727,34.0,30237,2023-03-20
2023-03-27,27.649999618530273,27.649999618530273,32.0,27.5,30.0,6295,2023-03-27
2023-04-03,26.549999237060547,26.549999237060547,28.399999618530273,26.25,27.649999618530273,28603,2023-04-03
2023-04-10,32.150001525878906,32.150001525878906,32.150001525878906,26.5,26.549999237060547,6867,2023-04-10
2023-04-17,35.400001525878906,35.400001525878906,35.400001525878906,33.0,33.75,13985,2023-04-17
2023-04-24,33.650001525878906,33.650001525878906,33.900001525878906,33.650001525878906,33.900001525878906,5876,2023-04-24
2023-05-01,32.04999923706055,32.04999923706055,35.20000076293945,32.0,33.650001525878906,792,2023-05-01
2023-05-08,31.100000381469727,31.100000381469727,33.0,30.450000762939453,31.0,4393,2023-05-08
