Date,Adj Close_CAPLIPOINT.NS,Close_CAPLIPOINT.NS,High_CAPLIPOINT.NS,Low_CAPLIPOINT.NS,Open_CAPLIPOINT.NS,Volume_CAPLIPOINT.NS,Date
2020-07-13,378.6971130371094,386.25,392.70001220703125,356.8500061035156,385.0,1623440,2020-07-13
2020-07-20,389.23687744140625,397.0,407.79998779296875,367.5,388.95001220703125,2319689,2020-07-20
2020-07-27,423.5034484863281,431.95001220703125,441.8999938964844,381.1499938964844,400.0,2644748,2020-07-27
2020-08-03,574.099853515625,585.5499877929688,686.0,435.0,435.79998779296875,13840361,2020-08-03
2020-08-10,536.597900390625,547.2999877929688,621.5499877929688,508.1499938964844,600.0,7453746,2020-08-10
2020-08-17,525.6168212890625,536.0999755859375,564.0,522.7999877929688,555.0,2057475,2020-08-17
2020-08-24,536.0096435546875,546.7000122070312,568.5499877929688,520.5499877929688,540.7999877929688,2572179,2020-08-24
2020-08-31,522.3323974609375,532.75,552.7000122070312,490.04998779296875,545.0,1528992,2020-08-31
2020-09-07,527.3326416015625,537.8499755859375,546.0,512.5,525.0999755859375,1042313,2020-09-07
2020-09-14,582.1885986328125,593.7999877929688,604.7999877929688,540.9500122070312,544.9000244140625,4005257,2020-09-14
2020-09-21,541.4510498046875,552.25,615.0,525.0499877929688,602.0,1728388,2020-09-21
2020-09-28,545.9367065429688,556.4500122070312,581.0,549.0499877929688,560.0,751636,2020-09-28
2020-10-05,557.6609497070312,568.4000244140625,587.4000244140625,551.9500122070312,560.0499877929688,987105,2020-10-05
2020-10-12,528.8655395507812,539.0499877929688,573.5999755859375,509.0,569.9500122070312,558318,2020-10-12
2020-10-19,521.0166625976562,531.0499877929688,548.0,520.0,545.0,567424,2020-10-19
2020-10-26,488.05145263671875,497.45001220703125,536.7000122070312,488.0,530.0499877929688,475910,2020-10-26
2020-11-02,476.6705627441406,485.8500061035156,508.29998779296875,481.0,502.3500061035156,754913,2020-11-02
2020-11-09,476.0819396972656,485.25,493.0,437.75,488.1000061035156,1277646,2020-11-09
2020-11-16,464.1614990234375,473.1000061035156,489.5,464.04998779296875,485.5,452532,2020-11-16
2020-11-23,480.3987731933594,489.6499938964844,507.5,475.0,476.0,1004839,2020-11-23
2020-11-30,483.14593505859375,492.45001220703125,496.25,476.0,489.6499938964844,533816,2020-11-30
2020-12-07,491.0437927246094,500.5,531.75,492.6000061035156,496.0,1473496,2020-12-07
2020-12-14,493.6436767578125,503.1499938964844,522.4000244140625,496.8999938964844,502.8999938964844,788521,2020-12-14
2020-12-21,497.028564453125,506.6000061035156,515.7999877929688,450.1499938964844,504.3999938964844,913506,2020-12-21
2020-12-28,495.5569152832031,505.1000061035156,514.7999877929688,497.1000061035156,509.5,628617,2020-12-28
2021-01-04,490.504150390625,499.95001220703125,515.0999755859375,494.0,506.45001220703125,578657,2021-01-04
2021-01-11,478.33843994140625,487.54998779296875,504.54998779296875,475.0,500.0,810754,2021-01-11
2021-01-18,469.99908447265625,479.04998779296875,507.6000061035156,477.04998779296875,487.54998779296875,1087885,2021-01-18
2021-01-25,450.8184509277344,459.5,486.54998779296875,458.0,483.0,437468,2021-01-25
2021-02-01,457.8333435058594,466.6499938964844,494.95001220703125,452.0,461.70001220703125,1150253,2021-02-01
2021-02-08,459.4521484375,468.29998779296875,472.0,456.1000061035156,469.95001220703125,546335,2021-02-08
2021-02-15,477.749755859375,486.95001220703125,501.20001220703125,462.5,473.5,970652,2021-02-15
2021-02-22,455.77301025390625,464.54998779296875,498.79998779296875,460.6499938964844,489.5,641289,2021-02-22
2021-03-01,450.5731506347656,459.25,471.8999938964844,457.1000061035156,468.70001220703125,543581,2021-03-01
2021-03-08,450.1316223144531,458.79998779296875,467.79998779296875,454.6000061035156,465.95001220703125,305493,2021-03-08
2021-03-15,422.7096862792969,430.8500061035156,461.54998779296875,412.3999938964844,459.95001220703125,670786,2021-03-15
2021-03-22,407.1591796875,415.0,437.70001220703125,411.6499938964844,426.04998779296875,477864,2021-03-22
2021-03-29,443.80352783203125,452.3500061035156,464.0,401.0,415.0,1370769,2021-03-29
2021-04-05,464.55389404296875,473.5,485.0,430.3999938964844,452.70001220703125,1391037,2021-04-05
