Date,Adj Close_SURANAT&P.NS,Close_SURANAT&P.NS,High_SURANAT&P.NS,Low_SURANAT&P.NS,Open_SURANAT&P.NS,Volume_SURANAT&P.NS,Date
2020-07-13,3.799999952316284,3.799999952316284,4.199999809265137,3.6500000953674316,3.950000047683716,342789,2020-07-13
2020-07-20,3.6500000953674316,3.6500000953674316,3.950000047683716,3.5,3.9000000953674316,170751,2020-07-20
2020-07-27,3.700000047683716,3.700000047683716,3.75,3.5,3.549999952316284,61453,2020-07-27
2020-08-03,3.5999999046325684,3.5999999046325684,3.9000000953674316,3.450000047683716,3.549999952316284,436647,2020-08-03
2020-08-10,3.549999952316284,3.549999952316284,3.950000047683716,3.3499999046325684,3.950000047683716,348086,2020-08-10
2020-08-17,4.0,4.0,4.25,3.4000000953674316,3.6500000953674316,491878,2020-08-17
2020-08-24,3.9000000953674316,3.9000000953674316,4.25,3.5999999046325684,3.75,297712,2020-08-24
2020-08-31,4.0,4.0,4.150000095367432,3.5,4.150000095367432,291995,2020-08-31
2020-09-07,3.75,3.75,4.400000095367432,3.6500000953674316,4.349999904632568,162357,2020-09-07
2020-09-14,3.8499999046325684,3.8499999046325684,4.099999904632568,3.5999999046325684,3.75,221021,2020-09-14
2020-09-21,4.0,4.0,4.099999904632568,3.5999999046325684,3.950000047683716,165966,2020-09-21
2020-09-28,3.8499999046325684,3.8499999046325684,4.0,3.6500000953674316,4.0,106891,2020-09-28
2020-10-05,3.8499999046325684,3.8499999046325684,3.9000000953674316,3.700000047683716,3.8499999046325684,65584,2020-10-05
2020-10-12,3.799999952316284,3.799999952316284,3.9000000953674316,3.549999952316284,3.8499999046325684,136070,2020-10-12
2020-10-19,3.75,3.75,3.9000000953674316,3.75,3.8499999046325684,81773,2020-10-19
2020-10-26,3.8499999046325684,3.8499999046325684,4.0,3.6500000953674316,3.9000000953674316,59112,2020-10-26
2020-11-02,3.799999952316284,3.799999952316284,3.9000000953674316,3.700000047683716,3.700000047683716,59570,2020-11-02
2020-11-09,3.8499999046325684,3.8499999046325684,4.25,3.75,3.9000000953674316,96088,2020-11-09
2020-11-16,3.8499999046325684,3.8499999046325684,4.300000190734863,3.75,3.799999952316284,42712,2020-11-16
