Date,Adj Close_ADFFOODS.NS,Close_ADFFOODS.NS,High_ADFFOODS.NS,Low_ADFFOODS.NS,Open_ADFFOODS.NS,Volume_ADFFOODS.NS,Date
2020-07-13,56.912044525146484,58.09000015258789,59.599998474121094,56.400001525878906,58.9900016784668,148915,2020-07-13
2020-07-20,63.7504997253418,65.06999969482422,65.0999984741211,58.0099983215332,58.56999969482422,1487285,2020-07-20
2020-07-27,65.88629913330078,67.25,70.4000015258789,63.689998626708984,66.5999984741211,2981115,2020-07-27
2020-08-03,74.24332427978516,75.77999877929688,76.19999694824219,66.5999984741211,68.30000305175781,3224075,2020-08-03
2020-08-10,79.28890228271484,80.93000030517578,83.52999877929688,76.0,78.76000213623047,3236855,2020-08-10
2020-08-17,72.31327056884766,73.80999755859375,80.52999877929688,73.0,79.80000305175781,2130940,2020-08-17
2020-08-24,70.32443237304688,71.77999877929688,77.19000244140625,70.61000061035156,75.0,1189900,2020-08-24
2020-08-31,71.68624877929688,73.16999816894531,76.80000305175781,66.83999633789062,72.0,9923955,2020-08-31
2020-09-07,71.0592269897461,72.52999877929688,76.5,67.5999984741211,73.80000305175781,3087280,2020-09-07
2020-09-14,85.78445434570312,87.55999755859375,87.66999816894531,72.5999984741211,72.5999984741211,6088690,2020-09-14
2020-09-21,81.90475463867188,83.5999984741211,91.93000030517578,79.0,89.0,3596585,2020-09-21
2020-09-28,84.4814224243164,86.2300033569336,87.63999938964844,81.69999694824219,85.19999694824219,1345755,2020-09-28
2020-10-05,81.96354675292969,83.66000366210938,88.77999877929688,81.20999908447266,85.63999938964844,1987895,2020-10-05
2020-10-12,81.01321411132812,82.69000244140625,84.54000091552734,79.5999984741211,84.54000091552734,953425,2020-10-12
2020-10-19,83.10981750488281,84.83000183105469,89.4000015258789,80.83999633789062,84.38999938964844,1946945,2020-10-19
2020-10-26,81.1209716796875,82.80000305175781,85.95999908447266,79.23999786376953,85.5999984741211,531565,2020-10-26
2020-11-02,81.65001678466797,83.33999633789062,83.9800033569336,80.88999938964844,83.9800033569336,396630,2020-11-02
2020-11-09,91.95669555664062,93.86000061035156,95.94999694824219,84.01000213623047,84.94000244140625,2741425,2020-11-09
2020-11-16,86.19593811035156,87.9800033569336,95.72000122070312,86.69000244140625,92.31999969482422,1073865,2020-11-16
2020-11-23,90.0952377319336,91.95999908447266,94.4000015258789,86.23999786376953,88.58000183105469,1383240,2020-11-23
2020-11-30,103.11573028564453,105.25,105.25,91.95999908447266,91.95999908447266,10360525,2020-11-30
2020-12-07,110.97310638427734,113.2699966430664,126.30000305175781,108.19999694824219,110.0,7926145,2020-12-07
2020-12-14,113.0599136352539,115.4000015258789,122.5999984741211,110.22000122070312,113.2699966430664,2223490,2020-12-14
2020-12-21,112.47207641601562,114.80000305175781,119.1500015258789,104.12999725341797,115.4000015258789,1443015,2020-12-21
2020-12-28,125.58074188232422,128.17999267578125,133.58999633789062,115.0199966430664,116.5999984741211,3639840,2020-12-28
2021-01-04,123.83686065673828,126.4000015258789,133.0,123.63999938964844,129.39999389648438,1508150,2021-01-04
