Date,Adj Close_CIPLA.NS,Close_CIPLA.NS,High_CIPLA.NS,Low_CIPLA.NS,Open_CIPLA.NS,Volume_CIPLA.NS,Date
2020-07-13,665.0701904296875,689.0999755859375,696.6500244140625,633.0999755859375,634.4000244140625,35596143,2020-07-13
2020-07-20,642.8240356445312,666.0499877929688,690.8499755859375,657.5,689.0,25285619,2020-07-20
2020-07-27,695.0375366210938,720.1500244140625,724.0,644.25,673.9500122070312,42404834,2020-07-27
2020-08-03,703.2411499023438,728.6500244140625,739.7000122070312,701.0,724.0,40558244,2020-08-03
2020-08-10,744.8863525390625,771.7999877929688,814.5,751.3499755859375,760.0,109615736,2020-08-10
2020-08-17,734.2216796875,760.75,781.0,756.6500244140625,779.0,30830985,2020-08-17
2020-08-24,722.495361328125,748.5999755859375,771.0,744.2000122070312,763.0,27291905,2020-08-24
2020-08-31,699.332275390625,724.5999755859375,755.7000122070312,705.2000122070312,752.0,30526477,2020-08-31
2020-09-07,700.63525390625,725.9500122070312,735.9000244140625,704.4000244140625,728.0,25626141,2020-09-07
2020-09-14,778.135009765625,806.25,819.2999877929688,717.75,729.0,67059216,2020-09-14
2020-09-21,743.2456665039062,770.0999755859375,811.9500122070312,730.0,806.25,53785484,2020-09-21
2020-09-28,746.0444946289062,773.0,794.9000244140625,755.5999755859375,772.0999755859375,36059574,2020-09-28
2020-10-05,775.1431884765625,803.1500244140625,825.0,762.0499877929688,776.0,41367231,2020-10-05
2020-10-12,755.0684204101562,782.3499755859375,829.0499877929688,758.4000244140625,805.0,44643134,2020-10-12
2020-10-19,731.13330078125,757.5499877929688,784.0999755859375,744.0,783.0,34258643,2020-10-19
2020-10-26,728.1896362304688,754.5,780.0,742.2999877929688,761.2000122070312,28929622,2020-10-26
2020-11-02,762.4034423828125,789.9500122070312,802.0,744.4000244140625,757.5,32113673,2020-11-02
2020-11-09,719.7448120117188,745.75,804.0,706.5,795.0999755859375,80640306,2020-11-09
2020-11-16,714.0988159179688,739.9000244140625,752.0,732.25,744.6500244140625,25703023,2020-11-16
2020-11-23,719.5999755859375,745.5999755859375,758.0499877929688,726.5,741.6500244140625,39088797,2020-11-23
2020-11-30,740.2055053710938,766.9500122070312,770.5999755859375,745.5999755859375,745.5999755859375,19414109,2020-11-30
2020-12-07,729.4925537109375,755.8499755859375,782.5,753.0,766.9500122070312,21848420,2020-12-07
2020-12-14,765.7813720703125,793.4500122070312,798.0,776.3499755859375,778.2999877929688,42325005,2020-12-14
2020-12-21,804.1453247070312,833.2000122070312,834.9000244140625,760.0,793.0,36419773,2020-12-21
2020-12-28,797.7753295898438,826.5999755859375,839.0,816.0499877929688,837.5999755859375,18155431,2020-12-28
2021-01-04,809.4534912109375,838.7000122070312,846.2000122070312,815.25,831.0,19318065,2021-01-04
2021-01-11,794.9765625,823.7000122070312,864.5999755859375,821.0,839.0,20057455,2021-01-11
2021-01-18,780.1135864257812,808.2999877929688,839.2999877929688,796.2000122070312,822.0,17799808,2021-01-18
2021-01-25,797.0999145507812,825.9000244140625,857.0,808.25,813.0,29790039,2021-01-25
2021-02-01,818.1395874023438,847.7000122070312,878.9000244140625,779.9500122070312,815.0,50038600,2021-02-01
2021-02-08,818.9600219726562,848.5499877929688,874.9000244140625,839.0,852.0,21931272,2021-02-08
2021-02-15,779.1967163085938,807.3499755859375,856.5999755859375,799.0,850.0999755859375,15828371,2021-02-15
2021-02-22,759.6045532226562,787.0499877929688,820.0,776.25,811.4000244140625,21969172,2021-02-22
2021-03-01,777.0734252929688,805.1500244140625,818.1500244140625,782.0,795.0,17762162,2021-03-01
2021-03-08,777.8455200195312,805.9500122070312,819.0,792.0999755859375,807.9500122070312,10294495,2021-03-08
2021-03-15,734.125244140625,760.6500244140625,808.9000244140625,738.0999755859375,807.9000244140625,17725007,2021-03-15
2021-03-22,759.9906616210938,787.4500122070312,802.2999877929688,758.7000122070312,762.0,20812649,2021-03-22
2021-03-29,789.7648315429688,818.2999877929688,824.0,787.4500122070312,787.4500122070312,9440288,2021-03-29
2021-04-05,852.2569580078125,883.0499877929688,892.2999877929688,806.0999755859375,825.0,23543483,2021-04-05
2021-04-12,905.3389282226562,938.0499877929688,944.25,878.2999877929688,890.0,68773331,2021-04-12
2021-04-19,902.9744262695312,935.5999755859375,966.3499755859375,922.75,945.25,44505987,2021-04-19
2021-04-26,878.6049194335938,910.3499755859375,940.0,900.75,935.5999755859375,34588583,2021-04-26
2021-05-03,852.1121826171875,882.9000244140625,924.4000244140625,869.0,919.0999755859375,48621206,2021-05-03
2021-05-10,872.5245971679688,904.0499877929688,921.0,877.5,892.5,34516479,2021-05-10
