Date,Adj Close_SESHAPAPER.NS,Close_SESHAPAPER.NS,High_SESHAPAPER.NS,Low_SESHAPAPER.NS,Open_SESHAPAPER.NS,Volume_SESHAPAPER.NS,Date
2020-07-13,142.9681854248047,153.3000030517578,159.0,149.0500030517578,149.0500030517578,229149,2020-07-13
2020-07-20,138.95799255371094,149.0,156.0,148.5,155.0,325680,2020-07-20
2020-07-27,138.35182189941406,148.35000610351562,154.0,143.5,151.35000610351562,343648,2020-07-27
2020-08-03,137.69895935058594,147.64999389648438,152.3000030517578,146.10000610351562,147.9499969482422,221843,2020-08-03
2020-08-10,138.58497619628906,148.60000610351562,160.0,145.0,147.64999389648438,431748,2020-08-10
2020-08-17,146.9317626953125,157.5500030517578,162.0,148.5,151.35000610351562,473639,2020-08-17
2020-08-24,142.5485382080078,152.85000610351562,159.89999389648438,150.0500030517578,158.5,238574,2020-08-24
2020-08-31,139.51756286621094,149.60000610351562,156.64999389648438,146.10000610351562,156.64999389648438,112651,2020-08-31
2020-09-07,135.0876922607422,144.85000610351562,153.89999389648438,138.4499969482422,153.89999389648438,137262,2020-09-07
2020-09-14,132.94268798828125,142.5500030517578,148.5500030517578,141.10000610351562,148.39999389648438,96723,2020-09-14
2020-09-21,132.05673217773438,141.60000610351562,143.3000030517578,132.0,143.10000610351562,68114,2020-09-21
2020-09-28,127.6268539428711,136.85000610351562,141.14999389648438,135.1999969482422,140.5,37488,2020-09-28
2020-10-05,126.55435180664062,135.6999969482422,139.9499969482422,130.4499969482422,139.9499969482422,244942,2020-10-05
2020-10-12,122.26438903808594,131.10000610351562,144.4499969482422,128.39999389648438,134.6999969482422,168516,2020-10-12
2020-10-19,121.09862518310547,129.85000610351562,137.60000610351562,125.4000015258789,131.10000610351562,66069,2020-10-19
2020-10-26,119.93287658691406,128.60000610351562,131.89999389648438,127.55000305175781,130.85000610351562,42201,2020-10-26
2020-11-02,121.09862518310547,129.85000610351562,130.75,125.3499984741211,125.3499984741211,40195,2020-11-02
2020-11-09,123.19699096679688,132.10000610351562,136.89999389648438,126.8499984741211,129.0,316272,2020-11-09
2020-11-16,126.36783599853516,135.5,139.39999389648438,129.0500030517578,129.0500030517578,324715,2020-11-16
2020-11-23,132.3831329345703,141.9499969482422,145.0,133.39999389648438,137.64999389648438,283215,2020-11-23
2020-11-30,132.3831329345703,141.9499969482422,154.39999389648438,140.0,141.9499969482422,584233,2020-11-30
2020-12-07,139.84397888183594,149.9499969482422,171.0,141.0,143.8000030517578,1737513,2020-12-07
2020-12-14,146.32557678222656,156.89999389648438,165.39999389648438,147.64999389648438,151.8000030517578,1118826,2020-12-14
2020-12-21,138.91136169433594,148.9499969482422,161.64999389648438,140.0500030517578,158.5,261062,2020-12-21
2020-12-28,143.80752563476562,154.1999969482422,155.0,146.0,149.6999969482422,181094,2020-12-28
2021-01-04,147.02500915527344,157.64999389648438,161.8000030517578,154.1999969482422,154.1999969482422,398508,2021-01-04
2021-01-11,140.03048706054688,150.14999389648438,158.4499969482422,141.60000610351562,158.4499969482422,190829,2021-01-11
2021-01-18,136.71974182128906,146.60000610351562,153.85000610351562,145.10000610351562,150.89999389648438,141777,2021-01-18
2021-01-25,134.20169067382812,143.89999389648438,148.4499969482422,142.0,147.3000030517578,83688,2021-01-25
2021-02-01,136.34669494628906,146.1999969482422,149.89999389648438,141.10000610351562,144.0500030517578,238988,2021-02-01
2021-02-08,131.82357788085938,141.35000610351562,143.1999969482422,136.6999969482422,142.5,266321,2021-02-08
2021-02-15,137.0927734375,147.0,156.14999389648438,138.75,139.8000030517578,494158,2021-02-15
2021-02-22,146.5587158203125,157.14999389648438,161.6999969482422,144.25,149.0,567650,2021-02-22
2021-03-01,148.56382751464844,159.3000030517578,171.8000030517578,155.89999389648438,160.75,775027,2021-03-01
2021-03-08,148.56382751464844,159.3000030517578,164.5,154.10000610351562,160.8000030517578,134897,2021-03-08
2021-03-15,148.05088806152344,158.75,169.60000610351562,152.0,159.3000030517578,505058,2021-03-15
2021-03-22,150.3357696533203,161.1999969482422,165.6999969482422,153.1999969482422,157.39999389648438,212173,2021-03-22
2021-03-29,151.26837158203125,162.1999969482422,164.6999969482422,159.60000610351562,161.1999969482422,52339,2021-03-29
2021-04-05,152.6206512451172,163.64999389648438,165.5,156.64999389648438,159.89999389648438,114172,2021-04-05
2021-04-12,150.4290313720703,161.3000030517578,166.0,151.85000610351562,162.0,134694,2021-04-12
2021-04-19,138.16526794433594,148.14999389648438,160.0,145.64999389648438,155.6999969482422,83188,2021-04-19
2021-04-26,142.6417694091797,152.9499969482422,159.0,148.0,148.89999389648438,158236,2021-04-26
2021-05-03,151.3616180419922,162.3000030517578,179.89999389648438,151.0,153.75,570692,2021-05-03
2021-05-10,143.29458618164062,153.64999389648438,165.4499969482422,152.9499969482422,164.1999969482422,209070,2021-05-10
2021-05-17,151.1284637451172,162.0500030517578,167.9499969482422,153.0,155.1999969482422,425321,2021-05-17
2021-05-24,162.5062255859375,174.25,193.0,160.64999389648438,165.0,2310158,2021-05-24
2021-05-31,161.94667053222656,173.64999389648438,179.1999969482422,166.14999389648438,174.9499969482422,441698,2021-05-31
2021-06-07,159.28875732421875,170.8000030517578,182.0,170.0,174.5,320646,2021-06-07
2021-06-14,160.17474365234375,171.75,185.0,165.0,172.85000610351562,584679,2021-06-14
2021-06-21,171.45924377441406,183.85000610351562,195.0,169.75,171.75,1291577,2021-06-21
2021-06-28,179.47964477539062,192.4499969482422,206.8000030517578,183.0,187.0,1350262,2021-06-28
2021-07-05,202.4217071533203,217.0500030517578,224.3000030517578,192.35000610351562,195.5,2547985,2021-07-05
2021-07-12,201.9087677001953,216.5,228.8000030517578,211.0,216.8000030517578,1075013,2021-07-12
2021-07-19,203.22662353515625,215.35000610351562,223.0,201.0,213.0,984099,2021-07-19
2021-07-26,191.66624450683594,203.10000610351562,213.0,190.25,203.14999389648438,1372179,2021-07-26
2021-08-02,190.0619354248047,201.39999389648438,212.39999389648438,192.39999389648438,207.5,971693,2021-08-02
2021-08-09,182.41795349121094,193.3000030517578,206.8000030517578,181.5,198.35000610351562,717456,2021-08-09
2021-08-16,166.6109161376953,176.5500030517578,195.5500030517578,175.0500030517578,193.85000610351562,207490,2021-08-16
2021-08-23,162.12831115722656,171.8000030517578,183.89999389648438,168.0,177.14999389648438,339169,2021-08-23
2021-08-30,165.85595703125,175.75,185.0,171.60000610351562,174.0,300462,2021-08-30
2021-09-06,166.37498474121094,176.3000030517578,181.3000030517578,174.10000610351562,176.64999389648438,151801,2021-09-06
2021-09-13,165.525634765625,175.39999389648438,181.14999389648438,174.3000030517578,176.8000030517578,101831,2021-09-13
2021-09-20,163.40228271484375,173.14999389648438,181.5,170.5,174.0,186196,2021-09-20
2021-09-27,171.093505859375,181.3000030517578,190.39999389648438,171.60000610351562,173.14999389648438,584275,2021-09-27
2021-10-04,175.104248046875,185.5500030517578,193.8000030517578,181.5,182.25,484808,2021-10-04
2021-10-11,175.29296875,185.75,194.89999389648438,182.0,186.5,310013,2021-10-11
2021-10-18,165.4312744140625,175.3000030517578,186.64999389648438,170.3000030517578,185.1999969482422,243109,2021-10-18
2021-10-25,164.9122314453125,174.75,181.60000610351562,169.10000610351562,180.0,218406,2021-10-25
2021-11-01,162.6945343017578,172.39999389648438,177.75,169.5,175.0,88540,2021-11-01
2021-11-08,164.15725708007812,173.9499969482422,180.25,173.0,173.5500030517578,140165,2021-11-08
2021-11-15,159.6274871826172,169.14999389648438,177.25,166.0500030517578,174.85000610351562,106770,2021-11-15
2021-11-22,153.2574920654297,162.39999389648438,170.0,161.0,168.1999969482422,113651,2021-11-22
2021-11-29,148.4446258544922,157.3000030517578,163.25,155.0,160.5,144940,2021-11-29
2021-12-06,150.66229248046875,159.64999389648438,162.0,155.60000610351562,156.85000610351562,151680,2021-12-06
2021-12-13,144.76416015625,153.39999389648438,163.35000610351562,153.0,160.0,118017,2021-12-13
2021-12-20,139.95127868652344,148.3000030517578,153.39999389648438,141.0500030517578,152.0,99176,2021-12-20
2021-12-27,140.94216918945312,149.35000610351562,152.0,145.1999969482422,145.1999969482422,103737,2021-12-27
2022-01-03,152.1250457763672,161.1999969482422,173.1999969482422,147.0,151.0,1629326,2022-01-03
2022-01-10,153.58778381347656,162.75,166.60000610351562,159.8000030517578,163.0,303856,2022-01-10
2022-01-17,153.87091064453125,163.0500030517578,171.9499969482422,161.14999389648438,164.5,435585,2022-01-17
2022-01-24,141.55557250976562,150.0,158.1999969482422,148.0,155.0,279669,2022-01-24
2022-01-31,139.0547637939453,147.35000610351562,153.3000030517578,146.3000030517578,150.8000030517578,555277,2022-01-31
2022-02-07,135.84616088867188,143.9499969482422,149.4499969482422,143.3000030517578,148.10000610351562,227556,2022-02-07
