Date,Adj Close_LATENTVIEW.NS,Close_LATENTVIEW.NS,High_LATENTVIEW.NS,Low_LATENTVIEW.NS,Open_LATENTVIEW.NS,Volume_LATENTVIEW.NS,Date
2022-03-21,414.29998779296875,414.29998779296875,441.25,412.95001220703125,435.0,2271208,2022-03-21
2022-03-28,442.54998779296875,442.54998779296875,450.0,398.1000061035156,410.0,6330414,2022-03-28
2022-04-04,506.70001220703125,506.70001220703125,546.5499877929688,440.0,449.95001220703125,16417061,2022-04-04
2022-04-11,496.0,496.0,521.9500122070312,488.0,509.0,2817691,2022-04-11
2022-04-18,462.45001220703125,462.45001220703125,489.8999938964844,453.75,489.8999938964844,2491707,2022-04-18
2022-04-25,442.20001220703125,442.20001220703125,465.79998779296875,437.1499938964844,455.0,2194306,2022-04-25
2022-05-02,410.6499938964844,410.6499938964844,445.6499938964844,405.0,434.8999938964844,1286447,2022-05-02
2022-05-09,388.5,388.5,417.8500061035156,376.0,410.6499938964844,2314327,2022-05-09
2022-05-16,407.0,407.0,430.0,380.75,391.8999938964844,2791462,2022-05-16
2022-05-23,391.0,391.0,423.0,366.1000061035156,409.0,2630385,2022-05-23
2022-05-30,390.1000061035156,390.1000061035156,416.0,388.0,397.0,3752318,2022-05-30
2022-06-06,365.1499938964844,365.1499938964844,389.70001220703125,363.1000061035156,389.70001220703125,2185935,2022-06-06
2022-06-13,326.5,326.5,359.8999938964844,324.54998779296875,357.0,2149507,2022-06-13
2022-06-20,334.54998779296875,334.54998779296875,342.75,305.25,329.6499938964844,2880784,2022-06-20
2022-06-27,334.5,334.5,346.3500061035156,330.29998779296875,340.95001220703125,1489167,2022-06-27
2022-07-04,365.5,365.5,368.0,335.1499938964844,336.0,1902825,2022-07-04
2022-07-11,351.20001220703125,351.20001220703125,363.29998779296875,308.75,360.0,3018781,2022-07-11
2022-07-18,372.04998779296875,372.04998779296875,378.79998779296875,348.6499938964844,355.8500061035156,2895030,2022-07-18
2022-07-25,372.0,372.0,389.8999938964844,351.0,372.95001220703125,2662191,2022-07-25
2022-08-01,370.1499938964844,370.1499938964844,384.29998779296875,364.20001220703125,373.5,1733860,2022-08-01
2022-08-08,358.3999938964844,358.3999938964844,372.8999938964844,357.0,371.1499938964844,844167,2022-08-08
2022-08-15,389.5,389.5,403.6000061035156,358.3999938964844,358.3999938964844,4528914,2022-08-15
2022-08-22,373.8500061035156,373.8500061035156,387.79998779296875,367.3999938964844,387.79998779296875,1482807,2022-08-22
2022-08-29,388.54998779296875,388.54998779296875,396.04998779296875,350.0,350.0,2613815,2022-08-29
2022-09-05,403.29998779296875,403.29998779296875,408.79998779296875,375.95001220703125,390.20001220703125,2699600,2022-09-05
2022-09-12,386.6000061035156,386.6000061035156,421.45001220703125,378.79998779296875,406.3500061035156,3843911,2022-09-12
2022-09-19,381.54998779296875,381.54998779296875,400.0,378.0,386.0,1679967,2022-09-19
2022-09-26,357.29998779296875,357.29998779296875,378.0,350.0,378.0,1461246,2022-09-26
2022-10-03,369.3999938964844,369.3999938964844,373.1499938964844,350.04998779296875,357.0,784914,2022-10-03
2022-10-10,362.6000061035156,362.6000061035156,373.0,351.29998779296875,363.5,767984,2022-10-10
2022-10-17,355.3999938964844,355.3999938964844,363.70001220703125,350.70001220703125,358.5,784717,2022-10-17
2022-10-24,400.1499938964844,400.1499938964844,407.8999938964844,358.45001220703125,360.0,3784187,2022-10-24
2022-10-31,391.3999938964844,391.3999938964844,405.0,385.54998779296875,405.0,1617904,2022-10-31
2022-11-07,388.0,388.0,396.0,372.25,395.8999938964844,887022,2022-11-07
2022-11-14,379.20001220703125,379.20001220703125,403.29998779296875,374.0,389.5,1852030,2022-11-14
2022-11-21,377.04998779296875,377.04998779296875,385.0,363.70001220703125,378.95001220703125,1106350,2022-11-21
2022-11-28,374.6000061035156,374.6000061035156,381.8999938964844,372.0,379.70001220703125,2142071,2022-11-28
2022-12-05,354.95001220703125,354.95001220703125,377.70001220703125,352.79998779296875,376.3999938964844,1850526,2022-12-05
2022-12-12,347.1000061035156,347.1000061035156,360.0,344.0,354.95001220703125,1398096,2022-12-12
2022-12-19,345.3500061035156,345.3500061035156,356.0,320.0,347.8999938964844,1858931,2022-12-19
2022-12-26,371.20001220703125,371.20001220703125,377.25,349.0,350.0,2728723,2022-12-26
2023-01-02,372.29998779296875,372.29998779296875,381.8999938964844,364.6000061035156,374.0,1258817,2023-01-02
2023-01-09,366.79998779296875,366.79998779296875,377.45001220703125,366.5,375.8500061035156,703611,2023-01-09
2023-01-16,373.95001220703125,373.95001220703125,379.8999938964844,366.04998779296875,368.6499938964844,838203,2023-01-16
2023-01-23,369.95001220703125,369.95001220703125,391.3999938964844,360.5,379.95001220703125,2653484,2023-01-23
2023-01-30,358.1499938964844,358.1499938964844,375.29998779296875,355.1499938964844,369.8999938964844,1253388,2023-01-30
2023-02-06,364.20001220703125,364.20001220703125,372.3500061035156,358.1499938964844,358.1499938964844,1209838,2023-02-06
2023-02-13,356.95001220703125,356.95001220703125,369.0,356.0,365.20001220703125,671550,2023-02-13
2023-02-20,350.1499938964844,350.1499938964844,364.95001220703125,349.5,356.5,780967,2023-02-20
2023-02-27,357.0,357.0,362.25,344.0,349.0,974934,2023-02-27
2023-03-06,347.45001220703125,347.45001220703125,368.1499938964844,346.75,358.5,638992,2023-03-06
2023-03-13,331.54998779296875,331.54998779296875,348.29998779296875,323.5,345.1000061035156,1232438,2023-03-13
2023-03-20,330.0,330.0,361.25,328.0,332.29998779296875,2045380,2023-03-20
2023-03-27,321.1000061035156,321.1000061035156,333.1000061035156,310.45001220703125,330.0,1544841,2023-03-27
2023-04-03,338.6499938964844,338.6499938964844,343.95001220703125,324.1000061035156,325.70001220703125,615264,2023-04-03
2023-04-10,367.3999938964844,367.3999938964844,369.8500061035156,336.0,338.6499938964844,1443799,2023-04-10
2023-04-17,352.75,352.75,362.29998779296875,345.1000061035156,362.25,854791,2023-04-17
2023-04-24,360.3999938964844,360.3999938964844,363.1000061035156,348.1000061035156,353.45001220703125,873379,2023-04-24
2023-05-01,369.5,369.5,376.0,353.8999938964844,360.3999938964844,1748815,2023-05-01
2023-05-08,333.1000061035156,333.1000061035156,378.79998779296875,328.6499938964844,369.8999938964844,6599191,2023-05-08
2023-05-15,326.54998779296875,326.54998779296875,334.3999938964844,321.8999938964844,333.3500061035156,1368989,2023-05-15
2023-05-22,330.75,330.75,333.6000061035156,322.75,329.0,1299380,2023-05-22
2023-05-29,335.79998779296875,335.79998779296875,344.5,325.0,333.8500061035156,2389494,2023-05-29
2023-06-05,339.0,339.0,350.54998779296875,331.54998779296875,338.0,2873670,2023-06-05
2023-06-12,342.0,342.0,347.1000061035156,331.5,339.3500061035156,2500031,2023-06-12
2023-06-19,343.8500061035156,343.8500061035156,367.0,341.29998779296875,342.20001220703125,4902360,2023-06-19
2023-06-26,351.6499938964844,351.6499938964844,355.0,342.04998779296875,344.20001220703125,1347786,2023-06-26
2023-07-03,369.5,369.5,390.0,350.0,353.8500061035156,7792679,2023-07-03
2023-07-10,370.04998779296875,370.04998779296875,379.70001220703125,356.20001220703125,372.8500061035156,2473881,2023-07-10
2023-07-17,381.04998779296875,381.04998779296875,401.8999938964844,373.20001220703125,374.5,8323206,2023-07-17
2023-07-24,378.3500061035156,378.3500061035156,387.0,362.0,383.0,2966043,2023-07-24
2023-07-31,381.54998779296875,381.54998779296875,390.0,371.29998779296875,381.0,2494122,2023-07-31
2023-08-07,393.95001220703125,393.95001220703125,417.70001220703125,372.20001220703125,382.5,10505065,2023-08-07
2023-08-14,425.45001220703125,425.45001220703125,441.04998779296875,380.5,393.8999938964844,11032365,2023-08-14
2023-08-21,431.1000061035156,431.1000061035156,449.95001220703125,418.0,428.75,9222181,2023-08-21
2023-08-28,455.1499938964844,455.1499938964844,458.1000061035156,417.0,434.3999938964844,8375379,2023-08-28
2023-09-04,457.8500061035156,457.8500061035156,466.45001220703125,451.29998779296875,459.0,6303958,2023-09-04
2023-09-11,427.29998779296875,427.29998779296875,463.6499938964844,411.0,461.70001220703125,5116705,2023-09-11
2023-09-18,417.25,417.25,431.6000061035156,407.5,428.5,1861285,2023-09-18
2023-09-25,410.70001220703125,410.70001220703125,419.45001220703125,406.0,418.3500061035156,1451971,2023-09-25
2023-10-02,408.25,408.25,415.95001220703125,392.8500061035156,410.70001220703125,1573875,2023-10-02
2023-10-09,408.5,408.5,427.70001220703125,395.0,404.5,2075554,2023-10-09
2023-10-16,431.75,431.75,443.8999938964844,407.0,411.70001220703125,5006118,2023-10-16
2023-10-23,425.95001220703125,425.95001220703125,434.6499938964844,398.5,431.75,2383613,2023-10-23
2023-10-30,410.45001220703125,410.45001220703125,426.20001220703125,395.20001220703125,415.0,4337333,2023-10-30
2023-11-06,409.3999938964844,409.3999938964844,417.70001220703125,403.79998779296875,414.45001220703125,1767823,2023-11-06
2023-11-13,412.3500061035156,412.3500061035156,419.5,409.0,418.0,1743064,2023-11-13
2023-11-20,467.95001220703125,467.95001220703125,487.79998779296875,413.0,414.5,23361026,2023-11-20
2023-11-27,489.45001220703125,489.45001220703125,503.8999938964844,467.95001220703125,467.95001220703125,10495714,2023-11-27
2023-12-04,469.6000061035156,469.6000061035156,503.8999938964844,466.0,496.79998779296875,4806395,2023-12-04
2023-12-11,477.95001220703125,477.95001220703125,482.5,451.29998779296875,471.3999938964844,4644649,2023-12-11
2023-12-18,457.29998779296875,457.29998779296875,487.54998779296875,432.0,478.0,5126797,2023-12-18
2023-12-25,455.04998779296875,455.04998779296875,465.3500061035156,448.04998779296875,457.29998779296875,2823021,2023-12-25
2024-01-01,450.5,450.5,461.79998779296875,446.0,457.70001220703125,2586603,2024-01-01
2024-01-08,464.95001220703125,464.95001220703125,477.8999938964844,442.79998779296875,451.8999938964844,5668539,2024-01-08
2024-01-15,473.8999938964844,473.8999938964844,482.70001220703125,448.5,464.95001220703125,3417989,2024-01-15
2024-01-22,452.95001220703125,452.95001220703125,473.8999938964844,444.5,473.8999938964844,1546312,2024-01-22
2024-01-29,485.45001220703125,485.45001220703125,492.0,446.25,457.04998779296875,8782427,2024-01-29
2024-02-05,507.8500061035156,507.8500061035156,544.7999877929688,482.3999938964844,493.0,15642959,2024-02-05
2024-02-12,512.8499755859375,512.8499755859375,534.2999877929688,490.1499938964844,508.8500061035156,5178177,2024-02-12
2024-02-19,514.8499755859375,514.8499755859375,530.7999877929688,496.29998779296875,513.25,2828813,2024-02-19
2024-02-26,516.4500122070312,516.4500122070312,538.0,501.3500061035156,514.5,4033041,2024-02-26
2024-03-04,494.6000061035156,494.6000061035156,527.0,488.29998779296875,525.0,1760839,2024-03-04
2024-03-11,449.75,449.75,497.6499938964844,430.0,493.95001220703125,4155272,2024-03-11
2024-03-18,467.79998779296875,467.79998779296875,470.70001220703125,434.1000061035156,450.0,3119319,2024-03-18
2024-03-25,507.75,507.75,520.0,452.29998779296875,467.79998779296875,8543870,2024-03-25
2024-04-01,549.75,549.75,560.7999877929688,509.0,511.8500061035156,9671703,2024-04-01
2024-04-08,540.3499755859375,540.3499755859375,567.0999755859375,535.4000244140625,557.7000122070312,3698295,2024-04-08
2024-04-15,506.8999938964844,506.8999938964844,537.0,470.54998779296875,526.0,2703825,2024-04-15
2024-04-22,496.3500061035156,496.3500061035156,522.0,493.8999938964844,512.0,1354968,2024-04-22
2024-04-29,494.95001220703125,494.95001220703125,505.5,490.0,502.0,691371,2024-04-29
2024-05-06,473.3999938964844,473.3999938964844,498.5,460.0,494.95001220703125,1011654,2024-05-06
2024-05-13,488.6499938964844,488.6499938964844,496.25,455.0,463.8500061035156,1036883,2024-05-13
2024-05-20,488.54998779296875,488.54998779296875,504.3999938964844,475.54998779296875,483.0,984979,2024-05-20
2024-05-27,476.29998779296875,476.29998779296875,491.95001220703125,465.0,488.1000061035156,902534,2024-05-27
2024-06-03,514.2000122070312,514.2000122070312,518.0,444.0,489.0,1592577,2024-06-03
2024-06-10,506.6000061035156,506.6000061035156,524.0,501.79998779296875,511.0,1157005,2024-06-10
2024-06-17,517.5999755859375,517.5999755859375,526.7000122070312,490.04998779296875,506.6000061035156,984276,2024-06-17
2024-06-24,501.29998779296875,501.29998779296875,525.0,495.04998779296875,517.0,855103,2024-06-24
2024-07-01,519.0,519.0,527.0,500.0,501.29998779296875,916472,2024-07-01
2024-07-08,535.9000244140625,535.9000244140625,539.6500244140625,505.54998779296875,519.5,1971449,2024-07-08
2024-07-15,521.0499877929688,521.0499877929688,575.0,518.5,538.25,3590705,2024-07-15
2024-07-22,542.8499755859375,542.8499755859375,552.9500122070312,507.79998779296875,517.1500244140625,2196792,2024-07-22
2024-07-29,509.3500061035156,509.3500061035156,542.8499755859375,501.3999938964844,542.8499755859375,2062930,2024-07-29
2024-08-05,492.04998779296875,492.04998779296875,503.0,483.8999938964844,498.95001220703125,2103917,2024-08-05
2024-08-12,495.0,495.0,504.70001220703125,470.0,494.8500061035156,1437347,2024-08-12
2024-08-19,504.45001220703125,504.45001220703125,527.5,493.20001220703125,495.0,2263123,2024-08-19
2024-08-26,483.45001220703125,483.45001220703125,507.6000061035156,482.95001220703125,503.0,1499553,2024-08-26
2024-09-02,472.3999938964844,472.3999938964844,488.25,470.1499938964844,483.8999938964844,1934145,2024-09-02
2024-09-09,486.54998779296875,486.54998779296875,500.0,454.79998779296875,472.0,2702194,2024-09-09
2024-09-16,477.45001220703125,477.45001220703125,495.0,471.5,487.8999938964844,1486871,2024-09-16
2024-09-23,475.3500061035156,475.3500061035156,493.79998779296875,473.0,478.1000061035156,1477718,2024-09-23
2024-09-30,460.29998779296875,460.29998779296875,478.25,457.0,475.3500061035156,912198,2024-09-30
2024-10-07,461.04998779296875,461.04998779296875,475.0,448.8500061035156,460.29998779296875,1026616,2024-10-07
2024-10-14,486.45001220703125,486.45001220703125,493.45001220703125,457.79998779296875,462.95001220703125,2831569,2024-10-14
2024-10-21,444.75,444.75,488.8999938964844,441.0,487.75,1327894,2024-10-21
2024-10-28,461.70001220703125,461.70001220703125,464.6499938964844,440.54998779296875,445.95001220703125,758258,2024-10-28
2024-11-04,496.25,496.25,510.0,451.25,461.20001220703125,4143897,2024-11-04
2024-11-11,456.3999938964844,456.3999938964844,498.0,454.0,496.0,1572468,2024-11-11
2024-11-18,445.8999938964844,445.8999938964844,460.70001220703125,434.0,459.0,1068847,2024-11-18
2024-11-25,447.8999938964844,447.8999938964844,458.79998779296875,442.04998779296875,453.70001220703125,1076977,2024-11-25
2024-12-02,471.79998779296875,471.79998779296875,489.95001220703125,443.6499938964844,447.54998779296875,1944550,2024-12-02
2024-12-09,505.75,505.75,520.25,467.0,472.1000061035156,5746347,2024-12-09
2024-12-16,474.8999938964844,474.8999938964844,514.3499755859375,470.25,507.79998779296875,1733148,2024-12-16
2024-12-23,483.29998779296875,483.29998779296875,487.8999938964844,464.6499938964844,480.0,1184442,2024-12-23
2024-12-30,501.3999938964844,501.3999938964844,509.95001220703125,452.8999938964844,479.1000061035156,2600187,2024-12-30
2025-01-06,455.54998779296875,455.54998779296875,504.6499938964844,452.0,501.3999938964844,1603429,2025-01-06
2025-01-13,449.75,449.75,464.0,436.75,455.54998779296875,1131775,2025-01-13
2025-01-20,432.25,432.25,464.6000061035156,430.5,448.95001220703125,1098393,2025-01-20
2025-01-27,438.70001220703125,438.70001220703125,441.3500061035156,401.70001220703125,439.8999938964844,1334721,2025-01-27
2025-02-03,448.3999938964844,448.3999938964844,466.0,424.95001220703125,438.3500061035156,1160343,2025-02-03
2025-02-10,404.25,404.25,458.70001220703125,398.25,454.95001220703125,2167466,2025-02-10
2025-02-17,402.3999938964844,402.3999938964844,413.95001220703125,393.20001220703125,398.0,886942,2025-02-17
2025-02-24,383.25,383.25,406.8999938964844,370.04998779296875,406.8999938964844,1206307,2025-02-24
2025-03-03,385.1499938964844,385.1499938964844,395.95001220703125,355.8500061035156,384.75,1426056,2025-03-03
2025-03-10,350.5,350.5,389.95001220703125,346.0,387.95001220703125,1525201,2025-03-10
2025-03-17,381.5,381.5,384.6499938964844,345.8999938964844,355.95001220703125,1431421,2025-03-17
2025-03-24,367.54998779296875,367.54998779296875,387.8500061035156,357.0,384.04998779296875,3180713,2025-03-24
2025-03-31,364.29998779296875,364.29998779296875,378.0,359.8500061035156,367.54998779296875,1265280,2025-03-31
2025-04-07,379.8999938964844,379.8999938964844,381.95001220703125,341.20001220703125,344.0,1174870,2025-04-07
2025-04-14,393.3500061035156,393.3500061035156,395.8500061035156,379.8999938964844,379.8999938964844,645234,2025-04-14
2025-04-21,402.8999938964844,402.8999938964844,431.3999938964844,391.0,397.0,7286595,2025-04-21
2025-04-28,406.54998779296875,406.54998779296875,418.95001220703125,390.04998779296875,402.8999938964844,1540156,2025-04-28
2025-05-05,412.45001220703125,412.45001220703125,417.6000061035156,382.25,409.1499938964844,2959351,2025-05-05
2025-05-12,422.8500061035156,422.8500061035156,433.70001220703125,416.0,425.0,1850498,2025-05-12
2025-05-19,416.79998779296875,416.79998779296875,425.75,405.1000061035156,424.79998779296875,1042700,2025-05-19
2025-05-26,416.04998779296875,416.04998779296875,430.0,413.04998779296875,421.70001220703125,968800,2025-05-26
2025-06-02,409.3999938964844,409.3999938964844,419.70001220703125,407.0,412.20001220703125,632626,2025-06-02
2025-06-09,398.20001220703125,398.20001220703125,424.6499938964844,395.1000061035156,411.54998779296875,1322663,2025-06-09
2025-06-16,402.1499938964844,402.1499938964844,430.79998779296875,390.1000061035156,399.20001220703125,6915556,2025-06-16
2025-06-23,410.70001220703125,410.70001220703125,416.95001220703125,398.1499938964844,402.1499938964844,1109946,2025-06-23
2025-06-30,444.45001220703125,444.45001220703125,453.0,407.95001220703125,413.3500061035156,6605919,2025-06-30
2025-07-07,432.20001220703125,432.20001220703125,450.79998779296875,430.3500061035156,445.0,1520535,2025-07-07
2025-07-14,432.5,432.5,437.0,423.1000061035156,432.20001220703125,470015,2025-07-14
