Date,Adj Close_LATENTVIEW.NS,Close_LATENTVIEW.NS,High_LATENTVIEW.NS,Low_LATENTVIEW.NS,Open_LATENTVIEW.NS,Volume_LATENTVIEW.NS,Date
2021-11-22,697.5999755859375,697.5999755859375,754.9000244140625,461.1000061035156,512.2000122070312,91306226,2021-11-22
2021-11-29,638.3499755859375,638.3499755859375,720.0,622.7000122070312,700.0,15795252,2021-11-29
2021-12-06,631.7999877929688,631.7999877929688,649.7000122070312,600.0,641.5499877929688,5912869,2021-12-06
2021-12-13,594.2000122070312,594.2000122070312,639.2999877929688,586.0,638.0,5012413,2021-12-13
2021-12-20,495.70001220703125,495.70001220703125,582.3499755859375,486.0,580.0,10955035,2021-12-20
2021-12-27,561.5499877929688,561.5499877929688,583.8499755859375,488.0,496.95001220703125,13154787,2021-12-27
2022-01-03,542.7999877929688,542.7999877929688,571.9500122070312,538.0999755859375,565.9000244140625,4189058,2022-01-03
2022-01-10,591.4000244140625,591.4000244140625,609.9000244140625,543.2000122070312,545.75,7572218,2022-01-10
2022-01-17,551.8499755859375,551.8499755859375,617.5,542.9000244140625,591.4000244140625,4103106,2022-01-17
2022-01-24,492.79998779296875,492.79998779296875,550.7000122070312,480.1000061035156,550.7000122070312,4069135,2022-01-24
2022-01-31,506.5,506.5,527.5,492.0,509.8999938964844,3292213,2022-01-31
2022-02-07,507.8999938964844,507.8999938964844,573.7999877929688,492.0,508.75,6169560,2022-02-07
2022-02-14,476.45001220703125,476.45001220703125,498.0,465.3500061035156,481.0,2768261,2022-02-14
2022-02-21,398.04998779296875,398.04998779296875,476.0,368.1000061035156,476.0,5897362,2022-02-21
2022-02-28,410.20001220703125,410.20001220703125,429.0,385.95001220703125,394.04998779296875,2565933,2022-02-28
2022-03-07,418.79998779296875,418.79998779296875,440.79998779296875,395.1000061035156,399.70001220703125,2959015,2022-03-07
2022-03-14,431.70001220703125,431.70001220703125,463.0,411.5,421.79998779296875,3547672,2022-03-14
