Date,Adj Close_ERIS.NS,Close_ERIS.NS,High_ERIS.NS,Low_ERIS.NS,Open_ERIS.NS,Volume_ERIS.NS,Date
2020-07-13,424.2784729003906,439.0,462.70001220703125,429.0,460.0,345393,2020-07-13
2020-07-20,400.2135009765625,414.1000061035156,446.70001220703125,412.20001220703125,446.0,1544518,2020-07-20
2020-07-27,474.8246154785156,491.29998779296875,497.0,400.79998779296875,414.0,2419095,2020-07-27
2020-08-03,517.5424194335938,535.5,575.0,481.04998779296875,491.70001220703125,3532329,2020-08-03
2020-08-10,518.218994140625,536.2000122070312,590.0,523.0,539.8499755859375,1303215,2020-08-10
2020-08-17,536.2372436523438,549.4000244140625,559.0,522.4000244140625,544.9000244140625,538089,2020-08-17
2020-08-24,505.3943176269531,517.7999877929688,557.7000122070312,515.1500244140625,556.5,463503,2020-08-24
2020-08-31,490.11932373046875,502.1499938964844,515.0,471.70001220703125,515.0,459408,2020-08-31
2020-09-07,478.21160888671875,489.95001220703125,518.6500244140625,470.0,504.95001220703125,553080,2020-09-07
2020-09-14,526.5744018554688,539.5,552.9500122070312,494.70001220703125,494.70001220703125,933074,2020-09-14
2020-09-21,526.8673095703125,539.7999877929688,570.0,506.04998779296875,539.5,3031668,2020-09-21
2020-09-28,525.2080078125,538.0999755859375,555.0,526.0,546.8499755859375,802509,2020-09-28
2020-10-05,505.8336181640625,518.25,555.0,508.0,539.5,502728,2020-10-05
2020-10-12,481.1885070800781,493.0,523.9500122070312,484.0,518.0,323343,2020-10-12
2020-10-19,487.33758544921875,499.29998779296875,517.5,486.0,495.0,520004,2020-10-19
2020-10-26,488.8016357421875,500.79998779296875,506.0,490.0,502.8500061035156,178048,2020-10-26
2020-11-02,503.5399169921875,515.9000244140625,533.0,498.79998779296875,501.04998779296875,724856,2020-11-02
2020-11-09,493.9747009277344,506.1000061035156,523.0,499.0,521.7000122070312,411635,2020-11-09
2020-11-16,507.3952331542969,519.8499755859375,536.5499877929688,497.45001220703125,503.54998779296875,557137,2020-11-16
2020-11-23,508.8592529296875,521.3499755859375,529.9500122070312,511.6000061035156,524.6500244140625,296776,2020-11-23
2020-11-30,517.4485473632812,530.1500244140625,538.9500122070312,516.7999877929688,521.3499755859375,778892,2020-11-30
2020-12-07,524.8663940429688,537.75,550.0,523.0,532.75,1242574,2020-12-07
2020-12-14,551.7562866210938,565.2999877929688,574.4000244140625,536.5,540.0,1492003,2020-12-14
