Date,Adj Close_JTEKTINDIA.NS,Close_JTEKTINDIA.NS,High_JTEKTINDIA.NS,Low_JTEKTINDIA.NS,Open_JTEKTINDIA.NS,Volume_JTEKTINDIA.NS,Date
2020-07-13,66.95138549804688,68.0999984741211,72.0,67.5,69.5,2544837,2020-07-13
2020-07-20,64.59185028076172,65.69999694824219,70.0,65.4000015258789,68.05000305175781,1090578,2020-07-20
2020-07-27,60.905113220214844,61.95000076293945,66.4000015258789,61.0,65.0999984741211,874490,2020-07-27
2020-08-03,65.32921600341797,66.44999694824219,67.5999984741211,61.04999923706055,62.0,1708603,2020-08-03
2020-08-10,71.91620635986328,73.1500015258789,75.30000305175781,63.29999923706055,67.0,3563620,2020-08-10
2020-08-17,75.9470443725586,77.25,80.4000015258789,72.0999984741211,74.1500015258789,3377306,2020-08-17
2020-08-24,82.63236236572266,84.05000305175781,91.80000305175781,76.5999984741211,77.5,5500211,2020-08-24
2020-08-31,75.1605453491211,76.44999694824219,85.0999984741211,74.30000305175781,84.0,986600,2020-08-31
2020-09-07,70.34320068359375,71.55000305175781,78.0,70.8499984741211,76.9000015258789,452542,2020-09-07
2020-09-14,80.42031860351562,81.80000305175781,84.19999694824219,72.69999694824219,72.75,1768233,2020-09-14
2020-09-21,74.38008880615234,75.30000305175781,82.8499984741211,72.1500015258789,82.8499984741211,520379,2020-09-21
2020-09-28,74.9727554321289,75.9000015258789,78.4000015258789,73.5999984741211,76.0,497494,2020-09-28
2020-10-05,78.2324447631836,79.19999694824219,82.30000305175781,75.0,77.25,653475,2020-10-05
2020-10-12,75.36787414550781,76.30000305175781,79.9000015258789,72.5,78.5,617624,2020-10-12
2020-10-19,76.99771118164062,77.94999694824219,79.6500015258789,74.5,75.3499984741211,439147,2020-10-19
2020-10-26,72.9971923828125,73.9000015258789,79.19999694824219,73.25,77.30000305175781,325805,2020-10-26
2020-11-02,75.36787414550781,76.30000305175781,80.75,74.5,75.75,458185,2020-11-02
2020-11-09,71.91062927246094,72.80000305175781,77.9000015258789,71.0999984741211,77.0,751555,2020-11-09
2020-11-16,76.84954833984375,77.80000305175781,87.5999984741211,72.3499984741211,74.30000305175781,927286,2020-11-16
2020-11-23,79.22022247314453,80.19999694824219,85.0,76.55000305175781,77.0999984741211,1627854,2020-11-23
2020-11-30,85.2457046508789,86.30000305175781,87.9000015258789,79.0,80.19999694824219,2645958,2020-11-30
2020-12-07,82.4305191040039,83.44999694824219,89.5,82.5999984741211,86.94999694824219,1575571,2020-12-07
2020-12-14,91.32057189941406,92.44999694824219,94.3499984741211,83.44999694824219,83.75,3716740,2020-12-14
2020-12-21,86.23348999023438,87.30000305175781,93.0,79.94999694824219,92.69999694824219,1497304,2020-12-21
2020-12-28,89.14744567871094,90.25,92.3499984741211,87.0,87.5,1329071,2020-12-28
2021-01-04,87.665771484375,88.75,100.69999694824219,88.0,91.4000015258789,5403957,2021-01-04
2021-01-11,91.61691284179688,92.75,104.80000305175781,88.5999984741211,89.9000015258789,8622778,2021-01-11
2021-01-18,89.7401123046875,90.8499984741211,99.80000305175781,90.0999984741211,99.80000305175781,4366826,2021-01-18
2021-01-25,86.03592681884766,87.0999984741211,93.9000015258789,86.05000305175781,92.19999694824219,2221047,2021-01-25
2021-02-01,87.07310485839844,88.1500015258789,95.69999694824219,87.0,87.94999694824219,2911352,2021-02-01
2021-02-08,90.28340148925781,91.4000015258789,95.9000015258789,88.8499984741211,89.0999984741211,3942115,2021-02-08
2021-02-15,87.86331939697266,88.94999694824219,93.0,86.80000305175781,93.0,1991769,2021-02-15
2021-02-22,86.77676391601562,87.8499984741211,93.0,87.05000305175781,89.05000305175781,970075,2021-02-22
2021-03-01,89.7401123046875,90.8499984741211,91.8499984741211,86.9000015258789,88.0999984741211,2324773,2021-03-01
2021-03-08,87.17188262939453,88.25,94.9000015258789,88.0,92.5,1920810,2021-03-08
