Date,Adj Close_QUESS.NS,Close_QUESS.NS,High_QUESS.NS,Low_QUESS.NS,Open_QUESS.NS,Volume_QUESS.NS,Date
2020-07-13,309.9333801269531,328.95001220703125,342.0,306.54998779296875,316.3999938964844,521168,2020-07-13
2020-07-20,320.9098815917969,340.6000061035156,354.70001220703125,326.95001220703125,328.95001220703125,845137,2020-07-20
2020-07-27,345.7837219238281,367.0,367.0,332.0,345.0,1148941,2020-07-27
2020-08-03,348.2333679199219,369.6000061035156,384.45001220703125,348.04998779296875,374.3999938964844,2033215,2020-08-03
2020-08-10,346.3961181640625,367.6499938964844,376.8999938964844,361.6499938964844,369.6000061035156,638048,2020-08-10
2020-08-17,349.8351135253906,371.29998779296875,399.70001220703125,365.0,372.0,1258641,2020-08-17
2020-08-24,365.4754333496094,387.8999938964844,394.29998779296875,368.04998779296875,380.0,1359263,2020-08-24
2020-08-31,360.0107421875,382.1000061035156,391.20001220703125,350.0,382.0,752736,2020-08-31
2020-09-07,351.95501708984375,373.54998779296875,386.0,364.0,385.0,524074,2020-09-07
2020-09-14,401.8910827636719,426.54998779296875,459.6499938964844,377.6000061035156,382.0,2863496,2020-09-14
2020-09-21,357.98504638671875,379.95001220703125,438.0,366.0,429.79998779296875,1359215,2020-09-21
2020-09-28,386.62762451171875,410.3500061035156,419.04998779296875,382.20001220703125,387.70001220703125,684510,2020-09-28
2020-10-05,384.8845520019531,408.5,424.0,395.3500061035156,413.8500061035156,538972,2020-10-05
2020-10-12,395.1544189453125,419.3999938964844,434.6499938964844,398.45001220703125,411.8999938964844,919978,2020-10-12
2020-10-19,399.6298522949219,424.1499938964844,428.0,402.20001220703125,424.3999938964844,451118,2020-10-19
2020-10-26,385.6382751464844,409.29998779296875,421.6000061035156,364.0,420.0,529245,2020-10-26
2020-11-02,385.1672058105469,408.79998779296875,417.1000061035156,400.04998779296875,400.04998779296875,515165,2020-11-02
2020-11-09,384.1779479980469,407.75,419.0,390.1000061035156,412.0,490118,2020-11-09
2020-11-16,437.8356628417969,464.70001220703125,473.5,402.0,404.79998779296875,1891251,2020-11-16
