Date,Adj Close_AEROFLEX.NS,Close_AEROFLEX.NS,High_AEROFLEX.NS,Low_AEROFLEX.NS,Open_AEROFLEX.NS,Volume_AEROFLEX.NS,Date
2023-08-28,164.73904418945312,165.0,196.35000610351562,158.5,190.0,45818065,2023-08-28
2023-09-04,156.3523406982422,156.60000610351562,167.25,153.5,165.0,11755339,2023-09-04
2023-09-11,156.2025604248047,156.4499969482422,159.8000030517578,145.4499969482422,158.5,7709067,2023-09-11
2023-09-18,151.55992126464844,151.8000030517578,157.5,150.5,156.89999389648438,2592808,2023-09-18
2023-09-25,152.5084228515625,152.75,156.6999969482422,146.5,152.25,2872837,2023-09-25
2023-10-02,146.41806030273438,146.64999389648438,153.3000030517578,146.1999969482422,152.75,1896967,2023-10-02
2023-10-09,156.75169372558594,157.0,162.4499969482422,142.39999389648438,143.0,7514366,2023-10-09
2023-10-16,164.78897094726562,165.0500030517578,173.8000030517578,151.89999389648438,157.5,15262004,2023-10-16
2023-10-23,152.00921630859375,152.25,165.60000610351562,145.5500030517578,165.10000610351562,4662174,2023-10-23
2023-10-30,163.09165954589844,163.35000610351562,167.6999969482422,150.5500030517578,152.75,6766780,2023-10-30
2023-11-06,156.55201721191406,156.8000030517578,172.6999969482422,155.5,165.0,5200515,2023-11-06
2023-11-13,157.60035705566406,157.85000610351562,164.39999389648438,157.25,160.0,2058105,2023-11-13
2023-11-20,162.1930694580078,162.4499969482422,164.4499969482422,155.89999389648438,158.4499969482422,3476152,2023-11-20
2023-11-27,157.1011505126953,157.35000610351562,165.5,156.60000610351562,162.4499969482422,2604198,2023-11-27
2023-12-04,154.55517578125,154.8000030517578,160.25,154.35000610351562,159.89999389648438,2302521,2023-12-04
2023-12-11,150.61143493652344,150.85000610351562,156.39999389648438,150.3000030517578,155.64999389648438,2639805,2023-12-11
2023-12-18,148.56466674804688,148.8000030517578,152.4499969482422,140.89999389648438,150.0500030517578,3541814,2023-12-18
2023-12-25,154.75485229492188,155.0,158.8000030517578,146.8000030517578,148.8000030517578,4262943,2023-12-25
2024-01-01,158.49893188476562,158.75,162.85000610351562,154.85000610351562,155.3000030517578,4371343,2024-01-01
2024-01-08,169.93081665039062,170.1999969482422,179.89999389648438,156.3000030517578,159.25,13687652,2024-01-08
2024-01-15,158.99813842773438,159.25,170.8000030517578,156.0500030517578,170.1999969482422,3039067,2024-01-15
2024-01-22,163.64077758789062,163.89999389648438,166.35000610351562,155.5,159.25,2691213,2024-01-22
2024-01-29,154.1558074951172,154.39999389648438,165.0,152.5500030517578,165.0,4875693,2024-01-29
2024-02-05,150.7611846923828,151.0,157.3000030517578,150.14999389648438,156.85000610351562,2128339,2024-02-05
2024-02-12,152.558349609375,152.8000030517578,154.60000610351562,141.89999389648438,151.3000030517578,2076473,2024-02-12
2024-02-19,150.21205139160156,150.4499969482422,153.89999389648438,146.8000030517578,152.75,1956175,2024-02-19
2024-02-26,144.17161560058594,144.39999389648438,151.0500030517578,143.25,150.4499969482422,1685354,2024-02-26
2024-03-04,137.2326202392578,137.4499969482422,146.64999389648438,136.0,146.4499969482422,1514177,2024-03-04
2024-03-11,125.10183715820312,125.30000305175781,139.0,115.0,138.0,4134064,2024-03-11
2024-03-18,127.54795837402344,127.75,130.60000610351562,123.5,123.5,2161815,2024-03-18
2024-03-25,121.20800018310547,121.4000015258789,128.5,118.05000305175781,127.75,2403482,2024-03-25
2024-04-01,150.31190490722656,150.5500030517578,153.60000610351562,123.9000015258789,123.9000015258789,6569886,2024-04-01
2024-04-08,143.22312927246094,143.4499969482422,152.6999969482422,142.64999389648438,152.0500030517578,2094879,2024-04-08
2024-04-15,141.87527465820312,142.10000610351562,148.1999969482422,136.5500030517578,140.39999389648438,2186608,2024-04-15
2024-04-22,148.76434326171875,149.0,152.39999389648438,143.0,145.9499969482422,2393044,2024-04-22
2024-04-29,153.406982421875,153.64999389648438,159.35000610351562,146.9499969482422,150.8000030517578,4125260,2024-04-29
2024-05-06,142.72390747070312,142.9499969482422,154.89999389648438,140.1999969482422,154.89999389648438,2754055,2024-05-06
2024-05-13,141.67556762695312,141.89999389648438,146.4499969482422,138.14999389648438,142.0500030517578,2315086,2024-05-13
2024-05-20,138.4307098388672,138.64999389648438,144.85000610351562,138.35000610351562,140.39999389648438,1391293,2024-05-20
2024-05-27,134.53688049316406,134.75,140.1999969482422,132.3000030517578,140.0,1318961,2024-05-27
2024-06-03,141.52581787109375,141.75,144.25,122.5,139.0,2766064,2024-06-03
2024-06-10,152.45849609375,152.6999969482422,155.2899932861328,140.75,141.6999969482422,4333099,2024-06-10
2024-06-17,149.99240112304688,150.22999572753906,155.5,147.41000366210938,152.6999969482422,2513329,2024-06-17
2024-06-24,159.697021484375,159.9499969482422,169.0,149.0,153.0,9634004,2024-06-24
2024-07-01,159.16000366210938,159.16000366210938,163.75,157.1999969482422,160.14999389648438,2938909,2024-07-01
2024-07-08,148.61000061035156,148.61000061035156,160.0,148.10000610351562,159.3000030517578,2725610,2024-07-08
2024-07-15,149.5,149.5,162.89999389648438,148.5800018310547,149.9499969482422,3040174,2024-07-15
2024-07-22,157.9499969482422,157.9499969482422,162.2899932861328,144.25,149.5,2869112,2024-07-22
2024-07-29,151.55999755859375,151.55999755859375,162.0,149.88999938964844,162.0,1783523,2024-07-29
2024-08-05,152.13999938964844,152.13999938964844,160.47999572753906,147.10000610351562,150.5,3777939,2024-08-05
2024-08-12,158.00999450683594,158.00999450683594,163.8000030517578,150.25,152.0,3101429,2024-08-12
2024-08-19,177.8699951171875,177.8699951171875,179.8000030517578,159.00999450683594,159.60000610351562,11954926,2024-08-19
2024-08-26,167.67999267578125,167.67999267578125,184.0,165.14999389648438,180.8000030517578,6852057,2024-08-26
2024-09-02,187.3800048828125,187.3800048828125,193.1999969482422,163.25,169.0,16976840,2024-09-02
2024-09-09,198.36000061035156,198.36000061035156,209.89999389648438,182.8000030517578,186.60000610351562,23075159,2024-09-09
2024-09-16,181.57000732421875,181.57000732421875,204.14999389648438,179.50999450683594,199.3000030517578,6983599,2024-09-16
2024-09-23,181.10000610351562,181.10000610351562,188.89999389648438,172.72000122070312,181.0,4719738,2024-09-23
