Date,Adj Close_TAJGVK.NS,Close_TAJGVK.NS,High_TAJGVK.NS,Low_TAJGVK.NS,Open_TAJGVK.NS,Volume_TAJGVK.NS,Date
2020-07-13,140.2823944091797,141.5500030517578,146.35000610351562,136.0,142.89999389648438,146982,2020-07-13
2020-07-20,137.3588104248047,138.60000610351562,148.10000610351562,137.0,142.85000610351562,275840,2020-07-20
2020-07-27,140.9265594482422,142.1999969482422,148.5,137.75,146.5,890949,2020-07-27
2020-08-03,141.6698455810547,142.9499969482422,153.89999389648438,137.3000030517578,142.4499969482422,849339,2020-08-03
2020-08-10,142.9582061767578,144.25,152.89999389648438,140.25,143.85000610351562,1106682,2020-08-10
2020-08-17,144.94029235839844,146.25,151.25,140.64999389648438,146.4499969482422,1000667,2020-08-17
2020-08-24,149.59820556640625,150.9499969482422,158.3000030517578,141.89999389648438,149.0,2097416,2020-08-24
2020-08-31,140.97610473632812,142.25,151.6999969482422,140.5500030517578,150.89999389648438,328978,2020-08-31
2020-09-07,137.65611267089844,138.89999389648438,144.0,134.85000610351562,141.35000610351562,250057,2020-09-07
2020-09-14,135.52537536621094,136.75,145.0500030517578,135.5500030517578,141.5,344414,2020-09-14
2020-09-21,120.51103973388672,121.5999984741211,138.0,117.69999694824219,136.75,328879,2020-09-21
2020-09-28,143.50328063964844,144.8000030517578,154.0,121.9000015258789,121.9000015258789,1903366,2020-09-28
2020-10-05,132.15582275390625,133.35000610351562,143.0,132.0,142.60000610351562,277426,2020-10-05
2020-10-12,125.06983947753906,126.19999694824219,137.0,125.05000305175781,133.35000610351562,375135,2020-10-12
2020-10-19,132.0071563720703,133.1999969482422,139.0,126.25,127.0,1266641,2020-10-19
2020-10-26,125.91223907470703,127.05000305175781,134.64999389648438,125.5999984741211,131.5,442296,2020-10-26
2020-11-02,127.10149383544922,128.25,130.4499969482422,124.5,127.05000305175781,262115,2020-11-02
2020-11-09,137.3092498779297,138.5500030517578,145.89999389648438,128.25,130.0,2188810,2020-11-09
2020-11-16,135.32716369628906,136.5500030517578,143.39999389648438,136.0,137.39999389648438,401105,2020-11-16
2020-11-23,139.4399871826172,140.6999969482422,147.8000030517578,133.5,137.25,1749313,2020-11-23
2020-11-30,140.2328338623047,141.5,144.39999389648438,138.89999389648438,140.6999969482422,730159,2020-11-30
2020-12-07,139.88597106933594,141.14999389648438,146.5,140.35000610351562,142.0,1152115,2020-12-07
2020-12-14,140.72836303710938,142.0,150.0,140.0,142.0500030517578,967906,2020-12-14
2020-12-21,132.7008819580078,133.89999389648438,144.85000610351562,124.0,142.9499969482422,665787,2020-12-21
2020-12-28,142.660888671875,143.9499969482422,148.0,129.5,137.8000030517578,3067674,2020-12-28
2021-01-04,139.88597106933594,141.14999389648438,146.8000030517578,137.5,146.0,669043,2021-01-04
2021-01-11,136.51641845703125,137.75,144.5,136.9499969482422,141.6999969482422,564707,2021-01-11
2021-01-18,132.40357971191406,133.60000610351562,138.8000030517578,133.0,137.89999389648438,576260,2021-01-18
2021-01-25,132.15582275390625,133.35000610351562,137.0,130.39999389648438,134.3000030517578,303846,2021-01-25
2021-02-01,131.61074829101562,132.8000030517578,137.0,132.0,135.0,480337,2021-02-01
2021-02-08,131.2638702392578,132.4499969482422,135.3000030517578,130.6999969482422,133.39999389648438,408488,2021-02-08
2021-02-15,127.20059967041016,128.35000610351562,135.0,127.75,133.60000610351562,655364,2021-02-15
2021-02-22,123.43463134765625,124.55000305175781,129.64999389648438,120.4000015258789,128.35000610351562,755629,2021-02-22
2021-03-01,124.37611389160156,125.5,136.5500030517578,123.44999694824219,126.3499984741211,1296301,2021-03-01
2021-03-08,122.3940200805664,123.5,128.35000610351562,121.9000015258789,126.94999694824219,724870,2021-03-08
2021-03-15,111.64118957519531,112.6500015258789,125.0,110.5,125.0,621570,2021-03-15
2021-03-22,111.3438720703125,112.3499984741211,119.80000305175781,111.3499984741211,112.5999984741211,373580,2021-03-22
2021-03-29,112.2853775024414,113.30000305175781,114.9000015258789,106.0999984741211,112.3499984741211,324183,2021-03-29
2021-04-05,112.03761291503906,113.05000305175781,116.0,109.0999984741211,110.25,241544,2021-04-05
2021-04-12,108.42030334472656,109.4000015258789,111.9000015258789,107.0,111.0999984741211,222671,2021-04-12
2021-04-19,102.32537078857422,103.25,111.0999984741211,102.0,106.5,571101,2021-04-19
2021-04-26,107.47879791259766,108.44999694824219,112.3499984741211,103.5,105.0,555283,2021-04-26
2021-05-03,108.32119750976562,109.30000305175781,110.80000305175781,107.55000305175781,109.8499984741211,214083,2021-05-03
2021-05-10,115.06029510498047,116.0999984741211,118.9000015258789,108.5,109.30000305175781,569026,2021-05-10
2021-05-17,134.3856658935547,135.60000610351562,137.5,116.0,117.80000305175781,3260198,2021-05-17
2021-05-24,137.2596893310547,138.5,144.3000030517578,135.35000610351562,138.5,3270178,2021-05-24
2021-05-31,143.3546142578125,144.64999389648438,147.4499969482422,135.1999969482422,138.39999389648438,3543079,2021-05-31
2021-06-07,143.30508422851562,144.60000610351562,150.5,141.0,146.5,2982335,2021-06-07
2021-06-14,133.54327392578125,134.75,145.5,133.35000610351562,145.5,1100420,2021-06-14
2021-06-21,136.51641845703125,137.75,144.0,132.6999969482422,134.5,1191546,2021-06-21
2021-06-28,135.17849731445312,136.39999389648438,143.3000030517578,135.25,138.4499969482422,948239,2021-06-28
2021-07-05,134.78208923339844,136.0,142.39999389648438,133.60000610351562,138.5500030517578,2236980,2021-07-05
2021-07-12,134.83164978027344,136.0500030517578,140.39999389648438,134.39999389648438,136.0,879049,2021-07-12
2021-07-19,129.77731323242188,130.9499969482422,136.60000610351562,130.0,136.0,627737,2021-07-19
2021-07-26,130.27284240722656,131.4499969482422,133.89999389648438,128.14999389648438,131.5500030517578,618074,2021-07-26
2021-08-02,128.3898468017578,129.5500030517578,133.5,127.69999694824219,131.5,625659,2021-08-02
2021-08-09,127.10149383544922,128.25,131.5,119.0,131.5,646217,2021-08-09
2021-08-16,121.10565948486328,122.19999694824219,130.0,120.5999984741211,130.0,245352,2021-08-16
2021-08-23,121.60118865966797,122.69999694824219,126.0,117.05000305175781,122.4000015258789,249125,2021-08-23
2021-08-30,125.21849822998047,126.3499984741211,129.64999389648438,121.0,121.25,426617,2021-08-30
2021-09-06,132.35403442382812,133.5500030517578,136.6999969482422,123.75,126.5,1122605,2021-09-06
2021-09-13,129.5791015625,130.75,136.89999389648438,129.60000610351562,134.39999389648438,899714,2021-09-13
2021-09-20,139.04359436035156,140.3000030517578,153.0,130.0,132.25,6845543,2021-09-20
2021-09-27,143.50328063964844,144.8000030517578,154.3000030517578,138.60000610351562,142.64999389648438,6406085,2021-09-27
2021-10-04,145.48536682128906,146.8000030517578,152.85000610351562,139.0,145.6999969482422,2786352,2021-10-04
2021-10-11,146.47642517089844,147.8000030517578,154.39999389648438,146.35000610351562,147.64999389648438,4020667,2021-10-11
2021-10-18,146.62506103515625,147.9499969482422,161.5500030517578,147.0,149.39999389648438,5991659,2021-10-18
2021-10-25,142.760009765625,144.0500030517578,152.0,143.0,150.0,943658,2021-10-25
2021-11-01,146.0304412841797,147.35000610351562,149.89999389648438,143.64999389648438,147.89999389648438,452593,2021-11-01
2021-11-08,146.5755157470703,147.89999389648438,154.89999389648438,147.0,149.0,1038159,2021-11-08
2021-11-15,142.660888671875,143.9499969482422,151.3000030517578,143.10000610351562,147.5,839969,2021-11-15
2021-11-22,132.65135192871094,133.85000610351562,144.60000610351562,130.3000030517578,144.0,804292,2021-11-22
2021-11-29,130.6197052001953,131.8000030517578,135.0,125.75,129.10000610351562,560482,2021-11-29
2021-12-06,134.73252868652344,135.9499969482422,136.6999969482422,127.05000305175781,135.39999389648438,407698,2021-12-06
2021-12-13,129.33132934570312,130.5,139.89999389648438,129.5,138.0,362338,2021-12-13
2021-12-20,124.12835693359375,125.25,129.35000610351562,121.30000305175781,127.55000305175781,509382,2021-12-20
2021-12-27,126.65552520751953,127.80000305175781,131.0,122.1500015258789,123.1500015258789,266277,2021-12-27
2022-01-03,130.47103881835938,131.64999389648438,141.5,126.19999694824219,127.44999694824219,649319,2022-01-03
2022-01-10,141.62030029296875,142.89999389648438,144.9499969482422,129.60000610351562,132.35000610351562,1380164,2022-01-10
2022-01-17,133.29551696777344,134.5,143.0500030517578,133.0,142.89999389648438,567511,2022-01-17
2022-01-24,134.68296813964844,135.89999389648438,138.8000030517578,129.0500030517578,132.8000030517578,300671,2022-01-24
2022-01-31,135.57492065429688,136.8000030517578,147.6999969482422,136.0,136.60000610351562,1849810,2022-01-31
2022-02-07,132.40357971191406,133.60000610351562,139.0,133.39999389648438,136.5,337605,2022-02-07
2022-02-14,133.04774475097656,134.25,139.3000030517578,125.30000305175781,130.0500030517578,853838,2022-02-14
2022-02-21,128.8853759765625,130.0500030517578,142.0,123.5,134.8000030517578,1970377,2022-02-21
2022-02-28,127.9934310913086,129.14999389648438,134.85000610351562,126.55000305175781,129.3000030517578,412300,2022-02-28
2022-03-07,132.15582275390625,133.35000610351562,136.85000610351562,125.5,126.05000305175781,568815,2022-03-07
2022-03-14,141.86805725097656,143.14999389648438,146.0,133.25,133.85000610351562,1003520,2022-03-14
2022-03-21,142.06626892089844,143.35000610351562,150.0,138.64999389648438,144.89999389648438,2305678,2022-03-21
2022-03-28,158.0220947265625,159.4499969482422,164.0,144.60000610351562,145.9499969482422,4572215,2022-03-28
2022-04-04,166.6937255859375,168.1999969482422,176.0,159.0500030517578,161.9499969482422,4654483,2022-04-04
2022-04-11,179.67640686035156,181.3000030517578,183.89999389648438,167.0500030517578,169.64999389648438,3308460,2022-04-11
2022-04-18,169.66685485839844,171.1999969482422,186.35000610351562,166.35000610351562,182.25,2627611,2022-04-18
2022-04-25,168.1307373046875,169.64999389648438,177.5,160.35000610351562,168.0,1488514,2022-04-25
2022-05-02,156.5850830078125,158.0,175.5,155.10000610351562,166.3000030517578,1103190,2022-05-02
2022-05-09,143.75103759765625,145.0500030517578,160.85000610351562,136.0,158.0,1324079,2022-05-09
2022-05-16,145.8322296142578,147.14999389648438,154.0,141.60000610351562,145.0500030517578,505065,2022-05-16
2022-05-23,140.18328857421875,141.4499969482422,149.85000610351562,132.10000610351562,149.85000610351562,453708,2022-05-23
2022-05-30,145.73312377929688,147.0500030517578,151.89999389648438,142.1999969482422,142.1999969482422,480947,2022-05-30
2022-06-06,135.62448120117188,136.85000610351562,146.89999389648438,134.8000030517578,145.0,324989,2022-06-06
2022-06-13,128.19163513183594,129.35000610351562,138.0,125.05000305175781,136.4499969482422,300123,2022-06-13
2022-06-20,130.8179168701172,132.0,132.6999969482422,121.3499984741211,130.0,449075,2022-06-20
2022-06-27,134.13790893554688,135.35000610351562,138.0,132.14999389648438,136.6999969482422,235823,2022-06-27
2022-07-04,139.3408966064453,140.60000610351562,144.0500030517578,135.35000610351562,136.0500030517578,392177,2022-07-04
2022-07-11,142.31402587890625,143.60000610351562,144.9499969482422,139.25,140.60000610351562,493966,2022-07-11
2022-07-18,146.52597045898438,147.85000610351562,148.8000030517578,142.64999389648438,143.0,333404,2022-07-18
2022-07-25,149.49911499023438,150.85000610351562,157.14999389648438,145.14999389648438,147.14999389648438,707679,2022-07-25
2022-08-01,159.45909118652344,160.89999389648438,173.0,151.39999389648438,151.64999389648438,3853868,2022-08-01
