Date,Adj Close_SMSLIFE.NS,Close_SMSLIFE.NS,High_SMSLIFE.NS,Low_SMSLIFE.NS,Open_SMSLIFE.NS,Volume_SMSLIFE.NS,Date
2020-07-13,331.78570556640625,334.5,364.3999938964844,324.5,336.6000061035156,82611,2020-07-13
2020-07-20,339.07611083984375,341.8500061035156,355.0,325.0,340.95001220703125,84670,2020-07-20
2020-07-27,333.37274169921875,336.1000061035156,348.5,325.25,343.0,57787,2020-07-27
2020-08-03,427.0067138671875,430.5,478.70001220703125,331.0,337.25,711587,2020-08-03
2020-08-10,409.4503479003906,412.79998779296875,470.0,408.3500061035156,440.0,99811,2020-08-10
2020-08-17,470.2033386230469,474.04998779296875,486.3999938964844,418.5,418.5,137772,2020-08-17
2020-08-24,454.7299499511719,458.45001220703125,490.0,441.0,470.0,103418,2020-08-24
2020-08-31,454.1347961425781,457.8500061035156,469.8999938964844,437.6000061035156,462.75,27443,2020-08-31
2020-09-07,441.7857971191406,445.3999938964844,463.04998779296875,437.3500061035156,455.0,11634,2020-09-07
2020-09-14,627.0204467773438,632.1500244140625,632.1500244140625,439.25,455.0,163265,2020-09-14
2020-09-21,623.4000854492188,628.5,678.8499755859375,606.5999755859375,657.0,226755,2020-09-21
2020-09-28,615.663330078125,620.7000122070312,660.0,601.0,630.0,24296,2020-09-28
2020-10-05,588.3865356445312,593.2000122070312,642.9500122070312,581.0999755859375,642.9500122070312,21750,2020-10-05
2020-10-12,642.3947143554688,647.6500244140625,658.0,592.0,611.6500244140625,27572,2020-10-12
2020-10-19,622.2097778320312,627.2999877929688,712.4000244140625,606.9000244140625,684.0,94075,2020-10-19
2020-10-26,581.6912841796875,586.4500122070312,651.0,583.1500244140625,613.8499755859375,27356,2020-10-26
2020-11-02,568.4991455078125,573.1500244140625,592.0,545.0,586.4500122070312,18879,2020-11-02
2020-11-09,601.1818237304688,606.0999755859375,650.8499755859375,573.2000122070312,599.0,91876,2020-11-09
2020-11-16,590.76708984375,595.5999755859375,622.3499755859375,574.0,622.3499755859375,21241,2020-11-16
2020-11-23,580.5009765625,585.25,606.0,563.5499877929688,582.6500244140625,110092,2020-11-23
2020-11-30,652.2144165039062,657.5499877929688,684.9500122070312,570.0999755859375,585.25,105213,2020-11-30
2020-12-07,628.06201171875,633.2000122070312,749.9000244140625,605.0,662.0,195960,2020-12-07
2020-12-14,604.3558959960938,609.2999877929688,645.0,605.0,636.0499877929688,26949,2020-12-14
2020-12-21,604.5542602539062,609.5,625.0,560.0,623.4500122070312,37435,2020-12-21
2020-12-28,613.3820190429688,618.4000244140625,665.9000244140625,602.7999877929688,620.5,194332,2020-12-28
2021-01-04,600.6362915039062,605.5499877929688,635.9500122070312,601.0,625.9000244140625,33301,2021-01-04
2021-01-11,591.3621215820312,596.2000122070312,616.0,581.5,610.0,22888,2021-01-11
2021-01-18,571.1773071289062,575.8499755859375,608.0999755859375,573.75,602.0,14452,2021-01-18
2021-01-25,557.6380615234375,562.2000122070312,620.0,537.8499755859375,581.9500122070312,33586,2021-01-25
2021-02-01,563.6885375976562,568.2999877929688,583.9500122070312,540.0,570.0,10446,2021-02-01
2021-02-08,589.5271606445312,594.3499755859375,615.5,564.0,578.0,26763,2021-02-08
2021-02-15,560.8616943359375,565.4500122070312,610.0,546.0499877929688,597.5,15446,2021-02-15
2021-02-22,527.2863159179688,531.5999755859375,565.0,525.0499877929688,565.0,11292,2021-02-22
