Date,Adj Close_LAXMIDENTL.NS,Close_LAXMIDENTL.NS,High_LAXMIDENTL.NS,Low_LAXMIDENTL.NS,Open_LAXMIDENTL.NS,Volume_LAXMIDENTL.NS,Date
2025-01-20,514.0999755859375,514.0999755859375,584.0,476.25,542.0,51976056,2025-01-20
2025-01-27,500.04998779296875,500.04998779296875,522.2000122070312,451.29998779296875,495.04998779296875,10324718,2025-01-27
2025-02-03,471.79998779296875,471.79998779296875,532.3499755859375,466.20001220703125,492.79998779296875,3626335,2025-02-03
2025-02-10,383.1499938964844,383.1499938964844,470.0,378.04998779296875,470.0,2849750,2025-02-10
2025-02-17,360.45001220703125,360.45001220703125,388.70001220703125,344.29998779296875,369.0,3178901,2025-02-17
2025-02-24,339.25,339.25,360.0,313.20001220703125,354.3500061035156,1048820,2025-02-24
2025-03-03,434.0,434.0,442.0,316.04998779296875,339.25,4243878,2025-03-03
2025-03-10,430.1000061035156,430.1000061035156,461.8999938964844,414.0,425.0,2401506,2025-03-10
2025-03-17,442.95001220703125,442.95001220703125,464.25,422.1499938964844,430.1000061035156,1361993,2025-03-17
2025-03-24,445.1499938964844,445.1499938964844,467.6000061035156,410.54998779296875,448.45001220703125,1845990,2025-03-24
2025-03-31,389.8500061035156,389.8500061035156,451.0,380.0,445.1499938964844,923658,2025-03-31
2025-04-07,407.1499938964844,407.1499938964844,411.0,325.0,326.0,852468,2025-04-07
2025-04-14,406.29998779296875,406.29998779296875,439.0,396.54998779296875,407.1499938964844,1041115,2025-04-14
2025-04-21,396.45001220703125,396.45001220703125,434.0,385.3999938964844,410.0,1231878,2025-04-21
2025-04-28,390.29998779296875,390.29998779296875,405.0,388.04998779296875,393.0,212599,2025-04-28
2025-05-05,370.29998779296875,370.29998779296875,395.0,359.95001220703125,395.0,334754,2025-05-05
2025-05-12,401.75,401.75,409.5,378.25,378.25,297761,2025-05-12
2025-05-19,393.79998779296875,393.79998779296875,413.54998779296875,390.3999938964844,401.75,340037,2025-05-19
2025-05-26,383.75,383.75,403.20001220703125,371.0,399.0,1033820,2025-05-26
2025-06-02,397.95001220703125,397.95001220703125,406.04998779296875,378.0,383.75,345245,2025-06-02
2025-06-09,429.20001220703125,429.20001220703125,437.79998779296875,396.6499938964844,398.20001220703125,1187406,2025-06-09
2025-06-16,405.04998779296875,405.04998779296875,436.79998779296875,391.54998779296875,427.0,368312,2025-06-16
2025-06-23,432.0,432.0,442.8999938964844,402.8999938964844,405.0,1018613,2025-06-23
2025-06-30,436.29998779296875,436.29998779296875,448.79998779296875,422.1499938964844,432.0,634359,2025-06-30
2025-07-07,429.1499938964844,429.1499938964844,442.29998779296875,418.29998779296875,435.95001220703125,258187,2025-07-07
2025-07-14,467.1499938964844,467.1499938964844,478.0,427.20001220703125,436.04998779296875,1695367,2025-07-14
