Date,Adj Close_BAFNAPH.NS,Close_BAFNAPH.NS,High_BAFNAPH.NS,Low_BAFNAPH.NS,Open_BAFNAPH.NS,Volume_BAFNAPH.NS,Date
2020-07-13,22.399999618530273,22.399999618530273,22.399999618530273,22.399999618530273,22.399999618530273,0,2020-07-13
2020-07-20,22.399999618530273,22.399999618530273,22.399999618530273,22.399999618530273,22.399999618530273,20,2020-07-20
2020-07-27,22.399999618530273,22.399999618530273,22.399999618530273,22.399999618530273,22.399999618530273,679,2020-07-27
2020-08-03,22.399999618530273,22.399999618530273,22.399999618530273,22.399999618530273,22.399999618530273,85,2020-08-03
2020-08-10,23.5,23.5,23.5,21.299999237060547,23.5,1314,2020-08-10
2020-08-17,23.5,23.5,23.5,23.5,23.5,134,2020-08-17
2020-08-24,23.5,23.5,23.5,23.5,23.5,96,2020-08-24
2020-08-31,23.5,23.5,23.5,23.399999618530273,23.399999618530273,348,2020-08-31
2020-09-07,23.5,23.5,23.5,23.5,23.5,941,2020-09-07
2020-09-14,28.450000762939453,28.450000762939453,28.450000762939453,23.5,23.5,1539,2020-09-14
2020-09-21,36.150001525878906,36.150001525878906,36.150001525878906,29.850000381469727,29.850000381469727,2682,2020-09-21
2020-09-28,43.79999923706055,43.79999923706055,43.79999923706055,37.95000076293945,37.95000076293945,6245,2020-09-28
2020-10-05,55.75,55.75,55.75,45.95000076293945,45.95000076293945,17365,2020-10-05
2020-10-12,71.0,71.0,71.0,58.5,58.5,4559,2020-10-12
2020-10-19,90.55000305175781,90.55000305175781,90.55000305175781,74.55000305175781,74.55000305175781,21253,2020-10-19
2020-10-26,115.4000015258789,115.4000015258789,115.4000015258789,92.4000015258789,95.0,15045,2020-10-26
2020-11-02,147.1999969482422,147.1999969482422,147.1999969482422,121.1500015258789,121.1500015258789,18986,2020-11-02
2020-11-09,197.10000610351562,197.10000610351562,197.10000610351562,154.5500030517578,154.5500030517578,17370,2020-11-09
2020-11-16,172.89999389648438,172.89999389648438,211.64999389648438,172.89999389648438,187.75,51078,2020-11-16
2020-11-23,133.89999389648438,133.89999389648438,164.3000030517578,133.89999389648438,164.3000030517578,7850,2020-11-23
2020-11-30,147.25,147.25,147.25,120.9000015258789,133.89999389648438,35932,2020-11-30
2020-12-07,187.8000030517578,187.8000030517578,187.8000030517578,154.60000610351562,154.60000610351562,46412,2020-12-07
2020-12-14,211.35000610351562,211.35000610351562,233.5500030517578,187.3000030517578,197.14999389648438,74896,2020-12-14
2020-12-21,172.25,172.25,200.8000030517578,172.25,200.8000030517578,8340,2020-12-21
2020-12-28,169.3000030517578,169.3000030517578,180.85000610351562,155.5,175.6999969482422,45026,2020-12-28
2021-01-04,164.25,164.25,179.3000030517578,161.0,163.0,37034,2021-01-04
2021-01-11,143.6999969482422,143.6999969482422,171.0,137.25,163.0,23768,2021-01-11
2021-01-18,133.0500030517578,133.0500030517578,148.0,130.0,148.0,16584,2021-01-18
2021-01-25,124.25,124.25,138.75,122.0,135.75,9288,2021-01-25
2021-02-01,118.8499984741211,118.8499984741211,132.0,116.0999984741211,124.25,21257,2021-02-01
2021-02-08,116.5,116.5,122.0,110.0,119.5,19685,2021-02-08
2021-02-15,134.4499969482422,134.4499969482422,146.9499969482422,121.0,121.0,25736,2021-02-15
2021-02-22,124.0,124.0,135.75,116.5,134.0,23112,2021-02-22
2021-03-01,122.0,122.0,126.9000015258789,118.0999984741211,121.55000305175781,13560,2021-03-01
2021-03-08,139.5500030517578,139.5500030517578,139.5500030517578,117.05000305175781,117.05000305175781,47624,2021-03-08
2021-03-15,177.9499969482422,177.9499969482422,177.9499969482422,144.5,146.5,178171,2021-03-15
2021-03-22,152.25,152.25,196.10000610351562,152.25,186.8000030517578,38046,2021-03-22
2021-03-29,130.60000610351562,130.60000610351562,152.25,130.60000610351562,152.25,3762,2021-03-29
2021-04-05,137.25,137.25,150.75,117.9000015258789,124.0999984741211,79566,2021-04-05
2021-04-12,139.0500030517578,139.0500030517578,139.0500030517578,123.9000015258789,130.39999389648438,27231,2021-04-12
2021-04-19,128.85000610351562,128.85000610351562,138.64999389648438,122.5,138.64999389648438,33884,2021-04-19
2021-04-26,130.8000030517578,130.8000030517578,138.8000030517578,127.0,134.8000030517578,55043,2021-04-26
2021-05-03,147.14999389648438,147.14999389648438,154.39999389648438,124.30000305175781,125.5,126723,2021-05-03
2021-05-10,136.64999389648438,136.64999389648438,150.85000610351562,133.25,150.0,91331,2021-05-10
2021-05-17,137.10000610351562,137.10000610351562,140.0,133.3000030517578,139.8000030517578,35298,2021-05-17
2021-05-24,135.6999969482422,135.6999969482422,141.0,130.3000030517578,135.60000610351562,34531,2021-05-24
2021-05-31,135.39999389648438,135.39999389648438,138.0500030517578,130.0,136.0,33498,2021-05-31
2021-06-07,142.75,142.75,153.89999389648438,135.39999389648438,137.6999969482422,70918,2021-06-07
2021-06-14,141.0500030517578,141.0500030517578,148.0,137.6999969482422,144.5,42160,2021-06-14
2021-06-21,143.89999389648438,143.89999389648438,146.0500030517578,136.60000610351562,139.0,41343,2021-06-21
2021-06-28,140.10000610351562,140.10000610351562,150.0,134.60000610351562,150.0,46937,2021-06-28
2021-07-05,139.1999969482422,139.1999969482422,143.9499969482422,136.64999389648438,143.0500030517578,20783,2021-07-05
2021-07-12,163.35000610351562,163.35000610351562,163.35000610351562,133.0,137.25,66965,2021-07-12
2021-07-19,155.89999389648438,155.89999389648438,182.6999969482422,154.14999389648438,163.4499969482422,187377,2021-07-19
2021-07-26,154.0,154.0,166.3000030517578,150.5,156.0,49801,2021-07-26
2021-08-02,148.60000610351562,148.60000610351562,165.0,147.0500030517578,161.6999969482422,48438,2021-08-02
2021-08-09,145.5500030517578,145.5500030517578,153.6999969482422,137.3000030517578,153.6999969482422,17970,2021-08-09
2021-08-16,139.10000610351562,139.10000610351562,151.0,135.75,145.5500030517578,14585,2021-08-16
2021-08-23,132.8000030517578,132.8000030517578,145.89999389648438,128.14999389648438,136.0,16307,2021-08-23
2021-08-30,131.5,131.5,139.39999389648438,126.0,139.39999389648438,34701,2021-08-30
2021-09-06,128.60000610351562,128.60000610351562,134.14999389648438,127.0,134.14999389648438,15556,2021-09-06
2021-09-13,129.5,129.5,134.3000030517578,126.1500015258789,131.5,20434,2021-09-13
2021-09-20,128.5500030517578,128.5500030517578,133.39999389648438,126.1500015258789,126.1500015258789,16157,2021-09-20
2021-09-27,127.6500015258789,127.6500015258789,131.5,126.19999694824219,129.0,13229,2021-09-27
2021-10-04,129.3000030517578,129.3000030517578,134.8000030517578,127.0,128.89999389648438,20955,2021-10-04
2021-10-11,132.6999969482422,132.6999969482422,137.10000610351562,127.0999984741211,132.0,22528,2021-10-11
2021-10-18,130.8000030517578,130.8000030517578,144.60000610351562,129.0,134.8000030517578,25393,2021-10-18
2021-10-25,121.80000305175781,121.80000305175781,134.6999969482422,119.9000015258789,134.6999969482422,20539,2021-10-25
2021-11-01,129.4499969482422,129.4499969482422,131.5,123.0,125.69999694824219,6048,2021-11-01
2021-11-08,130.25,130.25,133.3000030517578,126.3499984741211,126.3499984741211,27876,2021-11-08
2021-11-15,129.60000610351562,129.60000610351562,149.14999389648438,129.60000610351562,134.0,56128,2021-11-15
2021-11-22,122.44999694824219,122.44999694824219,134.0,121.5999984741211,134.0,21694,2021-11-22
2021-11-29,122.69999694824219,122.69999694824219,123.9000015258789,114.0,120.1500015258789,19844,2021-11-29
2021-12-06,145.8000030517578,145.8000030517578,147.10000610351562,121.5999984741211,126.5999984741211,39037,2021-12-06
