Date,Adj Close_SUPRIYA.NS,Close_SUPRIYA.NS,High_SUPRIYA.NS,Low_SUPRIYA.NS,Open_SUPRIYA.NS,Volume_SUPRIYA.NS,Date
2021-12-27,481.25921630859375,483.70001220703125,527.8499755859375,383.20001220703125,421.0,66835420,2021-12-27
2022-01-03,489.8656005859375,492.3500061035156,510.0,466.6499938964844,490.0,12678971,2022-01-03
2022-01-10,499.0191345214844,501.54998779296875,544.9000244140625,487.70001220703125,496.8999938964844,13421518,2022-01-10
2022-01-17,464.4942626953125,466.8500061035156,601.9000244140625,457.0,503.8999938964844,26777764,2022-01-17
2022-01-24,461.0616760253906,463.3999938964844,496.8999938964844,443.1000061035156,475.25,11479276,2022-01-24
2022-01-31,465.240478515625,467.6000061035156,489.0,450.0,469.8999938964844,5410865,2022-01-31
2022-02-07,449.9679260253906,452.25,477.25,450.0,469.95001220703125,2420287,2022-02-07
2022-02-14,409.4732666015625,411.54998779296875,447.0,401.3999938964844,446.0,2517594,2022-02-14
2022-02-21,429.4718933105469,431.6499938964844,439.0,376.75,412.0,4311004,2022-02-21
2022-02-28,415.2440490722656,417.3500061035156,432.8999938964844,411.0,416.6499938964844,1859314,2022-02-28
2022-03-07,447.2318115234375,449.5,453.8999938964844,403.6000061035156,405.0,1841199,2022-03-07
2022-03-14,463.3500671386719,465.70001220703125,478.8999938964844,431.04998779296875,449.79998779296875,2145486,2022-03-14
2022-03-21,468.47406005859375,470.8500061035156,483.6499938964844,452.1499938964844,465.79998779296875,2669014,2022-03-21
2022-03-28,493.6463928222656,496.1499938964844,516.0,465.0,471.0,5217229,2022-03-28
2022-04-04,480.0653076171875,482.5,514.4000244140625,481.20001220703125,498.95001220703125,2658647,2022-04-04
2022-04-11,448.8237609863281,451.1000061035156,497.3999938964844,445.0,484.5,1621606,2022-04-11
2022-04-18,425.5915832519531,427.75,457.75,425.45001220703125,447.04998779296875,1386061,2022-04-18
2022-04-25,417.58221435546875,419.70001220703125,440.0,412.0,424.0,1620031,2022-04-25
2022-05-02,363.5064392089844,365.3500061035156,419.6000061035156,362.0,413.5,1363559,2022-05-02
2022-05-09,322.7630615234375,324.3999938964844,369.0,315.5,364.25,1630426,2022-05-09
2022-05-16,376.2418212890625,378.1499938964844,393.45001220703125,324.79998779296875,329.0,4636685,2022-05-16
2022-05-23,348.93035888671875,350.70001220703125,390.1000061035156,333.0,384.0,1285992,2022-05-23
2022-05-30,357.8351745605469,359.6499938964844,373.1000061035156,351.0,358.3999938964844,768765,2022-05-30
2022-06-06,344.602294921875,346.3500061035156,364.8999938964844,342.29998779296875,362.0,622070,2022-06-06
2022-06-13,312.5150451660156,314.1000061035156,343.8999938964844,312.54998779296875,337.0,612588,2022-06-13
2022-06-20,329.03131103515625,330.70001220703125,340.0,292.3500061035156,315.0,758010,2022-06-20
2022-06-27,349.9253234863281,351.70001220703125,364.0,330.45001220703125,335.0,1212109,2022-06-27
2022-07-04,341.8661804199219,343.6000061035156,357.8999938964844,340.5,354.0,594962,2022-07-04
2022-07-11,367.0385437011719,368.8999938964844,383.0,342.04998779296875,343.0,2300394,2022-07-11
2022-07-18,383.7537536621094,385.70001220703125,406.70001220703125,372.8500061035156,378.6000061035156,3045682,2022-07-18
2022-07-25,374.9483947753906,376.8500061035156,389.79998779296875,366.8500061035156,385.70001220703125,662838,2022-07-25
2022-08-01,348.1343994140625,349.8999938964844,388.0,347.0,380.0,1957861,2022-08-01
2022-08-08,352.8106994628906,354.6000061035156,364.0,347.0,351.8999938964844,777522,2022-08-08
2022-08-15,365.29736328125,367.1499938964844,375.70001220703125,353.1000061035156,354.6000061035156,2013346,2022-08-15
2022-08-22,363.0089416503906,364.8500061035156,377.0,353.04998779296875,369.0,1069085,2022-08-22
2022-08-29,352.1142272949219,353.8999938964844,364.75,350.8999938964844,358.0,637864,2022-08-29
2022-09-05,346.58135986328125,347.75,357.5,344.79998779296875,357.5,770265,2022-09-05
2022-09-12,331.332763671875,332.45001220703125,360.45001220703125,329.1499938964844,350.0,1428071,2022-09-12
2022-09-19,332.97723388671875,334.1000061035156,348.5,327.25,335.0,897502,2022-09-19
2022-09-26,299.0416259765625,300.04998779296875,334.0,294.0,333.3500061035156,2223736,2022-09-26
2022-10-03,299.53997802734375,300.54998779296875,309.79998779296875,296.5,305.0,754686,2022-10-03
2022-10-10,288.7762451171875,289.75,300.45001220703125,282.20001220703125,296.70001220703125,743271,2022-10-10
2022-10-17,285.93585205078125,286.8999938964844,294.6499938964844,284.0,289.75,468051,2022-10-17
