Date,Adj Close_SUVIDHAA.NS,Close_SUVIDHAA.NS,High_SUVIDHAA.NS,Low_SUVIDHAA.NS,Open_SUVIDHAA.NS,Volume_SUVIDHAA.NS,Date
2021-03-29,99.5999984741211,99.5999984741211,115.5,99.5999984741211,110.0,127011,2021-03-29
2021-04-05,77.19999694824219,77.19999694824219,94.6500015258789,77.19999694824219,94.6500015258789,8498,2021-04-05
2021-04-12,59.650001525878906,59.650001525878906,73.3499984741211,59.650001525878906,73.3499984741211,15644,2021-04-12
2021-04-19,43.70000076293945,43.70000076293945,53.70000076293945,43.70000076293945,53.70000076293945,26301,2021-04-19
2021-04-26,33.95000076293945,33.95000076293945,41.54999923706055,33.95000076293945,41.54999923706055,909843,2021-04-26
2021-05-03,26.399999618530273,26.399999618530273,32.29999923706055,26.399999618530273,32.29999923706055,932853,2021-05-03
2021-05-10,21.600000381469727,21.600000381469727,26.899999618530273,21.600000381469727,25.450000762939453,1726683,2021-05-10
2021-05-17,23.0,23.0,23.0,19.75,20.549999237060547,1645598,2021-05-17
2021-05-24,22.299999237060547,22.299999237060547,24.450000762939453,22.0,24.149999618530273,1282965,2021-05-24
2021-05-31,23.149999618530273,23.149999618530273,23.399999618530273,21.049999237060547,22.5,567769,2021-05-31
2021-06-07,22.799999237060547,22.799999237060547,24.299999237060547,22.5,24.299999237060547,469013,2021-06-07
2021-06-14,28.299999237060547,28.299999237060547,28.950000762939453,22.5,23.200000762939453,2673189,2021-06-14
2021-06-21,26.049999237060547,26.049999237060547,31.149999618530273,26.0,28.0,2062702,2021-06-21
2021-06-28,25.950000762939453,25.950000762939453,26.799999237060547,24.299999237060547,25.049999237060547,1187088,2021-06-28
2021-07-05,25.950000762939453,25.950000762939453,29.75,25.649999618530273,27.200000762939453,3781951,2021-07-05
2021-07-12,25.149999618530273,25.149999618530273,27.5,25.149999618530273,26.5,1495492,2021-07-12
2021-07-19,25.450000762939453,25.450000762939453,26.5,24.299999237060547,25.0,442905,2021-07-19
2021-07-26,24.100000381469727,24.100000381469727,26.25,22.200000762939453,26.0,380523,2021-07-26
2021-08-02,23.399999618530273,23.399999618530273,24.950000762939453,22.149999618530273,24.950000762939453,255888,2021-08-02
2021-08-09,23.100000381469727,23.100000381469727,25.0,19.299999237060547,24.0,661588,2021-08-09
2021-08-16,21.399999618530273,21.399999618530273,24.799999237060547,21.0,23.299999237060547,488312,2021-08-16
2021-08-23,21.850000381469727,21.850000381469727,22.950000762939453,19.549999237060547,21.25,997663,2021-08-23
2021-08-30,20.049999237060547,20.049999237060547,23.450000762939453,19.950000762939453,22.5,1014339,2021-08-30
2021-09-06,18.600000381469727,18.600000381469727,20.799999237060547,18.399999618530273,20.5,1078766,2021-09-06
2021-09-13,17.700000762939453,17.700000762939453,19.700000762939453,17.5,19.350000381469727,1395638,2021-09-13
2021-09-20,17.299999237060547,17.299999237060547,19.0,16.899999618530273,17.700000762939453,2146590,2021-09-20
2021-09-27,15.899999618530273,15.899999618530273,17.75,15.5,17.450000762939453,1335471,2021-09-27
2021-10-04,16.700000762939453,16.700000762939453,18.149999618530273,15.949999809265137,16.5,5587849,2021-10-04
2021-10-11,16.100000381469727,16.100000381469727,17.649999618530273,16.0,17.200000762939453,2715321,2021-10-11
2021-10-18,15.149999618530273,15.149999618530273,16.799999237060547,14.949999809265137,16.399999618530273,2580907,2021-10-18
2021-10-25,12.5,12.5,16.899999618530273,11.949999809265137,15.5,2685184,2021-10-25
2021-11-01,12.949999809265137,12.949999809265137,13.399999618530273,12.350000381469727,12.75,629971,2021-11-01
2021-11-08,12.75,12.75,13.949999809265137,12.449999809265137,13.100000381469727,1770440,2021-11-08
2021-11-15,11.449999809265137,11.449999809265137,13.0,11.399999618530273,12.75,1494766,2021-11-15
2021-11-22,10.75,10.75,12.899999618530273,10.5,11.449999809265137,4246244,2021-11-22
2021-11-29,10.600000381469727,10.600000381469727,11.0,9.699999809265137,11.0,663362,2021-11-29
2021-12-06,10.149999618530273,10.149999618530273,12.0,10.0,10.399999618530273,3035371,2021-12-06
2021-12-13,14.399999618530273,14.399999618530273,16.899999618530273,10.149999618530273,10.449999809265137,19581717,2021-12-13
2021-12-20,11.899999618530273,11.899999618530273,14.649999618530273,11.800000190734863,14.649999618530273,8128334,2021-12-20
2021-12-27,12.350000381469727,12.350000381469727,12.5,10.800000190734863,12.300000190734863,15039104,2021-12-27
2022-01-03,12.600000381469727,12.600000381469727,12.949999809265137,11.550000190734863,12.649999618530273,10801507,2022-01-03
2022-01-10,12.850000381469727,12.850000381469727,13.75,12.300000190734863,13.0,5133013,2022-01-10
2022-01-17,12.350000381469727,12.350000381469727,13.25,12.149999618530273,13.0,3057387,2022-01-17
