Date,Adj Close_TRITURBINE.NS,Close_TRITURBINE.NS,High_TRITURBINE.NS,Low_TRITURBINE.NS,Open_TRITURBINE.NS,Volume_TRITURBINE.NS,Date
2020-07-13,63.95891189575195,65.0,71.4000015258789,64.8499984741211,69.19999694824219,555140,2020-07-13
2020-07-20,62.87652587890625,63.900001525878906,67.19999694824219,63.5,65.19999694824219,395973,2020-07-20
2020-07-27,61.44975280761719,62.45000076293945,65.4000015258789,61.75,64.80000305175781,214677,2020-07-27
2020-08-03,62.97492218017578,64.0,65.94999694824219,62.5,62.599998474121094,754755,2020-08-03
2020-08-10,64.64768981933594,65.69999694824219,67.9000015258789,63.79999923706055,64.9000015258789,1756027,2020-08-10
2020-08-17,74.63512420654297,75.8499984741211,79.80000305175781,65.0,66.3499984741211,2792485,2020-08-17
2020-08-24,79.9486312866211,81.25,83.9000015258789,70.0999984741211,75.44999694824219,4574811,2020-08-24
2020-08-31,72.17516326904297,73.3499984741211,79.9000015258789,70.6500015258789,78.94999694824219,1138568,2020-08-31
2020-09-07,69.86280822753906,71.0,76.75,69.0,73.9000015258789,702102,2020-09-07
2020-09-14,72.17516326904297,73.3499984741211,79.80000305175781,72.8499984741211,74.0,1252226,2020-09-14
2020-09-21,69.02642059326172,70.1500015258789,74.55000305175781,66.69999694824219,73.44999694824219,1097667,2020-09-21
2020-09-28,67.79644012451172,68.9000015258789,71.9000015258789,68.19999694824219,71.80000305175781,1191652,2020-09-28
2020-10-05,71.1419906616211,72.30000305175781,73.0,69.25,70.25,320975,2020-10-05
2020-10-12,68.92803192138672,70.05000305175781,74.8499984741211,69.3499984741211,70.80000305175781,357974,2020-10-12
2020-10-19,68.38682556152344,69.5,71.5,66.80000305175781,70.05000305175781,164149,2020-10-19
2020-10-26,68.78042602539062,69.9000015258789,71.0,68.3499984741211,69.5999984741211,113215,2020-10-26
2020-11-02,70.10879516601562,71.25,73.5,66.0,70.25,408760,2020-11-02
2020-11-09,70.45319366455078,71.5999984741211,72.80000305175781,69.55000305175781,71.94999694824219,195888,2020-11-09
2020-11-16,73.84794616699219,75.05000305175781,79.5,70.80000305175781,71.80000305175781,570266,2020-11-16
2020-11-23,73.35594940185547,74.55000305175781,76.94999694824219,72.30000305175781,75.1500015258789,324216,2020-11-23
2020-11-30,82.60538482666016,83.94999694824219,85.5999984741211,74.55000305175781,74.55000305175781,1267386,2020-11-30
2020-12-07,83.6385726928711,85.0,88.94999694824219,79.80000305175781,84.0999984741211,1990434,2020-12-07
2020-12-14,82.21180725097656,83.55000305175781,88.0999984741211,81.19999694824219,84.94999694824219,523369,2020-12-14
