Date,Adj Close_KPIL.NS,Close_KPIL.NS,High_KPIL.NS,Low_KPIL.NS,Open_KPIL.NS,Volume_KPIL.NS,Date
2023-05-29,528.1460571289062,535.9000244140625,545.75,485.79998779296875,503.8999938964844,6522085,2023-05-29
2023-06-05,527.308349609375,535.0499877929688,539.5,510.0,537.0,1929783,2023-06-05
2023-06-12,526.717041015625,534.4500122070312,542.5,523.1500244140625,537.0,1100436,2023-06-12
2023-06-19,513.6587524414062,521.2000122070312,549.0999755859375,519.7999877929688,535.0999755859375,1028556,2023-06-19
2023-06-26,528.78662109375,536.5499877929688,543.5,516.0,521.5999755859375,1282559,2023-06-26
2023-07-03,545.8856201171875,553.9000244140625,559.7999877929688,550.0,554.9500122070312,109170,2023-07-03
2023-07-10,556.5294189453125,564.7000122070312,566.9000244140625,541.0,555.0499877929688,231859,2023-07-10
2023-07-17,556.7757568359375,564.9500122070312,569.9500122070312,553.25,567.0,756969,2023-07-17
2023-07-24,614.5278930664062,623.5499877929688,626.0,564.3499755859375,565.0,1609265,2023-07-24
2023-07-31,597.4288940429688,606.2000122070312,646.9500122070312,573.9500122070312,632.4500122070312,2642931,2023-07-31
2023-08-07,632.2673950195312,641.5499877929688,654.9500122070312,599.2999877929688,599.2999877929688,1261198,2023-08-07
2023-08-14,627.6354370117188,636.8499755859375,655.0,620.0,641.5499877929688,571700,2023-08-14
2023-08-21,614.823486328125,623.8499755859375,645.0,611.7999877929688,638.9000244140625,1037433,2023-08-21
2023-08-28,646.6068725585938,656.0999755859375,667.2999877929688,624.2000122070312,626.9500122070312,1023888,2023-08-28
2023-09-04,653.2099609375,662.7999877929688,689.9000244140625,659.75,659.7999877929688,1200656,2023-09-04
2023-09-11,651.7808837890625,661.3499755859375,677.7000122070312,631.2000122070312,663.0,1192608,2023-09-11
2023-09-18,614.4785766601562,623.5,662.1500244140625,617.0999755859375,654.0,467723,2023-09-18
2023-09-25,622.412109375,631.5499877929688,642.7999877929688,620.25,623.5,288763,2023-09-25
2023-10-02,627.0933837890625,636.2999877929688,677.5,633.1500244140625,659.9000244140625,2192711,2023-10-02
2023-10-09,649.3663940429688,658.9000244140625,667.4500122070312,626.0,636.2999877929688,1046568,2023-10-09
2023-10-16,692.5819091796875,702.75,712.9000244140625,659.9500122070312,659.9500122070312,2665753,2023-10-16
2023-10-23,630.3948974609375,639.6500244140625,723.9500122070312,636.9000244140625,701.9500122070312,1838086,2023-10-23
2023-10-30,622.6091918945312,631.75,681.0,627.0,640.0,1575772,2023-10-30
2023-11-06,624.7281494140625,633.9000244140625,639.0,601.25,636.0,1903556,2023-11-06
2023-11-13,656.3636474609375,666.0,673.9000244140625,625.0999755859375,633.9000244140625,1552638,2023-11-13
2023-11-20,627.2412109375,636.4500122070312,666.0499877929688,631.5,666.0,1919885,2023-11-20
2023-11-27,658.3346557617188,668.0,678.0,626.4500122070312,637.9500122070312,1553575,2023-11-27
2023-12-04,674.2017211914062,684.0999755859375,721.9500122070312,671.0499877929688,690.0,1441346,2023-12-04
2023-12-11,662.523193359375,672.25,689.5,665.25,687.9000244140625,1123941,2023-12-11
2023-12-18,622.0178833007812,631.1500244140625,679.9000244140625,626.9500122070312,674.9000244140625,936814,2023-12-18
2023-12-25,698.9385375976562,709.2000122070312,728.75,631.1500244140625,635.6500244140625,6855300,2023-12-25
2024-01-01,741.7598876953125,752.6500244140625,756.0,694.5999755859375,704.2999877929688,2636392,2024-01-01
2024-01-08,724.2667236328125,734.9000244140625,761.4000244140625,727.0,759.0,637601,2024-01-08
2024-01-15,712.637451171875,723.0999755859375,753.7999877929688,707.4500122070312,734.9000244140625,965766,2024-01-15
2024-01-22,734.0234375,744.7999877929688,760.0,710.75,727.0,666912,2024-01-22
2024-01-29,821.587890625,833.6500244140625,839.5499877929688,743.4500122070312,752.0,1733731,2024-01-29
2024-02-05,865.0006103515625,877.7000122070312,900.0,833.5499877929688,836.9000244140625,1475327,2024-02-05
2024-02-12,945.764892578125,959.6500244140625,1041.0,846.0499877929688,879.0,4826345,2024-02-12
