Date,Adj Close_ARVINDFASN.NS,Close_ARVINDFASN.NS,High_ARVINDFASN.NS,Low_ARVINDFASN.NS,Open_ARVINDFASN.NS,Volume_ARVINDFASN.NS,Date
2020-07-13,124.26599884033203,124.976806640625,138.4020538330078,124.976806640625,138.4020538330078,170153,2020-07-13
2020-07-20,135.9159393310547,136.69338989257812,140.1107177734375,116.72638702392578,118.72796630859375,4274670,2020-07-20
2020-07-27,119.0235366821289,119.70435333251953,134.69180297851562,117.55631256103516,132.15321350097656,2036422,2020-07-27
2020-08-03,119.31478881835938,119.99726867675781,123.31696319580078,117.84922790527344,122.04766845703125,698359,2020-08-03
2020-08-10,128.68325805664062,129.41934204101562,142.64930725097656,119.26497650146484,121.07128143310547,3727067,2020-08-10
2020-08-17,149.41046142578125,150.2650909423828,150.2650909423828,125.02562713623047,130.83509826660156,1607241,2020-08-17
2020-08-24,150.9637908935547,151.82730102539062,165.59426879882812,148.4099578857422,157.73440551757812,3520623,2020-08-24
2020-08-31,142.3719482421875,143.1863250732422,156.22100830078125,137.0839385986328,154.26824951171875,1024355,2020-08-31
2020-09-07,130.47930908203125,131.22564697265625,143.8209686279297,127.17366790771484,143.1863250732422,732153,2020-09-07
2020-09-14,128.48910522460938,129.2240753173828,141.38002014160156,128.78469848632812,134.05715942382812,1046337,2020-09-14
2020-09-21,124.21746826171875,124.92799377441406,132.6414031982422,117.6539535522461,132.6414031982422,953296,2020-09-21
2020-09-28,121.644775390625,122.34058380126953,127.613037109375,119.0697021484375,125.5138168334961,877597,2020-09-28
2020-10-05,126.01349639892578,126.73429870605469,134.8382568359375,123.0240478515625,123.60987854003906,1639409,2020-10-05
2020-10-12,123.19810485839844,123.90279388427734,131.51856994628906,119.36261749267578,126.9783935546875,611766,2020-10-12
2020-10-19,125.52808380126953,126.24610900878906,132.69021606445312,121.55947875976562,124.04924774169922,1029846,2020-10-19
2020-10-26,119.8487319946289,120.53427124023438,128.5406036376953,119.31379699707031,126.92957305908203,497753,2020-10-26
2020-11-02,120.5283203125,121.21774291992188,124.48861694335938,120.29017639160156,121.07128143310547,544457,2020-11-02
2020-11-09,124.79995727539062,125.5138168334961,128.88233947753906,120.77837371826172,121.75475311279297,1294164,2020-11-09
2020-11-16,132.46949768066406,133.22723388671875,140.59890747070312,123.8051528930664,123.8051528930664,2540603,2020-11-16
2020-11-23,127.51827239990234,128.2476806640625,135.71701049804688,125.95319366455078,133.7642364501953,1593380,2020-11-23
2020-11-30,132.7607421875,133.5201416015625,138.01150512695312,128.2476806640625,128.2476806640625,2875876,2020-11-30
2020-12-07,153.05105590820312,153.926513671875,160.1265411376953,137.4744873046875,138.64614868164062,6794210,2020-12-07
2020-12-14,153.05105590820312,153.926513671875,164.0320587158203,144.84617614746094,155.24462890625,3867936,2020-12-14
2020-12-21,148.48817443847656,149.3375244140625,159.6383514404297,134.20361328125,154.26824951171875,2083194,2020-12-21
2020-12-28,150.13858032226562,150.99737548828125,158.02731323242188,147.48240661621094,150.36273193359375,1289849,2020-12-28
2021-01-04,162.32247924804688,163.25096130371094,170.57382202148438,149.67926025390625,152.31549072265625,3904925,2021-01-04
2021-01-11,157.61395263671875,158.5155029296875,167.93759155273438,157.29502868652344,164.81317138671875,2094402,2021-01-11
2021-01-18,145.9154815673828,146.75010681152344,161.835205078125,144.3091583251953,161.68875122070312,1628461,2021-01-18
2021-01-25,140.23614501953125,141.0382843017578,148.31231689453125,137.81622314453125,148.11705017089844,913666,2021-01-25
2021-02-01,137.3236541748047,138.10914611816406,151.5343780517578,137.37684631347656,140.1595458984375,2492237,2021-02-01
2021-02-08,154.7014617919922,155.58636474609375,159.93125915527344,137.66976928710938,140.5012664794922,3137561,2021-02-08
2021-02-15,168.6328582763672,169.59744262695312,173.6982421875,152.51075744628906,157.68557739257812,4457012,2021-02-15
2021-02-22,156.50479125976562,157.39999389648438,172.72186279296875,155.39999389648438,169.79270935058594,2033970,2021-02-22
2021-03-01,171.02174377441406,172.0,182.85000610351562,157.0,159.89999389648438,3018744,2021-03-01
2021-03-08,158.5431365966797,159.4499969482422,177.89999389648438,158.0,175.4499969482422,1240700,2021-03-08
2021-03-15,151.08578491210938,151.9499969482422,163.85000610351562,140.4499969482422,159.89999389648438,1105665,2021-03-15
2021-03-22,144.82162475585938,145.64999389648438,154.8000030517578,141.4499969482422,153.9499969482422,876537,2021-03-22
2021-03-29,143.92674255371094,144.75,146.60000610351562,138.0,145.64999389648438,653983,2021-03-29
2021-04-05,139.00489807128906,139.8000030517578,144.4499969482422,136.0,144.4499969482422,682930,2021-04-05
2021-04-12,130.50352478027344,131.25,139.0,129.75,139.0,443996,2021-04-12
2021-04-19,124.18962860107422,124.9000015258789,133.60000610351562,123.0,132.25,1027231,2021-04-19
2021-04-26,129.608642578125,130.35000610351562,134.4499969482422,123.5,124.1500015258789,647861,2021-04-26
2021-05-03,140.5957794189453,141.39999389648438,151.0,128.0,131.39999389648438,2299583,2021-05-03
2021-05-10,137.4636993408203,138.25,145.1999969482422,137.0,143.25,681693,2021-05-10
2021-05-17,139.50204467773438,140.3000030517578,145.0,138.10000610351562,138.10000610351562,771092,2021-05-17
2021-05-24,146.26336669921875,147.10000610351562,151.0,139.4499969482422,143.25,4304888,2021-05-24
2021-05-31,144.17532348632812,145.0,154.0,142.60000610351562,147.10000610351562,4299667,2021-05-31
