Date,Adj Close_TBOTEK.NS,Close_TBOTEK.NS,High_TBOTEK.NS,Low_TBOTEK.NS,Open_TBOTEK.NS,Volume_TBOTEK.NS,Date
2024-05-13,1464.5,1464.5,1490.0,1275.0,1426.0,14558885,2024-05-13
2024-05-20,1387.050048828125,1387.050048828125,1459.949951171875,1380.9000244140625,1451.6500244140625,898093,2024-05-20
2024-05-27,1408.0,1408.0,1462.800048828125,1369.25,1387.050048828125,1119517,2024-05-27
2024-06-03,1525.5,1525.5,1574.199951171875,1231.6500244140625,1438.0,1155229,2024-06-03
2024-06-10,1606.5999755859375,1606.5999755859375,1630.6500244140625,1500.050048828125,1533.3499755859375,815645,2024-06-10
2024-06-17,1588.0999755859375,1588.0999755859375,1625.0,1553.199951171875,1606.5999755859375,416704,2024-06-17
2024-06-24,1902.9000244140625,1902.9000244140625,1933.0,1633.1500244140625,1649.449951171875,3109474,2024-06-24
2024-07-01,1844.050048828125,1844.050048828125,1918.949951171875,1756.0,1891.0999755859375,670894,2024-07-01
2024-07-08,1806.5999755859375,1806.5999755859375,1938.449951171875,1740.75,1870.0,344831,2024-07-08
2024-07-15,1732.800048828125,1732.800048828125,1830.0,1720.0,1824.5999755859375,382994,2024-07-15
2024-07-22,1748.9000244140625,1748.9000244140625,1794.5,1676.0999755859375,1715.0999755859375,344946,2024-07-22
2024-07-29,1737.699951171875,1737.699951171875,1866.0,1701.050048828125,1786.0,350043,2024-07-29
2024-08-05,1732.25,1732.25,1750.0,1638.0,1719.949951171875,309318,2024-08-05
2024-08-12,1575.9000244140625,1575.9000244140625,1742.4000244140625,1555.050048828125,1732.25,644882,2024-08-12
2024-08-19,1726.8499755859375,1726.8499755859375,1743.550048828125,1581.75,1581.75,715251,2024-08-19
2024-08-26,1771.699951171875,1771.699951171875,1795.0,1645.0,1730.0,404119,2024-08-26
2024-09-02,1837.5,1837.5,2001.0,1753.050048828125,1807.0999755859375,379998,2024-09-02
2024-09-09,1794.949951171875,1794.949951171875,1854.9000244140625,1730.0,1849.949951171875,252713,2024-09-09
2024-09-16,1752.550048828125,1752.550048828125,1814.699951171875,1720.0,1808.449951171875,372511,2024-09-16
2024-09-23,1847.1500244140625,1847.1500244140625,1890.0,1731.5999755859375,1775.0,198871,2024-09-23
2024-09-30,1749.0999755859375,1749.0999755859375,1850.0,1730.050048828125,1845.0,185193,2024-09-30
2024-10-07,1745.75,1745.75,1784.0,1665.050048828125,1770.0,178041,2024-10-07
2024-10-14,1701.0,1701.0,1783.0,1681.25,1771.949951171875,94272,2024-10-14
2024-10-21,1601.8499755859375,1601.8499755859375,1704.800048828125,1568.4000244140625,1701.699951171875,218605,2024-10-21
2024-10-28,1668.0999755859375,1668.0999755859375,1678.0,1540.6500244140625,1601.0,189660,2024-10-28
2024-11-04,1704.1500244140625,1704.1500244140625,1771.0,1553.800048828125,1668.0999755859375,1380103,2024-11-04
2024-11-11,1567.550048828125,1567.550048828125,1730.0,1552.0,1678.5999755859375,169518,2024-11-11
2024-11-18,1520.199951171875,1520.199951171875,1624.949951171875,1503.0,1575.0,192446,2024-11-18
2024-11-25,1586.5999755859375,1586.5999755859375,1635.0,1485.5,1585.0,686699,2024-11-25
2024-12-02,1524.050048828125,1524.050048828125,1591.8499755859375,1460.0999755859375,1579.050048828125,1876566,2024-12-02
2024-12-09,1635.5999755859375,1635.5999755859375,1671.949951171875,1495.0,1529.0,982165,2024-12-09
2024-12-16,1684.800048828125,1684.800048828125,1753.5,1656.949951171875,1689.0,725510,2024-12-16
2024-12-23,1704.25,1704.25,1746.449951171875,1645.050048828125,1695.550048828125,455435,2024-12-23
2024-12-30,1790.449951171875,1790.449951171875,1818.0,1691.1500244140625,1714.9000244140625,450256,2024-12-30
2025-01-06,1741.300048828125,1741.300048828125,1845.550048828125,1705.0,1817.300048828125,733631,2025-01-06
2025-01-13,1668.300048828125,1668.300048828125,1733.3499755859375,1607.800048828125,1680.0,454358,2025-01-13
2025-01-20,1597.75,1597.75,1708.300048828125,1578.0,1674.9000244140625,366164,2025-01-20
2025-01-27,1556.75,1556.75,1669.050048828125,1450.0,1599.949951171875,941098,2025-01-27
2025-02-03,1641.0999755859375,1641.0999755859375,1677.550048828125,1536.75,1546.199951171875,337900,2025-02-03
2025-02-10,1617.4000244140625,1617.4000244140625,1660.5999755859375,1518.8499755859375,1635.0,418672,2025-02-10
2025-02-17,1493.300048828125,1493.300048828125,1627.800048828125,1463.699951171875,1610.0,640004,2025-02-17
2025-02-24,1200.8499755859375,1200.8499755859375,1522.300048828125,1180.0999755859375,1500.0,2025043,2025-02-24
2025-03-03,1365.0,1365.0,1390.0,1138.050048828125,1204.949951171875,1308054,2025-03-03
2025-03-10,1209.5,1209.5,1379.6500244140625,1200.0,1357.550048828125,390207,2025-03-10
2025-03-17,1207.25,1207.25,1316.6500244140625,1180.0,1209.5,1518076,2025-03-17
2025-03-24,1205.5999755859375,1205.5999755859375,1243.050048828125,1171.3499755859375,1225.0,1538006,2025-03-24
2025-03-31,1115.199951171875,1115.199951171875,1215.8499755859375,1106.0,1205.5999755859375,382444,2025-03-31
2025-04-07,1073.9000244140625,1073.9000244140625,1094.699951171875,996.0,1050.050048828125,1137315,2025-04-07
2025-04-14,1046.199951171875,1046.199951171875,1114.800048828125,1038.699951171875,1073.9000244140625,523821,2025-04-14
2025-04-21,1023.5,1023.5,1134.5,1003.5,1064.199951171875,1650633,2025-04-21
