Date,Adj Close_THELEELA.NS,Close_THELEELA.NS,High_THELEELA.NS,Low_THELEELA.NS,Open_THELEELA.NS,Volume_THELEELA.NS,Date
2025-06-02,432.45001220703125,432.45001220703125,439.8999938964844,405.0,406.0,18642006,2025-06-02
2025-06-09,402.3500061035156,402.3500061035156,435.5,393.45001220703125,430.0,2743417,2025-06-09
2025-06-16,393.5,393.5,411.29998779296875,382.5,402.0,2021506,2025-06-16
2025-06-23,410.1499938964844,410.1499938964844,411.6499938964844,384.0,387.0,1187310,2025-06-23
2025-06-30,401.6000061035156,401.6000061035156,412.5,396.54998779296875,406.0,2116334,2025-06-30
2025-07-07,434.8500061035156,434.8500061035156,443.29998779296875,398.0,398.0,4677492,2025-07-07
2025-07-14,435.29998779296875,435.29998779296875,441.8999938964844,430.0,436.95001220703125,914322,2025-07-14
