Date,Adj Close_PERSISTENT.NS,Close_PERSISTENT.NS,High_PERSISTENT.NS,Low_PERSISTENT.NS,Open_PERSISTENT.NS,Volume_PERSISTENT.NS,Date
2020-07-13,363.3624267578125,376.75,399.9750061035156,367.17498779296875,373.5,1500102,2020-07-13
2020-07-20,371.92205810546875,385.625,387.5,354.0,378.92498779296875,1145844,2020-07-20
2020-07-27,442.7379455566406,459.04998779296875,465.0,419.9750061035156,422.0,8090210,2020-07-27
2020-08-03,482.3534240722656,500.125,503.3999938964844,454.0,458.0,2132412,2020-08-03
2020-08-10,476.0843505859375,493.625,512.5,465.0249938964844,475.125,1767858,2020-08-10
2020-08-17,501.4739074707031,519.9500122070312,525.0,490.07501220703125,499.0,1032964,2020-08-17
2020-08-24,491.0094299316406,509.1000061035156,564.0,505.0,525.0,2354852,2020-08-24
2020-08-31,475.626220703125,493.1499938964844,526.5999755859375,475.0,519.0,1592664,2020-08-31
2020-09-07,487.5614929199219,505.5249938964844,512.5,480.0,495.0,733586,2020-09-07
2020-09-14,574.41162109375,595.5750122070312,620.0,512.9500122070312,512.9500122070312,3484076,2020-09-14
2020-09-21,588.1552734375,609.8250122070312,622.0,546.125,593.5,2075388,2020-09-21
2020-09-28,628.7109985351562,651.875,692.9249877929688,612.5,612.5,3894284,2020-09-28
2020-10-05,628.6627807617188,651.8250122070312,670.4249877929688,623.5,659.0,2600372,2020-10-05
2020-10-12,625.3595581054688,648.4000244140625,695.2999877929688,600.0,662.2249755859375,3370782,2020-10-12
2020-10-19,565.3455810546875,586.1749877929688,665.0,531.7000122070312,657.4749755859375,1513658,2020-10-19
2020-10-26,558.7390747070312,579.3250122070312,610.0,569.4500122070312,594.5,1588166,2020-10-26
2020-11-02,552.4218139648438,572.7750244140625,586.0999755859375,551.5750122070312,562.0,687534,2020-11-02
2020-11-09,562.090576171875,582.7999877929688,590.0,552.5499877929688,584.0,1202918,2020-11-09
2020-11-16,552.4459228515625,572.7999877929688,599.0,564.0,571.125,1267802,2020-11-16
2020-11-23,575.4724731445312,596.6749877929688,624.0999755859375,561.0,573.9000244140625,1721476,2020-11-23
2020-11-30,587.8899536132812,609.5499877929688,621.3250122070312,582.375,596.6749877929688,1626044,2020-11-30
2020-12-07,633.7021484375,657.0499877929688,662.4249877929688,592.5,610.0,1463872,2020-12-07
2020-12-14,630.0130004882812,653.2249755859375,671.9749755859375,629.625,660.0,1151496,2020-12-14
2020-12-21,698.972412109375,724.7249755859375,736.0,625.0,653.2249755859375,2252470,2020-12-21
2020-12-28,722.1678466796875,748.7750244140625,774.5,725.0250244140625,736.5,1782146,2020-12-28
2021-01-04,757.5396728515625,785.4500122070312,799.5,744.0499877929688,752.5,2244808,2021-01-04
2021-01-11,785.60546875,814.5499877929688,850.0,786.6749877929688,797.5,2584774,2021-01-11
2021-01-18,744.5675048828125,772.0,829.0,751.875,814.5499877929688,1269016,2021-01-18
2021-01-25,735.0433349609375,762.125,792.5,741.125,782.5,1196508,2021-01-25
2021-02-01,820.036865234375,850.25,869.5,752.9749755859375,766.0250244140625,2268032,2021-02-01
2021-02-08,865.4392700195312,897.3250122070312,925.0,845.5,857.0,1513092,2021-02-08
2021-02-15,812.8013305664062,836.0999755859375,910.2999877929688,830.5,902.0,848612,2021-02-15
2021-02-22,805.1945190429688,828.2750244140625,856.4749755859375,797.5,831.0,1300408,2021-02-22
2021-03-01,818.464111328125,841.9249877929688,866.25,820.5250244140625,840.0,1630930,2021-03-01
2021-03-08,866.4876708984375,891.3250122070312,922.0,840.0250244140625,841.5,1436498,2021-03-08
2021-03-15,944.0396728515625,971.0999755859375,984.5,867.0250244140625,890.0,1913040,2021-03-15
2021-03-22,885.4443359375,910.8250122070312,998.5,880.5250244140625,998.5,1410088,2021-03-22
2021-03-29,949.4105834960938,976.625,989.0,910.8250122070312,910.8250122070312,895514,2021-03-29
2021-04-05,1009.5613403320312,1038.5,1049.5,953.0250244140625,976.5,2301494,2021-04-05
2021-04-12,953.5177612304688,980.8499755859375,1027.5,942.9749755859375,1022.0,1406084,2021-04-12
2021-04-19,911.3758544921875,937.5,985.2999877929688,928.7999877929688,965.0,588466,2021-04-19
2021-04-26,990.7506713867188,1019.1500244140625,1092.449951171875,931.2750244140625,938.5,3146612,2021-04-26
2021-05-03,1097.8797607421875,1129.3499755859375,1147.4749755859375,993.2249755859375,1000.0,3589930,2021-05-03
2021-05-10,1107.4796142578125,1139.2249755859375,1170.4749755859375,1052.800048828125,1140.0,1483478,2021-05-10
2021-05-17,1161.3115234375,1194.5999755859375,1221.125,1130.0,1155.0,1760162,2021-05-17
2021-05-24,1206.5643310546875,1241.1500244140625,1284.0,1177.300048828125,1195.050048828125,1658880,2021-05-24
2021-05-31,1196.8431396484375,1231.1500244140625,1280.0,1197.5,1256.5,1395666,2021-05-31
2021-06-07,1225.010498046875,1260.125,1277.5,1220.0,1233.0,1309562,2021-06-07
2021-06-14,1234.6104736328125,1270.0,1293.5,1240.0,1255.0,1467780,2021-06-14
2021-06-21,1274.0062255859375,1310.5250244140625,1328.8499755859375,1247.5250244140625,1249.9749755859375,880530,2021-06-21
2021-06-28,1423.93359375,1464.75,1508.050048828125,1314.125,1326.5,3390294,2021-06-28
2021-07-05,1348.8848876953125,1387.550048828125,1487.5,1373.050048828125,1479.5,1479774,2021-07-05
2021-07-12,1381.2568359375,1420.8499755859375,1447.5,1362.5250244140625,1400.0,2050650,2021-07-12
2021-07-19,1480.4327392578125,1519.574951171875,1565.0,1392.5,1419.6500244140625,4611144,2021-07-19
2021-07-26,1531.1177978515625,1571.5999755859375,1649.0,1486.824951171875,1518.4749755859375,3814498,2021-07-26
2021-08-02,1519.037109375,1559.199951171875,1596.050048828125,1490.949951171875,1587.425048828125,2581922,2021-08-02
2021-08-09,1521.9842529296875,1562.2249755859375,1597.5,1542.5,1569.25,2081026,2021-08-09
2021-08-16,1549.871826171875,1590.8499755859375,1634.0,1530.7249755859375,1570.0,2228230,2021-08-16
2021-08-23,1584.8470458984375,1626.75,1643.4749755859375,1581.0,1591.0,2077704,2021-08-23
2021-08-30,1676.352783203125,1720.675048828125,1732.5,1635.0,1635.0,2846094,2021-08-30
2021-09-06,1702.730224609375,1747.75,1789.0,1717.824951171875,1734.0,1611012,2021-09-06
2021-09-13,1723.4329833984375,1769.0,1879.4000244140625,1752.875,1752.875,2330824,2021-09-13
2021-09-20,1828.8458251953125,1877.199951171875,1919.375,1755.0,1771.949951171875,2508734,2021-09-20
2021-09-27,1774.7022705078125,1821.625,1899.4749755859375,1714.699951171875,1885.6500244140625,3032310,2021-09-27
2021-10-04,1954.57177734375,2006.25,2034.4749755859375,1800.0,1835.0,3711284,2021-10-04
2021-10-11,2051.75244140625,2106.0,2145.0,1937.5250244140625,2019.9749755859375,2643466,2021-10-11
