Date,Adj Close_ITDC.NS,Close_ITDC.NS,High_ITDC.NS,Low_ITDC.NS,Open_ITDC.NS,Volume_ITDC.NS,Date
2020-07-13,225.81997680664062,227.89999389648438,250.39999389648438,223.4499969482422,228.85000610351562,650703,2020-07-13
2020-07-20,219.9738311767578,222.0,235.35000610351562,218.4499969482422,227.89999389648438,134279,2020-07-20
2020-07-27,211.00643920898438,212.9499969482422,224.39999389648438,211.35000610351562,224.39999389648438,109744,2020-07-27
2020-08-03,226.95948791503906,229.0500030517578,238.0,210.89999389648438,213.0,241135,2020-08-03
2020-08-10,225.81997680664062,227.89999389648438,241.0,224.39999389648438,231.0,206552,2020-08-10
2020-08-17,246.03379821777344,248.3000030517578,261.5,225.39999389648438,230.0,645025,2020-08-17
2020-08-24,260.1537170410156,262.54998779296875,265.0,231.4499969482422,254.0,621557,2020-08-24
2020-08-31,239.19676208496094,241.39999389648438,261.79998779296875,237.14999389648438,261.79998779296875,157959,2020-08-31
2020-09-07,224.6309356689453,226.6999969482422,245.0,215.4499969482422,237.4499969482422,105558,2020-09-07
2020-09-14,256.388427734375,258.75,274.79998779296875,227.75,229.0,1760225,2020-09-14
2020-09-21,226.31541442871094,228.39999389648438,260.70001220703125,222.35000610351562,258.0,219649,2020-09-21
2020-09-28,235.48098754882812,237.64999389648438,242.0,227.3000030517578,230.0,229025,2020-09-28
2020-10-05,228.49534606933594,230.60000610351562,241.39999389648438,230.0,237.6999969482422,90431,2020-10-05
2020-10-12,226.66221618652344,228.75,233.85000610351562,223.0,230.60000610351562,105708,2020-10-12
2020-10-19,224.0364227294922,226.10000610351562,234.39999389648438,220.60000610351562,228.25,84615,2020-10-19
2020-10-26,220.22154235839844,222.25,231.25,221.35000610351562,227.39999389648438,57990,2020-10-26
2020-11-02,219.6765594482422,221.6999969482422,230.60000610351562,217.5,223.89999389648438,84082,2020-11-02
2020-11-09,245.93470764160156,248.1999969482422,271.6499938964844,219.64999389648438,222.14999389648438,1617893,2020-11-09
2020-11-16,246.08334350585938,248.35000610351562,268.0,245.64999389648438,249.5500030517578,401139,2020-11-16
2020-11-23,263.77044677734375,266.20001220703125,297.0,245.0,250.1999969482422,1281989,2020-11-23
2020-11-30,262.135498046875,264.54998779296875,279.04998779296875,260.29998779296875,266.20001220703125,439234,2020-11-30
2020-12-07,272.5396423339844,275.04998779296875,330.0,265.29998779296875,272.29998779296875,758085,2020-12-07
2020-12-14,283.2410888671875,285.8500061035156,307.8999938964844,266.0,275.0,1389167,2020-12-14
2020-12-21,341.1576232910156,344.29998779296875,354.0,248.8000030517578,288.0,4448722,2020-12-21
2020-12-28,323.668701171875,326.6499938964844,348.79998779296875,320.3999938964844,338.54998779296875,977152,2020-12-28
2021-01-04,335.2123718261719,338.29998779296875,354.0,320.0,349.75,1329846,2021-01-04
2021-01-11,311.03509521484375,313.8999938964844,342.0,312.0,338.54998779296875,375541,2021-01-11
2021-01-18,304.94122314453125,307.75,328.8500061035156,301.04998779296875,314.0,390207,2021-01-18
2021-01-25,298.74822998046875,301.5,311.04998779296875,297.0,309.70001220703125,148143,2021-01-25
2021-02-01,297.21240234375,299.95001220703125,311.8999938964844,295.0,301.0,209901,2021-02-01
2021-02-08,302.0676574707031,304.8500061035156,316.95001220703125,300.6000061035156,301.29998779296875,357675,2021-02-08
2021-02-15,311.580078125,314.45001220703125,331.1499938964844,301.0,305.0,643274,2021-02-15
