Date,Adj Close_KRISHIVAL.NS,Close_KRISHIVAL.NS,High_KRISHIVAL.NS,Low_KRISHIVAL.NS,Open_KRISHIVAL.NS,Volume_KRISHIVAL.NS,Date
2022-04-18,99.8981704711914,100.05000305175781,100.05000305175781,68.0,71.0,660000,2022-04-18
2022-04-25,122.31409454345703,122.5,122.5,104.6500015258789,105.05000305175781,972000,2022-04-25
2022-05-02,148.57418823242188,148.8000030517578,148.8000030517578,128.60000610351562,128.60000610351562,348000,2022-05-02
2022-05-09,171.53927612304688,171.8000030517578,189.75,156.1999969482422,156.1999969482422,231000,2022-05-09
2022-05-16,179.1776580810547,179.4499969482422,179.4499969482422,147.35000610351562,163.25,336000,2022-05-16
2022-05-23,228.5526123046875,228.89999389648438,228.89999389648438,188.35000610351562,188.39999389648438,57000,2022-05-23
2022-05-30,291.3571472167969,291.79998779296875,291.79998779296875,240.10000610351562,240.3000030517578,249000,2022-05-30
2022-06-06,275.58111572265625,276.0,321.6499938964844,274.8500061035156,306.3500061035156,174000,2022-06-06
2022-06-13,290.5583801269531,291.0,291.0,241.60000610351562,262.54998779296875,102000,2022-06-13
2022-06-20,264.34619140625,264.70001220703125,294.0,252.10000610351562,291.0,78000,2022-06-20
2022-06-27,293.5071105957031,293.8999938964844,294.0,268.0,277.8999938964844,66000,2022-06-27
2022-07-04,285.41796875,285.79998779296875,289.8999938964844,246.3000030517578,281.54998779296875,125000,2022-07-04
2022-07-11,279.5258483886719,279.8999938964844,305.45001220703125,279.8999938964844,300.04998779296875,51000,2022-07-11
2022-07-18,301.19683837890625,301.6000061035156,303.75,277.8500061035156,293.5,51000,2022-07-18
2022-07-25,294.5557556152344,294.95001220703125,316.6499938964844,294.95001220703125,316.6000061035156,11000,2022-07-25
2022-08-01,287.86468505859375,288.25,308.95001220703125,287.0,308.95001220703125,35000,2022-08-01
2022-08-08,301.5963134765625,302.0,316.0,290.0,290.0,57000,2022-08-08
2022-08-15,299.5989685058594,300.0,302.0,285.0,302.0,10000,2022-08-15
2022-08-22,282.7215576171875,283.1000061035156,300.0,283.1000061035156,300.0,13000,2022-08-22
2022-08-29,287.5151672363281,287.8999938964844,297.25,285.0,293.0,16000,2022-08-29
2022-09-05,281.6230163574219,282.0,298.0,266.0,285.0,20000,2022-09-05
2022-09-12,276.0804443359375,276.45001220703125,300.0,267.8999938964844,296.0,223000,2022-09-12
