Date,Adj Close_WELENT.NS,Close_WELENT.NS,High_WELENT.NS,Low_WELENT.NS,Open_WELENT.NS,Volume_WELENT.NS,Date
2020-07-13,55.68372344970703,58.45000076293945,63.70000076293945,57.70000076293945,62.900001525878906,548274,2020-07-13
2020-07-20,56.25532913208008,59.04999923706055,61.400001525878906,57.099998474121094,58.150001525878906,438311,2020-07-20
2020-07-27,53.39731216430664,56.04999923706055,59.95000076293945,55.75,59.95000076293945,402117,2020-07-27
2020-08-03,59.6373176574707,62.599998474121094,67.55000305175781,54.5,57.099998474121094,2961118,2020-08-03
2020-08-10,64.25778198242188,67.44999694824219,73.75,62.20000076293945,62.5,1711544,2020-08-10
2020-08-17,66.9252700805664,70.25,72.0999984741211,66.30000305175781,67.9000015258789,711866,2020-08-17
2020-08-24,68.44953918457031,71.8499984741211,76.44999694824219,69.05000305175781,72.0,1294575,2020-08-24
2020-08-31,62.685882568359375,65.80000305175781,71.9000015258789,63.20000076293945,71.69999694824219,709928,2020-08-31
2020-09-07,63.06694030761719,66.19999694824219,69.0999984741211,62.5,65.80000305175781,669465,2020-09-07
2020-09-14,63.638545989990234,66.80000305175781,70.1500015258789,65.5,66.9000015258789,711690,2020-09-14
2020-09-21,58.82754135131836,61.75,67.69999694824219,59.400001525878906,66.80000305175781,426321,2020-09-21
2020-09-28,64.97228240966797,68.19999694824219,68.9000015258789,61.650001525878906,62.0,679437,2020-09-28
2020-10-05,67.40160369873047,70.75,77.0,67.80000305175781,68.5,1752333,2020-10-05
2020-10-12,66.78236389160156,70.0999984741211,73.30000305175781,70.0,70.69999694824219,431114,2020-10-12
2020-10-19,75.92802429199219,79.69999694824219,81.8499984741211,70.05000305175781,70.44999694824219,2539298,2020-10-19
2020-10-26,71.49810791015625,75.05000305175781,83.0,74.55000305175781,80.3499984741211,1381314,2020-10-26
2020-11-02,72.16496276855469,75.75,77.5,74.0,77.5,354011,2020-11-02
2020-11-09,72.307861328125,75.9000015258789,77.6500015258789,75.0,75.19999694824219,456765,2020-11-09
2020-11-16,77.59519958496094,81.44999694824219,82.1500015258789,75.55000305175781,75.55000305175781,483017,2020-11-16
2020-11-23,77.64283752441406,81.5,83.69999694824219,80.25,83.69999694824219,495318,2020-11-23
2020-11-30,84.5497055053711,88.75,89.8499984741211,80.80000305175781,81.5,781726,2020-11-30
2020-12-07,87.36009979248047,91.69999694824219,92.80000305175781,88.5,89.05000305175781,761994,2020-12-07
2020-12-14,84.93077850341797,89.1500015258789,95.44999694824219,84.4000015258789,92.05000305175781,647071,2020-12-14
2020-12-21,80.88191986083984,84.9000015258789,89.94999694824219,81.30000305175781,89.94999694824219,486582,2020-12-21
