Date,Adj Close_HARIOMPIPE.NS,Close_HARIOMPIPE.NS,High_HARIOMPIPE.NS,Low_HARIOMPIPE.NS,Open_HARIOMPIPE.NS,Volume_HARIOMPIPE.NS,Date
2022-04-11,230.8229522705078,231.0,231.0,215.1999969482422,220.0,3807527,2022-04-11
2022-04-18,211.18801879882812,211.35000610351562,245.0,208.0500030517578,242.5500030517578,4856793,2022-04-18
2022-04-25,219.4316864013672,219.60000610351562,231.0,193.0500030517578,203.0,2853570,2022-04-25
2022-05-02,213.98585510253906,214.14999389648438,230.8000030517578,206.9499969482422,214.0500030517578,1706415,2022-05-02
2022-05-09,192.95199584960938,193.10000610351562,223.75,169.10000610351562,217.5,2789993,2022-05-09
2022-05-16,214.03582763671875,214.1999969482422,227.8000030517578,193.35000610351562,196.4499969482422,2390237,2022-05-16
2022-05-23,208.34019470214844,208.5,224.8000030517578,192.0,219.89999389648438,1710506,2022-05-23
2022-05-30,206.1918487548828,206.35000610351562,219.89999389648438,191.39999389648438,211.89999389648438,1345456,2022-05-30
2022-06-06,198.94740295410156,199.10000610351562,209.10000610351562,198.0,206.10000610351562,597104,2022-06-06
2022-06-13,185.45774841308594,185.60000610351562,199.3000030517578,185.0,191.0,743395,2022-06-13
2022-06-20,191.40318298339844,191.5500030517578,194.6999969482422,180.0,187.0,811184,2022-06-20
2022-06-27,192.65223693847656,192.8000030517578,199.0,187.9499969482422,190.60000610351562,390647,2022-06-27
2022-07-04,198.3978271484375,198.5500030517578,206.0,192.0500030517578,194.8000030517578,671923,2022-07-04
2022-07-11,208.98968505859375,209.14999389648438,216.75,197.10000610351562,200.0,1107928,2022-07-11
2022-07-18,213.48623657226562,213.64999389648438,219.0,206.0,210.9499969482422,714753,2022-07-18
2022-07-25,223.07888793945312,223.25,226.0,205.4499969482422,211.0,1365857,2022-07-25
2022-08-01,211.2379608154297,211.39999389648438,226.3000030517578,206.5,224.89999389648438,852211,2022-08-01
2022-08-08,249.35873413085938,249.5500030517578,252.5,209.89999389648438,210.0,2363020,2022-08-08
2022-08-15,267.4448547363281,267.6499938964844,281.0,249.5500030517578,249.5500030517578,3142529,2022-08-15
2022-08-22,268.9936828613281,269.20001220703125,287.8999938964844,258.79998779296875,267.5,1539726,2022-08-22
2022-08-29,273.5401916503906,273.75,284.0,257.0,257.0,844627,2022-08-29
2022-09-05,289.12823486328125,289.3500061035156,305.5,269.0,275.25,1729089,2022-09-05
2022-09-12,266.49560546875,266.70001220703125,292.0,258.04998779296875,289.79998779296875,1128669,2022-09-12
2022-09-19,253.75535583496094,253.9499969482422,282.3500061035156,250.64999389648438,268.79998779296875,847959,2022-09-19
2022-09-26,257.102783203125,257.29998779296875,263.95001220703125,247.0500030517578,252.39999389648438,751869,2022-09-26
2022-10-03,283.6824035644531,283.8999938964844,288.79998779296875,248.25,258.0,956500,2022-10-03
2022-10-10,260.70001220703125,260.8999938964844,287.0,260.0,280.0,519475,2022-10-10
2022-10-17,284.9814147949219,285.20001220703125,297.0,256.29998779296875,260.8999938964844,840220,2022-10-17
2022-10-24,275.9883117675781,276.20001220703125,298.20001220703125,274.0,289.8999938964844,394606,2022-10-24
2022-10-31,276.0882263183594,276.29998779296875,282.0,268.0,278.29998779296875,416958,2022-10-31
2022-11-07,292.97528076171875,293.20001220703125,309.0,269.20001220703125,278.6499938964844,945484,2022-11-07
2022-11-14,278.4364318847656,278.6499938964844,302.70001220703125,260.0,293.20001220703125,930607,2022-11-14
2022-11-21,313.3096618652344,313.54998779296875,319.8999938964844,264.0,277.70001220703125,1777484,2022-11-21
2022-11-28,340.1890869140625,340.45001220703125,352.3999938964844,307.0,323.5,2632616,2022-11-28
2022-12-05,358.6249084472656,358.8999938964844,369.0,334.25,342.0,1905039,2022-12-05
2022-12-12,339.3397216796875,339.6000061035156,373.79998779296875,338.0,354.0,1254592,2022-12-12
2022-12-19,300.7193603515625,300.95001220703125,355.70001220703125,290.0,339.95001220703125,1195584,2022-12-19
2022-12-26,359.32440185546875,359.6000061035156,403.54998779296875,303.8500061035156,318.70001220703125,6747100,2022-12-26
2023-01-02,344.4358215332031,344.70001220703125,371.3999938964844,342.0,363.95001220703125,1684362,2023-01-02
2023-01-09,340.13909912109375,340.3999938964844,361.0,329.79998779296875,347.45001220703125,1295118,2023-01-09
2023-01-16,394.79718017578125,395.1000061035156,401.1499938964844,335.0,344.0,4120295,2023-01-16
2023-01-23,380.9577941894531,381.25,408.5,364.3500061035156,391.04998779296875,4452720,2023-01-23
2023-01-30,405.48895263671875,405.79998779296875,425.20001220703125,383.0,392.75,2361545,2023-01-30
