Date,Adj Close_STERTOOLS.NS,Close_STERTOOLS.NS,High_STERTOOLS.NS,Low_STERTOOLS.NS,Open_STERTOOLS.NS,Volume_STERTOOLS.NS,Date
2020-07-13,176.2011260986328,179.5500030517578,182.39999389648438,173.5500030517578,177.14999389648438,37070,2020-07-13
2020-07-20,175.61231994628906,178.9499969482422,181.85000610351562,174.0,179.5500030517578,34454,2020-07-20
2020-07-27,167.7124481201172,170.89999389648438,180.4499969482422,170.10000610351562,176.9499969482422,43724,2020-07-27
2020-08-03,175.85763549804688,179.1999969482422,182.0,167.5,179.8000030517578,67237,2020-08-03
2020-08-10,173.9440155029297,177.25,189.75,175.8000030517578,180.0,218372,2020-08-10
2020-08-17,192.6387176513672,196.3000030517578,206.89999389648438,176.75,180.0,236372,2020-08-17
2020-08-24,189.35118103027344,192.9499969482422,198.75,188.10000610351562,195.0,104297,2020-08-24
2020-08-31,176.64271545410156,180.0,195.89999389648438,175.0,195.89999389648438,80475,2020-08-31
2020-09-07,176.6918182373047,180.0500030517578,185.89999389648438,167.0500030517578,180.9499969482422,58479,2020-09-07
2020-09-14,180.1755828857422,183.60000610351562,199.89999389648438,181.35000610351562,183.0,115627,2020-09-14
2020-09-21,167.27085876464844,170.4499969482422,189.64999389648438,159.9499969482422,183.0,61709,2020-09-21
2020-09-28,175.661376953125,179.0,188.8000030517578,173.0,173.0500030517578,39841,2020-09-28
2020-10-05,172.91360473632812,176.1999969482422,185.89999389648438,175.35000610351562,181.0500030517578,35806,2020-10-05
2020-10-12,166.09323120117188,169.25,184.5500030517578,168.0,182.0,42808,2020-10-12
2020-10-19,173.20802307128906,176.5,184.9499969482422,168.0,169.0,41083,2020-10-19
2020-10-26,169.0863494873047,172.3000030517578,182.1999969482422,170.35000610351562,182.1999969482422,24510,2020-10-26
2020-11-02,173.10986328125,176.39999389648438,179.5500030517578,168.1999969482422,174.9499969482422,29224,2020-11-02
2020-11-09,168.15406799316406,171.35000610351562,185.0,163.35000610351562,180.0,99117,2020-11-09
2020-11-16,189.9890594482422,193.60000610351562,197.0,171.0,171.25,367298,2020-11-16
2020-11-23,184.34629821777344,187.85000610351562,196.0,184.1999969482422,194.8000030517578,101379,2020-11-23
2020-11-30,192.2952423095703,195.9499969482422,205.0,186.5,187.85000610351562,203279,2020-11-30
2020-12-07,189.35118103027344,192.9499969482422,202.10000610351562,186.10000610351562,198.0,84658,2020-12-07
2020-12-14,198.67401123046875,202.4499969482422,215.0,195.64999389648438,204.0,331650,2020-12-14
2020-12-21,192.73683166503906,196.39999389648438,207.89999389648438,182.85000610351562,202.5,89869,2020-12-21
2020-12-28,192.3443145751953,196.0,202.89999389648438,192.0,200.0,80883,2020-12-28
2021-01-04,217.85935974121094,222.0,229.89999389648438,194.0500030517578,198.5,458915,2021-01-04
2021-01-11,206.13226318359375,210.0500030517578,225.6999969482422,207.0,225.6999969482422,164221,2021-01-11
2021-01-18,199.55723571777344,203.35000610351562,212.8000030517578,201.0,211.0500030517578,99309,2021-01-18
2021-01-25,190.0381317138672,193.64999389648438,208.1999969482422,191.0,207.0,37268,2021-01-25
2021-02-01,200.63670349121094,204.4499969482422,208.6999969482422,185.3000030517578,192.0500030517578,81295,2021-02-01
2021-02-08,203.4826202392578,207.35000610351562,222.0,201.3000030517578,207.25,145543,2021-02-08
2021-02-15,216.87802124023438,221.0,232.1999969482422,205.6999969482422,213.0,389525,2021-02-15
2021-02-22,215.84759521484375,219.9499969482422,229.8000030517578,211.0,225.89999389648438,133236,2021-02-22
2021-03-01,215.16065979003906,219.25,230.0,215.35000610351562,220.39999389648438,100053,2021-03-01
2021-03-08,211.5787353515625,215.60000610351562,225.0,213.75,225.0,38407,2021-03-08
