Date,Adj Close_XTGLOBAL.NS,Close_XTGLOBAL.NS,High_XTGLOBAL.NS,Low_XTGLOBAL.NS,Open_XTGLOBAL.NS,Volume_XTGLOBAL.NS,Date
2024-09-16,41.630001068115234,41.630001068115234,56.70000076293945,40.400001525878906,53.0,1191960,2024-09-16
2024-09-23,47.59000015258789,47.59000015258789,53.5,42.0099983215332,42.95000076293945,1962955,2024-09-23
2024-09-30,46.25,46.25,50.0,45.0,48.9900016784668,333656,2024-09-30
2024-10-07,46.16999816894531,46.16999816894531,50.36000061035156,42.11000061035156,46.95000076293945,328478,2024-10-07
2024-10-14,45.84000015258789,45.84000015258789,48.0,42.209999084472656,47.0,242797,2024-10-14
2024-10-21,42.029998779296875,42.029998779296875,47.5,41.54999923706055,47.0,257764,2024-10-21
2024-10-28,45.970001220703125,45.970001220703125,47.0,41.099998474121094,42.61000061035156,184440,2024-10-28
2024-11-04,43.9900016784668,43.9900016784668,46.189998626708984,42.11000061035156,46.0,111064,2024-11-04
2024-11-11,43.77000045776367,43.77000045776367,45.9900016784668,42.029998779296875,44.599998474121094,259988,2024-11-11
2024-11-18,42.150001525878906,42.150001525878906,43.68000030517578,41.310001373291016,42.29999923706055,84767,2024-11-18
2024-11-25,44.33000183105469,44.33000183105469,46.0,41.9900016784668,42.150001525878906,240939,2024-11-25
2024-12-02,47.59000015258789,47.59000015258789,50.5,44.5,45.47999954223633,684717,2024-12-02
2024-12-09,45.810001373291016,45.810001373291016,48.849998474121094,44.25,48.849998474121094,231415,2024-12-09
2024-12-16,42.08000183105469,42.08000183105469,46.939998626708984,40.83000183105469,46.939998626708984,145926,2024-12-16
2024-12-23,41.029998779296875,41.029998779296875,43.189998626708984,39.349998474121094,43.189998626708984,109331,2024-12-23
2024-12-30,47.25,47.25,52.369998931884766,38.0,42.0,1369652,2024-12-30
2025-01-06,41.86000061035156,41.86000061035156,51.0,41.5,47.400001525878906,892648,2025-01-06
2025-01-13,42.970001220703125,42.970001220703125,45.900001525878906,41.5,42.849998474121094,367940,2025-01-13
2025-01-20,42.470001220703125,42.470001220703125,43.83000183105469,41.0,43.83000183105469,126109,2025-01-20
2025-01-27,39.58000183105469,39.58000183105469,44.04999923706055,39.04999923706055,42.599998474121094,200141,2025-01-27
2025-02-03,39.9900016784668,39.9900016784668,41.47999954223633,39.33000183105469,40.29999923706055,128322,2025-02-03
2025-02-10,34.900001525878906,34.900001525878906,40.689998626708984,34.0,40.0,108137,2025-02-10
2025-02-17,39.2599983215332,39.2599983215332,40.900001525878906,28.649999618530273,33.599998474121094,426060,2025-02-17
2025-02-24,32.970001220703125,32.970001220703125,39.150001525878906,32.0,37.7599983215332,64225,2025-02-24
2025-03-03,36.720001220703125,36.720001220703125,37.04999923706055,33.290000915527344,35.900001525878906,193073,2025-03-03
2025-03-10,33.75,33.75,37.18000030517578,33.61000061035156,37.18000030517578,52702,2025-03-10
2025-03-17,35.84000015258789,35.84000015258789,36.9900016784668,33.5,33.75,88458,2025-03-17
2025-03-24,33.400001525878906,33.400001525878906,39.689998626708984,33.0099983215332,36.4900016784668,161761,2025-03-24
2025-03-31,35.5099983215332,35.5099983215332,36.45000076293945,33.95000076293945,33.959999084472656,51708,2025-03-31
2025-04-07,35.54999923706055,35.54999923706055,36.0,32.470001220703125,34.9900016784668,33992,2025-04-07
2025-04-14,36.779998779296875,36.779998779296875,37.0,34.70000076293945,36.0,32622,2025-04-14
2025-04-21,34.869998931884766,34.869998931884766,37.5,34.310001373291016,35.84000015258789,79900,2025-04-21
2025-04-28,34.150001525878906,34.150001525878906,35.97999954223633,33.0,34.61000061035156,31029,2025-04-28
2025-05-05,32.709999084472656,32.709999084472656,35.099998474121094,31.059999465942383,34.150001525878906,93894,2025-05-05
2025-05-12,34.5099983215332,34.5099983215332,36.0,33.099998474121094,33.349998474121094,49288,2025-05-12
2025-05-19,35.209999084472656,35.209999084472656,36.5,34.54999923706055,35.220001220703125,56269,2025-05-19
2025-05-26,34.56999969482422,34.56999969482422,38.0,33.5,35.040000915527344,96593,2025-05-26
2025-06-02,33.86000061035156,33.86000061035156,35.38999938964844,33.599998474121094,35.150001525878906,43776,2025-06-02
2025-06-09,33.939998626708984,33.939998626708984,35.599998474121094,33.15999984741211,34.54999923706055,51940,2025-06-09
2025-06-16,33.7400016784668,33.7400016784668,35.0,33.099998474121094,34.58000183105469,35949,2025-06-16
2025-06-23,33.79999923706055,33.79999923706055,34.70000076293945,33.11000061035156,33.11000061035156,31799,2025-06-23
2025-06-30,34.959999084472656,34.959999084472656,35.84000015258789,33.0099983215332,34.0,90044,2025-06-30
2025-07-07,34.63999938964844,34.63999938964844,37.529998779296875,33.61000061035156,34.959999084472656,125789,2025-07-07
2025-07-14,34.5,34.5,34.9900016784668,33.849998474121094,34.29999923706055,25364,2025-07-14
