Date,Adj Close_MITTAL.NS,Close_MITTAL.NS,High_MITTAL.NS,Low_MITTAL.NS,Open_MITTAL.NS,Volume_MITTAL.NS,Date
2020-07-13,5.661052227020264,5.661052227020264,6.268044948577881,5.661052227020264,6.268044948577881,24350,2020-07-13
2020-07-20,4.392268180847168,4.392268180847168,5.378632068634033,4.392268180847168,5.378632068634033,131212,2020-07-20
2020-07-27,3.40590500831604,3.40590500831604,4.173076152801514,3.40590500831604,4.173076152801514,39533,2020-07-27
2020-08-03,2.6429479122161865,2.6429479122161865,3.2372961044311523,2.6429479122161865,3.2372961044311523,137380,2020-08-03
2020-08-10,2.0570309162139893,2.0570309162139893,2.5122759342193604,2.0570309162139893,2.5122759342193604,278843,2020-08-10
2020-08-17,2.149765968322754,2.149765968322754,2.149765968322754,1.7661809921264648,1.9558659791946411,2049719,2020-08-17
2020-08-24,2.7314679622650146,2.7314679622650146,2.7314679622650146,2.2467169761657715,2.2551469802856445,3486380,2020-08-24
2020-08-31,2.5712890625,2.5712890625,3.1319150924682617,2.5712890625,2.8663549423217773,2515804,2020-08-31
2020-09-07,2.2888689041137695,2.2888689041137695,2.5038459300994873,2.20878005027771,2.4448320865631104,1758822,2020-09-07
2020-09-14,2.1666269302368164,2.1666269302368164,2.3984649181365967,1.871561050415039,2.3984649181365967,1308444,2020-09-14
2020-09-21,1.892637014389038,1.892637014389038,2.272007942199707,1.7577500343322754,2.2677929401397705,1053641,2020-09-21
2020-09-28,1.7282429933547974,1.7282429933547974,1.9600809812545776,1.5722800493240356,1.8209789991378784,875454,2020-09-28
2020-10-05,1.6945220232009888,1.6945220232009888,1.812548041343689,1.6102169752120972,1.7999019622802734,792113,2020-10-05
2020-10-12,1.5469889640808105,1.5469889640808105,1.7451039552688599,1.5469889640808105,1.7451039552688599,722211,2020-10-12
2020-10-19,1.428961992263794,1.428961992263794,1.6017869710922241,1.3910249471664429,1.5596339702606201,1664272,2020-10-19
2020-10-26,1.1381109952926636,1.1381109952926636,1.458469033241272,1.1381109952926636,1.3994560241699219,1658425,2020-10-26
2020-11-02,0.918919026851654,0.918919026851654,1.1929090023040771,0.918919026851654,1.08331298828125,1712929,2020-11-02
2020-11-09,1.2139860391616821,1.2139860391616821,1.2139860391616821,0.8767669796943665,0.8767669796943665,3419491,2020-11-09
2020-11-16,1.3320120573043823,1.3320120573043823,1.466899037361145,1.1591880321502686,1.1591880321502686,2197209,2020-11-16
2020-11-23,1.2350620031356812,1.2350620031356812,1.2687829732894897,1.0917439460754395,1.2687829732894897,2226318,2020-11-23
2020-11-30,1.121250033378601,1.121250033378601,1.2940750122070312,1.0790979862213135,1.2350620031356812,3707210,2020-11-30
2020-12-07,1.1170350313186646,1.1170350313186646,1.1676180362701416,1.087528944015503,1.146541953086853,5624971,2020-12-07
